Wikidata ID,Chicago
[Q1738274](https://www.wikidata.org/wiki/Q1738274),[k-space](https://mathgloss.github.io/MathGloss/chicago/k-space)
[Q91052291](https://www.wikidata.org/wiki/Q91052291),[local minimum](https://mathgloss.github.io/MathGloss/chicago/local_minimum)
[Q1095056](https://www.wikidata.org/wiki/Q1095056),[singular homology group](https://mathgloss.github.io/MathGloss/chicago/singular_homology_group)
[Q3058218](https://www.wikidata.org/wiki/Q3058218),[Borel space](https://mathgloss.github.io/MathGloss/chicago/borel_space)
[Q738422](https://www.wikidata.org/wiki/Q738422),[barycentric coordinates](https://mathgloss.github.io/MathGloss/chicago/barycentric_coordinates)
[Q306560](https://www.wikidata.org/wiki/Q306560),[homotopy cofiber](https://mathgloss.github.io/MathGloss/chicago/homotopy_cofiber)
[Q1362228](https://www.wikidata.org/wiki/Q1362228),[totally bounded](https://mathgloss.github.io/MathGloss/chicago/totally_bounded)
[Q2051983](https://www.wikidata.org/wiki/Q2051983),[conjugate transpose](https://mathgloss.github.io/MathGloss/chicago/conjugate_transpose)
[Q1000660](https://www.wikidata.org/wiki/Q1000660),[algebra over a field](https://mathgloss.github.io/MathGloss/chicago/algebra_over_a_field)
[Q192826](https://www.wikidata.org/wiki/Q192826),[Kronecker delta](https://mathgloss.github.io/MathGloss/chicago/kronecker_delta)
[Q35059](https://www.wikidata.org/wiki/Q35059),[width](https://mathgloss.github.io/MathGloss/chicago/width)
[Q1473607](https://www.wikidata.org/wiki/Q1473607),[degree of polynomial](https://mathgloss.github.io/MathGloss/chicago/degree_of_polynomial)
[Q1049914](https://www.wikidata.org/wiki/Q1049914),[matrix multiplication](https://mathgloss.github.io/MathGloss/chicago/matrix_multiplication)
[Q230655](https://www.wikidata.org/wiki/Q230655),[connected graph](https://mathgloss.github.io/MathGloss/chicago/connected_graph)
[Q1139583](https://www.wikidata.org/wiki/Q1139583),[inner automorphism of a Lie algebra](https://mathgloss.github.io/MathGloss/chicago/inner_automorphism_of_a_lie_algebra)
[Q1142861](https://www.wikidata.org/wiki/Q1142861),[direct sum of modules](https://mathgloss.github.io/MathGloss/chicago/direct_sum_of_modules)
[Q213363](https://www.wikidata.org/wiki/Q213363),[open](https://mathgloss.github.io/MathGloss/chicago/open)
[Q825857](https://www.wikidata.org/wiki/Q825857),[Riemann sphere](https://mathgloss.github.io/MathGloss/chicago/riemann_sphere)
[Q2138760](https://www.wikidata.org/wiki/Q2138760),[class](https://mathgloss.github.io/MathGloss/chicago/class)
[Q17099189](https://www.wikidata.org/wiki/Q17099189),[multiplicative character](https://mathgloss.github.io/MathGloss/chicago/multiplicative_character)
[Q1626409](https://www.wikidata.org/wiki/Q1626409),[homotopy equivalence of spaces](https://mathgloss.github.io/MathGloss/chicago/homotopy_equivalence_of_spaces)
[Q161519](https://www.wikidata.org/wiki/Q161519),[permutation](https://mathgloss.github.io/MathGloss/chicago/permutation)
[Q994399](https://www.wikidata.org/wiki/Q994399),[simplicial complex](https://mathgloss.github.io/MathGloss/chicago/simplicial_complex)
[Q445569](https://www.wikidata.org/wiki/Q445569),[complexification of a vector space](https://mathgloss.github.io/MathGloss/chicago/complexification_of_a_vector_space)
[Q643300](https://www.wikidata.org/wiki/Q643300),[locally finite cover](https://mathgloss.github.io/MathGloss/chicago/locally_finite_cover)
[Q256355](https://www.wikidata.org/wiki/Q256355),[equivariant map](https://mathgloss.github.io/MathGloss/chicago/equivariant_map)
