Wikidata ID,Context
[Q1467124](https://www.wikidata.org/wiki/Q1467124),[simplicial sets](https://mathgloss.github.io/MathGloss/context/simplicial_sets)
[Q541563](https://www.wikidata.org/wiki/Q541563),[full subcategory](https://mathgloss.github.io/MathGloss/context/full_subcategory)
[Q17103180](https://www.wikidata.org/wiki/Q17103180),[split epimorphism](https://mathgloss.github.io/MathGloss/context/split_epimorphism)
[Q4370335](https://www.wikidata.org/wiki/Q4370335),[cocomplete](https://mathgloss.github.io/MathGloss/context/cocomplete)
[Q3755543](https://www.wikidata.org/wiki/Q3755543),[torsor](https://mathgloss.github.io/MathGloss/context/torsor)
[Q1296024](https://www.wikidata.org/wiki/Q1296024),[effective](https://mathgloss.github.io/MathGloss/context/effective)
[Q27948](https://www.wikidata.org/wiki/Q27948),[list monad](https://mathgloss.github.io/MathGloss/context/list_monad)
[Q2920416](https://www.wikidata.org/wiki/Q2920416),[kernels](https://mathgloss.github.io/MathGloss/context/kernels)
[Q692689](https://www.wikidata.org/wiki/Q692689),[forks](https://mathgloss.github.io/MathGloss/context/forks)
[Q40276](https://www.wikidata.org/wiki/Q40276),[multiplication](https://mathgloss.github.io/MathGloss/context/multiplication)
[Q2156511](https://www.wikidata.org/wiki/Q2156511),[cokernels](https://mathgloss.github.io/MathGloss/context/cokernels)
[Q5446381](https://www.wikidata.org/wiki/Q5446381),[fiber space](https://mathgloss.github.io/MathGloss/context/fiber_space)
[Q719395](https://www.wikidata.org/wiki/Q719395),[small](https://mathgloss.github.io/MathGloss/context/small)
[Q529752](https://www.wikidata.org/wiki/Q529752),[initial object](https://mathgloss.github.io/MathGloss/context/initial_object)
[Q6497088](https://www.wikidata.org/wiki/Q6497088),[lattice](https://mathgloss.github.io/MathGloss/context/lattice)
[Q2119470](https://www.wikidata.org/wiki/Q2119470),[Sierpinski space](https://mathgloss.github.io/MathGloss/context/Sierpinski_space)
[Q10564851](https://www.wikidata.org/wiki/Q10564851),[kernel operator](https://mathgloss.github.io/MathGloss/context/kernel_operator)
[Q161172](https://www.wikidata.org/wiki/Q161172),[unital ring](https://mathgloss.github.io/MathGloss/context/unital_ring)
[Q595298](https://www.wikidata.org/wiki/Q595298),[sheaves](https://mathgloss.github.io/MathGloss/context/sheaves)
[Q118084](https://www.wikidata.org/wiki/Q118084),[unit](https://mathgloss.github.io/MathGloss/context/unit)
[Q288465](https://www.wikidata.org/wiki/Q288465),[orbit-stabilizer theorem](https://mathgloss.github.io/MathGloss/context/orbit-stabilizer_theorem)
[Q207326](https://www.wikidata.org/wiki/Q207326),[summit](https://mathgloss.github.io/MathGloss/context/summit)
[Q2143621](https://www.wikidata.org/wiki/Q2143621),[Grothendieck topos](https://mathgloss.github.io/MathGloss/context/Grothendieck_topos)
[Q621542](https://www.wikidata.org/wiki/Q621542),[commutative](https://mathgloss.github.io/MathGloss/context/commutative)
[Q2646117](https://www.wikidata.org/wiki/Q2646117),[forgetful functor](https://mathgloss.github.io/MathGloss/context/forgetful_functor)
[Q207961](https://www.wikidata.org/wiki/Q207961),[shape](https://mathgloss.github.io/MathGloss/context/shape)
[Q1771501](https://www.wikidata.org/wiki/Q1771501),[strong limit](https://mathgloss.github.io/MathGloss/context/strong_limit)
[Q901718](https://www.wikidata.org/wiki/Q901718),[product](https://mathgloss.github.io/MathGloss/context/product)
[Q906015](https://www.wikidata.org/wiki/Q906015),[direct limit](https://mathgloss.github.io/MathGloss/context/direct_limit)
[Q4370335](https://www.wikidata.org/wiki/Q4370335),[complete](https://mathgloss.github.io/MathGloss/context/complete)
[Q357858](https://www.wikidata.org/wiki/Q357858),[adjunction](https://mathgloss.github.io/MathGloss/context/adjunction)
[Q692689](https://www.wikidata.org/wiki/Q692689),[coproduct](https://mathgloss.github.io/MathGloss/context/coproduct)
[Q1945067](https://www.wikidata.org/wiki/Q1945067),[monomorphism](https://mathgloss.github.io/MathGloss/context/monomorphism)
[Q6497088](https://www.wikidata.org/wiki/Q6497088),[meets](https://mathgloss.github.io/MathGloss/context/meets)
[Q4596935](https://www.wikidata.org/wiki/Q4596935),[2-category](https://mathgloss.github.io/MathGloss/context/2-category)
