Wikidata ID,mathlib
[Q125977](https://www.wikidata.org/wiki/Q125977),[vector space](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Module/Defs.html#Module)
[Q728435](https://www.wikidata.org/wiki/Q728435),[vector subspace](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Module/Submodule/Basic.html#Subspace)
[Q1393796](https://www.wikidata.org/wiki/Q1393796),[quotient space](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/Quotient/Defs.html#Submodule.hasQuotient)
[Q5282259](https://www.wikidata.org/wiki/Q5282259),[direct sum](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/DirectSum/Basic.html#DirectSum.IsInternal)
[Q1142861](https://www.wikidata.org/wiki/Q1142861),[complementary subspaces](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/Basis/VectorSpace.html#Submodule.exists_isCompl)
[Q27670](https://www.wikidata.org/wiki/Q27670),[linear independence](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/LinearIndependent.html#LinearIndependent)
[Q643669](https://www.wikidata.org/wiki/Q643669),[generating sets](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/Span/Defs.html#Submodule.span)
[Q810214](https://www.wikidata.org/wiki/Q810214),[bases](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/Basis/Defs.html#Basis)
[Q207643](https://www.wikidata.org/wiki/Q207643),[linear map](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Module/LinearMap/Defs.html#LinearMap)
[Q524607](https://www.wikidata.org/wiki/Q524607),[general linear group](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/GeneralLinearGroup.html#LinearMap.GeneralLinearGroup)
[Q752487](https://www.wikidata.org/wiki/Q752487),[dual vector space](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/Dual.html#Module.Dual)
[Q2297777](https://www.wikidata.org/wiki/Q2297777),[dual basis](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/Dual.html#Basis.dualBasis)
[Q2858846](https://www.wikidata.org/wiki/Q2858846),[transpose of a linear map](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/Dual.html#Module.Dual.transpose)
[Q929302](https://www.wikidata.org/wiki/Q929302),[finite-dimensionality](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/FiniteDimensional/Defs.html#FiniteDimensional)
