Wikidata ID,Mathlib UG
[Q125977](https://www.wikidata.org/wiki/Q125977),[Vector space](https://leanprover-community.github.io/mathlib_docs/algebra/module/basic.html#module)
[Q728435](https://www.wikidata.org/wiki/Q728435),[Vector subspace](https://leanprover-community.github.io/mathlib_docs/algebra/module/submodule/basic.html#subspace)
[Q1393796](https://www.wikidata.org/wiki/Q1393796),[Quotient space (linear algebra)](https://leanprover-community.github.io/mathlib_docs/linear_algebra/quotient.html#submodule.has_quotient)
[Q1139111](https://www.wikidata.org/wiki/Q1139111),[Quotient space (topology)](https://leanprover-community.github.io/mathlib_docs/linear_algebra/quotient.html#submodule.has_quotient)
[Q5282259](https://www.wikidata.org/wiki/Q5282259),[Direct sum (topology)](https://leanprover-community.github.io/mathlib_docs/algebra/direct_sum/basic.html#direct_sum.is_internal)
[Q1142861](https://www.wikidata.org/wiki/Q1142861),[Complementary subspaces](https://leanprover-community.github.io/mathlib_docs/linear_algebra/basis.html#submodule.exists_is_compl)
[Q27670](https://www.wikidata.org/wiki/Q27670),[Linear independence](https://leanprover-community.github.io/mathlib_docs/linear_algebra/linear_independent.html#linear_independent)
[Q4866725](https://www.wikidata.org/wiki/Q4866725),[Bases](https://leanprover-community.github.io/mathlib_docs/linear_algebra/basis.html#basis)
[Q207643](https://www.wikidata.org/wiki/Q207643),[Linear map](https://leanprover-community.github.io/mathlib_docs/algebra/module/linear_map.html#linear_map)
[Q524607](https://www.wikidata.org/wiki/Q524607),[General linear group](https://leanprover-community.github.io/mathlib_docs/linear_algebra/general_linear_group.html#linear_map.general_linear_group)
[Q752487](https://www.wikidata.org/wiki/Q752487),[Dual vector space](https://leanprover-community.github.io/mathlib_docs/linear_algebra/dual.html#module.dual)
[Q2297777](https://www.wikidata.org/wiki/Q2297777),[Dual basis](https://leanprover-community.github.io/mathlib_docs/linear_algebra/dual.html#basis.dual_basis)
[Q2858846](https://www.wikidata.org/wiki/Q2858846),[Transpose of a linear map](https://leanprover-community.github.io/mathlib_docs/linear_algebra/dual.html#module.dual.transpose)
[Q1952404](https://www.wikidata.org/wiki/Q1952404),[Multilinear map](https://leanprover-community.github.io/mathlib_docs/linear_algebra/multilinear/basic.html#multilinear_map)
[Q810255](https://www.wikidata.org/wiki/Q810255),[Change of basis](https://leanprover-community.github.io/mathlib_docs/linear_algebra/matrix/basis.html#basis_to_matrix_mul_linear_map_to_matrix_mul_basis_to_matrix)
[Q656784](https://www.wikidata.org/wiki/Q656784),[Rank of a matrix](https://leanprover-community.github.io/mathlib_docs/data/matrix/rank.html#matrix.rank)
[Q178546](https://www.wikidata.org/wiki/Q178546),[Determinant (mathematics)](https://leanprover-community.github.io/mathlib_docs/linear_algebra/matrix/determinant.html#matrix.det)
[Q242188](https://www.wikidata.org/wiki/Q242188),[Invertibility](https://leanprover-community.github.io/mathlib_docs/linear_algebra/matrix/nonsingular_inverse.html#matrix.has_inv)
[Q1163608](https://www.wikidata.org/wiki/Q1163608),[Minimal polynomial (linear algebra)](https://leanprover-community.github.io/mathlib_docs/field_theory/minpoly/basic.html#minpoly)
[Q2242730](https://www.wikidata.org/wiki/Q2242730),[Minimal polynomial (field theory)](https://leanprover-community.github.io/mathlib_docs/field_theory/minpoly/basic.html#minpoly)
[Q849705](https://www.wikidata.org/wiki/Q849705),[Characteristic polynomial](https://leanprover-community.github.io/mathlib_docs/linear_algebra/matrix/charpoly/basic.html#matrix.charpoly)
[Q656772](https://www.wikidata.org/wiki/Q656772),[Cayley-Hamilton theorem](https://leanprover-community.github.io/mathlib_docs/linear_algebra/matrix/charpoly/basic.html#matrix.aeval_self_charpoly)
[Q190524](https://www.wikidata.org/wiki/Q190524),[Eigenvalue](https://leanprover-community.github.io/mathlib_docs/linear_algebra/eigenspace/basic.html#module.End.has_eigenvalue)
[Q190524](https://www.wikidata.org/wiki/Q190524),[Eigenvector](https://leanprover-community.github.io/mathlib_docs/linear_algebra/eigenspace/basic.html#module.End.has_eigenvector)
[Q1816952](https://www.wikidata.org/wiki/Q1816952),[Schur's lemma](https://leanprover-community.github.io/mathlib_docs/representation_theory/fdRep.html#fdRep.finrank_hom_simple_simple)
[Q1191722](https://www.wikidata.org/wiki/Q1191722),[Matrix exponential](https://leanprover-community.github.io/mathlib_docs/analysis/normed_space/exponential.html#exp)
[Q83478](https://www.wikidata.org/wiki/Q83478),[Group (mathematics)](https://leanprover-community.github.io/mathlib_docs/algebra/group/defs.html#group)
[Q868169](https://www.wikidata.org/wiki/Q868169),[Group morphism](https://leanprover-community.github.io/mathlib_docs/algebra/hom/group.html#monoid_hom)
