Wikidata ID,nLab
[Q4769949](https://www.wikidata.org/wiki/Q4769949),['t Hooft anomaly](https://ncatlab.org/nlab/show/%27t%20Hooft%20anomaly)
[Q8170996](https://www.wikidata.org/wiki/Q8170996),['t Hooft-Polyakov monopole](https://ncatlab.org/nlab/show/%27t%20Hooft-Polyakov%20monopole)
[Q7269442](https://www.wikidata.org/wiki/Q7269442),"[(infinity,1)-category](https://ncatlab.org/nlab/show/%28infinity%2C1%29-category)"
[Q306610](https://www.wikidata.org/wiki/Q306610),[0-sphere](https://ncatlab.org/nlab/show/0-sphere)
[Q736191](https://www.wikidata.org/wiki/Q736191),[120-cell](https://ncatlab.org/nlab/show/120-cell)
[Q4596935](https://www.wikidata.org/wiki/Q4596935),[2-category](https://ncatlab.org/nlab/show/2-category)
[Q25304059](https://www.wikidata.org/wiki/Q25304059),[2-functor](https://ncatlab.org/nlab/show/2-functor)
[Q4596948](https://www.wikidata.org/wiki/Q4596948),[2-group](https://ncatlab.org/nlab/show/2-group)
[Q4596935](https://www.wikidata.org/wiki/Q4596935),[2-morphism](https://ncatlab.org/nlab/show/2-morphism)
[Q7595945](https://www.wikidata.org/wiki/Q7595945),[2-sheaf](https://ncatlab.org/nlab/show/2-sheaf)
[Q663908](https://www.wikidata.org/wiki/Q663908),[2-vector space](https://ncatlab.org/nlab/show/2-vector%20space)
[Q539008](https://www.wikidata.org/wiki/Q539008),[24-cell](https://ncatlab.org/nlab/show/24-cell)
[Q5758318](https://www.wikidata.org/wiki/Q5758318),[3-category](https://ncatlab.org/nlab/show/3-category)
[Q526901](https://www.wikidata.org/wiki/Q526901),[3-manifold](https://ncatlab.org/nlab/show/3-manifold)
[Q2274197](https://www.wikidata.org/wiki/Q2274197),[3-sphere](https://ncatlab.org/nlab/show/3-sphere)
[Q2566544](https://www.wikidata.org/wiki/Q2566544),[4-manifold](https://ncatlab.org/nlab/show/4-manifold)
[Q306610](https://www.wikidata.org/wiki/Q306610),[4-sphere](https://ncatlab.org/nlab/show/4-sphere)
[Q4639668](https://www.wikidata.org/wiki/Q4639668),[5-manifold](https://ncatlab.org/nlab/show/5-manifold)
[Q306610](https://www.wikidata.org/wiki/Q306610),[5-sphere](https://ncatlab.org/nlab/show/5-sphere)
[Q306610](https://www.wikidata.org/wiki/Q306610),[6-sphere](https://ncatlab.org/nlab/show/6-sphere)
[Q2610844](https://www.wikidata.org/wiki/Q2610844),[600-cell](https://ncatlab.org/nlab/show/600-cell)
[Q2606520](https://www.wikidata.org/wiki/Q2606520),[6j symbol](https://ncatlab.org/nlab/show/6j%20symbol)
[Q306610](https://www.wikidata.org/wiki/Q306610),[7-sphere](https://ncatlab.org/nlab/show/7-sphere)
[Q306610](https://www.wikidata.org/wiki/Q306610),[8-sphere](https://ncatlab.org/nlab/show/8-sphere)
