Wikidata ID,nLab
[Q4769949](https://www.wikidata.org/wiki/Q4769949),https://ncatlab.org/nlab/show/%27t%2BHooft%2Banomaly
[Q8170996](https://www.wikidata.org/wiki/Q8170996),https://ncatlab.org/nlab/show/%27t%2BHooft-Polyakov%2Bmonopole
[Q7269442](https://www.wikidata.org/wiki/Q7269442),https://ncatlab.org/nlab/show/%28infinity%2C1%29-category
[Q306610](https://www.wikidata.org/wiki/Q306610),https://ncatlab.org/nlab/show/0-sphere
[Q736191](https://www.wikidata.org/wiki/Q736191),https://ncatlab.org/nlab/show/120-cell
[Q4596935](https://www.wikidata.org/wiki/Q4596935),https://ncatlab.org/nlab/show/2-category
[Q25304059](https://www.wikidata.org/wiki/Q25304059),https://ncatlab.org/nlab/show/2-functor
[Q4596948](https://www.wikidata.org/wiki/Q4596948),https://ncatlab.org/nlab/show/2-group
[Q4596935](https://www.wikidata.org/wiki/Q4596935),https://ncatlab.org/nlab/show/2-morphism
[Q7595945](https://www.wikidata.org/wiki/Q7595945),https://ncatlab.org/nlab/show/2-sheaf
[Q663908](https://www.wikidata.org/wiki/Q663908),https://ncatlab.org/nlab/show/2-vector%2Bspace
[Q539008](https://www.wikidata.org/wiki/Q539008),https://ncatlab.org/nlab/show/24-cell
[Q5758318](https://www.wikidata.org/wiki/Q5758318),https://ncatlab.org/nlab/show/3-category
[Q526901](https://www.wikidata.org/wiki/Q526901),https://ncatlab.org/nlab/show/3-manifold
[Q2274197](https://www.wikidata.org/wiki/Q2274197),https://ncatlab.org/nlab/show/3-sphere
[Q2566544](https://www.wikidata.org/wiki/Q2566544),https://ncatlab.org/nlab/show/4-manifold
[Q306610](https://www.wikidata.org/wiki/Q306610),https://ncatlab.org/nlab/show/4-sphere
[Q4639668](https://www.wikidata.org/wiki/Q4639668),https://ncatlab.org/nlab/show/5-manifold
[Q306610](https://www.wikidata.org/wiki/Q306610),https://ncatlab.org/nlab/show/5-sphere
[Q306610](https://www.wikidata.org/wiki/Q306610),https://ncatlab.org/nlab/show/6-sphere
[Q2610844](https://www.wikidata.org/wiki/Q2610844),https://ncatlab.org/nlab/show/600-cell
[Q2606520](https://www.wikidata.org/wiki/Q2606520),https://ncatlab.org/nlab/show/6j%2Bsymbol
[Q306610](https://www.wikidata.org/wiki/Q306610),https://ncatlab.org/nlab/show/7-sphere
[Q306610](https://www.wikidata.org/wiki/Q306610),https://ncatlab.org/nlab/show/8-sphere
[Q133740](https://www.wikidata.org/wiki/Q133740),https://ncatlab.org/nlab/show/A%2BHistory%2Bof%2BWestern%2BPhilosophy
[Q5533833](https://www.wikidata.org/wiki/Q5533833),https://ncatlab.org/nlab/show/A-hat%2Bgenus
[Q4833569](https://www.wikidata.org/wiki/Q4833569),https://ncatlab.org/nlab/show/A-infinity%2Boperad
[Q4648223](https://www.wikidata.org/wiki/Q4648223),https://ncatlab.org/nlab/show/A.%2BP.%2BBalachandran
[Q306393](https://www.wikidata.org/wiki/Q306393),https://ncatlab.org/nlab/show/abc%2Bconjecture
[Q308495](https://www.wikidata.org/wiki/Q308495),https://ncatlab.org/nlab/show/abductive%2Breasoning
[Q28189](https://www.wikidata.org/wiki/Q28189),https://ncatlab.org/nlab/show/Abdus%2BSalam
[Q4666729](https://www.wikidata.org/wiki/Q4666729),https://ncatlab.org/nlab/show/Abel-Jacobi%2Bmap
[Q318737](https://www.wikidata.org/wiki/Q318737),https://ncatlab.org/nlab/show/abelian%2Bcategory
[Q181296](https://www.wikidata.org/wiki/Q181296),https://ncatlab.org/nlab/show/abelian%2Bgroup
[Q664495](https://www.wikidata.org/wiki/Q664495),https://ncatlab.org/nlab/show/abelian%2BLie%2Balgebra
[Q18695611](https://www.wikidata.org/wiki/Q18695611),https://ncatlab.org/nlab/show/abelian%2Bsheaf
[Q318751](https://www.wikidata.org/wiki/Q318751),https://ncatlab.org/nlab/show/abelian%2Bvariety
[Q522216](https://www.wikidata.org/wiki/Q522216),https://ncatlab.org/nlab/show/abelianization
