Wikidata ID,BCT,BCT link
Q522216,abelianization,https://arxiv.org/pdf/1612.09375#page=53
Q357858,adjunction,https://arxiv.org/pdf/1612.09375#page=49
Q191839,aerial photography,https://arxiv.org/pdf/1612.09375#page=95
Q3968,algebra,https://arxiv.org/pdf/1612.09375#page=100
Q744960,associative algebra,https://arxiv.org/pdf/1612.09375#page=50
Q180969,algebraic geometry,https://arxiv.org/pdf/1612.09375#page=29
Q4724020,algebraic theory,https://arxiv.org/pdf/1612.09375#page=54
Q212803,algebraic topology,https://arxiv.org/pdf/1612.09375#page=28
Q33521,applied mathematics,https://arxiv.org/pdf/1612.09375#page=17
Q11205,arithmetic,https://arxiv.org/pdf/1612.09375#page=77
Q163875,cardinal arithmetic,https://arxiv.org/pdf/1612.09375#page=171
Q1315869,arity,https://arxiv.org/pdf/1612.09375#page=54
Q1948412,arrow,https://arxiv.org/pdf/1612.09375#page=18
Q177251,associativity,https://arxiv.org/pdf/1612.09375#page=18
Q179692,axiom of choice,https://arxiv.org/pdf/1612.09375#page=79
Q173183,Boolean algebra,https://arxiv.org/pdf/1612.09375#page=44
Q19596244,canonical,https://arxiv.org/pdf/1612.09375#page=41
Q76420,"Cantor, Georg",https://arxiv.org/pdf/1612.09375#page=86
Q4049983,cardinality,https://arxiv.org/pdf/1612.09375#page=82
Q1725874,cartesian closed category,https://arxiv.org/pdf/1612.09375#page=172
Q719395,category,https://arxiv.org/pdf/1612.09375#page=18
Q5051852,category of categories,https://arxiv.org/pdf/1612.09375#page=26
Q4370335,complete category,https://arxiv.org/pdf/1612.09375#page=167
Q104864167,coslice category,https://arxiv.org/pdf/1612.09375#page=68
Q1228851,discrete category,https://arxiv.org/pdf/1612.09375#page=21
Q719395,large category,https://arxiv.org/pdf/1612.09375#page=83
Q719395,locally small category,https://arxiv.org/pdf/1612.09375#page=83
Q5135347,monoidal closed category,https://arxiv.org/pdf/1612.09375#page=173
Q7098616,opposite category,https://arxiv.org/pdf/1612.09375#page=24
Q719395,small category,https://arxiv.org/pdf/1612.09375#page=83
Q2547089,well-powered category,https://arxiv.org/pdf/1612.09375#page=176
Q1195852,centre,https://arxiv.org/pdf/1612.09375#page=34
Q361254,characteristic function,https://arxiv.org/pdf/1612.09375#page=77
Q718,chess,https://arxiv.org/pdf/1612.09375#page=80
Q217594,class,https://arxiv.org/pdf/1612.09375#page=19
Q4720939,closure,https://arxiv.org/pdf/1612.09375#page=63
Q1850712,cocone,https://arxiv.org/pdf/1612.09375#page=134
Q199006,codomain,https://arxiv.org/pdf/1612.09375#page=19
Q5140810,coequalizer,https://arxiv.org/pdf/1612.09375#page=136
Q1198376,cohomology,https://arxiv.org/pdf/1612.09375#page=32
Q1322614,colimit,https://arxiv.org/pdf/1612.09375#page=134
Q1779341,collection,https://arxiv.org/pdf/1612.09375#page=19
Q1780005,comma category,https://arxiv.org/pdf/1612.09375#page=67
Q848569,complete,https://arxiv.org/pdf/1612.09375#page=167
Q226952,composition,https://arxiv.org/pdf/1612.09375#page=18
Q1442189,horizontal composition,https://arxiv.org/pdf/1612.09375#page=45
Q1442189,vertical composition,https://arxiv.org/pdf/1612.09375#page=45
Q21198,computer science,https://arxiv.org/pdf/1612.09375#page=17
Q1850712,cone,https://arxiv.org/pdf/1612.09375#page=126
Q1491995,connectedness,https://arxiv.org/pdf/1612.09375#page=164
Q1219453,contravariant,https://arxiv.org/pdf/1612.09375#page=30
Q692689,coproduct,https://arxiv.org/pdf/1612.09375#page=135
Q85754410,covariant,https://arxiv.org/pdf/1612.09375#page=30
Q1322614,creation of limits,https://arxiv.org/pdf/1612.09375#page=146
Q3085841,density,https://arxiv.org/pdf/1612.09375#page=162
Q178546,determinant,https://arxiv.org/pdf/1612.09375#page=37
Q843237,diagram,https://arxiv.org/pdf/1612.09375#page=126
Q621542,commutative diagram,https://arxiv.org/pdf/1612.09375#page=19
Q7623974,string diagram,https://arxiv.org/pdf/1612.09375#page=63
Q906015,direct limit,https://arxiv.org/pdf/1612.09375#page=139
Q5282259,disjoint union,https://arxiv.org/pdf/1612.09375#page=76
Q200975,domain,https://arxiv.org/pdf/1612.09375#page=19
Q2361385,duality,https://arxiv.org/pdf/1612.09375#page=24
Q1632419,Pontryagin duality,https://arxiv.org/pdf/1612.09375#page=44
Q5310265,principle of duality,https://arxiv.org/pdf/1612.09375#page=24
Q7619060,Stone duality,https://arxiv.org/pdf/1612.09375#page=44
Q3736439,duck,https://arxiv.org/pdf/1612.09375#page=112
Q535833,"Eilenberg, Samuel",https://arxiv.org/pdf/1612.09375#page=17
Q980509,embedding,https://arxiv.org/pdf/1612.09375#page=110
Q267903,epic,https://arxiv.org/pdf/1612.09375#page=141
Q1347208,epimorphism,https://arxiv.org/pdf/1612.09375#page=141
Q1224487,equalizer,https://arxiv.org/pdf/1612.09375#page=120
Q1082992,equivalence of categories,https://arxiv.org/pdf/1612.09375#page=42
Q130998,equivalence relation,https://arxiv.org/pdf/1612.09375#page=78
Q256355,equivariant,https://arxiv.org/pdf/1612.09375#page=37
Q1379672,evaluation,https://arxiv.org/pdf/1612.09375#page=40
Q4391173,exponential,https://arxiv.org/pdf/1612.09375#page=172
Q1184041,faithful,https://arxiv.org/pdf/1612.09375#page=33
Q8960830,family,https://arxiv.org/pdf/1612.09375#page=76
Q1397439,fibred product,https://arxiv.org/pdf/1612.09375#page=123
Q190109,field,https://arxiv.org/pdf/1612.09375#page=54
Q217608,fixed point,https://arxiv.org/pdf/1612.09375#page=65
Q81881,fork,https://arxiv.org/pdf/1612.09375#page=120
Q227744,foundations,https://arxiv.org/pdf/1612.09375#page=79
Q1365258,Fourier analysis,https://arxiv.org/pdf/1612.09375#page=44
Q5500272,free functor,https://arxiv.org/pdf/1612.09375#page=27
Q1149022,Fubini's theorem,https://arxiv.org/pdf/1612.09375#page=159
Q864475,functor,https://arxiv.org/pdf/1612.09375#page=25
Q864475,contravariant functor,https://arxiv.org/pdf/1612.09375#page=30
Q864475,covariant functor,https://arxiv.org/pdf/1612.09375#page=30
Q1208187,diagonal functor,https://arxiv.org/pdf/1612.09375#page=58
Q1064276,faithful functor,https://arxiv.org/pdf/1612.09375#page=33
Q2646117,forgetful functor,https://arxiv.org/pdf/1612.09375#page=26
Q1064276,full functor,https://arxiv.org/pdf/1612.09375#page=33
Q1064276,full and faithful functor,https://arxiv.org/pdf/1612.09375#page=42
Q864475,identity functor,https://arxiv.org/pdf/1612.09375#page=26
Q386320,representable functor,https://arxiv.org/pdf/1612.09375#page=92
Q288465,G-set,https://arxiv.org/pdf/1612.09375#page=30
Q131752,greatest common divisor,https://arxiv.org/pdf/1612.09375#page=118
Q17502105,greatest lower bound,https://arxiv.org/pdf/1612.09375#page=119
Q83478,group,https://arxiv.org/pdf/1612.09375#page=14
Q3912012,category of groups,https://arxiv.org/pdf/1612.09375#page=19
Q431078,free group,https://arxiv.org/pdf/1612.09375#page=27
Q662830,fundamental group,https://arxiv.org/pdf/1612.09375#page=15
Q3117899,opposite group,https://arxiv.org/pdf/1612.09375#page=34
Q1046291,topological group,https://arxiv.org/pdf/1612.09375#page=44
Q207476,holomorphic function,https://arxiv.org/pdf/1612.09375#page=161
Q1948412,hom-set,https://arxiv.org/pdf/1612.09375#page=83
Q1144780,homology,https://arxiv.org/pdf/1612.09375#page=29
Q746083,homotopy,https://arxiv.org/pdf/1612.09375#page=25
Q609647,identity,https://arxiv.org/pdf/1612.09375#page=18
Q1663694,inclusion,https://arxiv.org/pdf/1612.09375#page=14
Q1418327,indiscrete space,https://arxiv.org/pdf/1612.09375#page=15
Q17502105,infimum,https://arxiv.org/pdf/1612.09375#page=119
Q182003,injection,https://arxiv.org/pdf/1612.09375#page=131
Q1625040,injective object,https://arxiv.org/pdf/1612.09375#page=148
Q133270306,interchange law,https://arxiv.org/pdf/1612.09375#page=46
Q17141489,intersection,https://arxiv.org/pdf/1612.09375#page=118
Q224353,inverse,https://arxiv.org/pdf/1612.09375#page=20
Q7333617,right inverse,https://arxiv.org/pdf/1612.09375#page=79
Q189112,isomorphism,https://arxiv.org/pdf/1612.09375#page=20
Q1442189,natural isomorphism,https://arxiv.org/pdf/1612.09375#page=39
Q6269005,join,https://arxiv.org/pdf/1612.09375#page=136
Q1723418,Kan extension,https://arxiv.org/pdf/1612.09375#page=165
Q2920416,kernel,https://arxiv.org/pdf/1612.09375#page=14
Q1805910,large,https://arxiv.org/pdf/1612.09375#page=83
Q1196892,least element,https://arxiv.org/pdf/1612.09375#page=136
Q17502105,least upper bound,https://arxiv.org/pdf/1612.09375#page=136
Q664495,Lie algebra,https://arxiv.org/pdf/1612.09375#page=50
Q1322614,limit,https://arxiv.org/pdf/1612.09375#page=126
Q2634828,inverse limit,https://arxiv.org/pdf/1612.09375#page=128
Q719395,locally small,https://arxiv.org/pdf/1612.09375#page=83
Q232632,loop,https://arxiv.org/pdf/1612.09375#page=100
Q13222579,lower bound,https://arxiv.org/pdf/1612.09375#page=119
Q102761,lowest common multiple,https://arxiv.org/pdf/1612.09375#page=136
Q203920,manifold,https://arxiv.org/pdf/1612.09375#page=141
Q370502,map,https://arxiv.org/pdf/1612.09375#page=18
Q1086961,bilinear map,https://arxiv.org/pdf/1612.09375#page=12
Q194404,order-preserving map,https://arxiv.org/pdf/1612.09375#page=30
Q44337,matrix,https://arxiv.org/pdf/1612.09375#page=48
Q6269005,meet,https://arxiv.org/pdf/1612.09375#page=119
Q180953,metric space,https://arxiv.org/pdf/1612.09375#page=99
Q845060,minimum,https://arxiv.org/pdf/1612.09375#page=118
Q1979154,model,https://arxiv.org/pdf/1612.09375#page=54
Q6899873,monic,https://arxiv.org/pdf/1612.09375#page=131
Q2785361,monoid,https://arxiv.org/pdf/1612.09375#page=23
Q1945067,monomorphism,https://arxiv.org/pdf/1612.09375#page=131
Q1948412,morphism,https://arxiv.org/pdf/1612.09375#page=18
Q5758318,n-category,https://arxiv.org/pdf/1612.09375#page=46
Q21199,natural numbers,https://arxiv.org/pdf/1612.09375#page=23
Q1442189,natural transformation,https://arxiv.org/pdf/1612.09375#page=36
Q1442189,identity natural transformation,https://arxiv.org/pdf/1612.09375#page=38
Q398816,naturally,https://arxiv.org/pdf/1612.09375#page=40
Q719395,object,https://arxiv.org/pdf/1612.09375#page=18
Q529752,initial object,https://arxiv.org/pdf/1612.09375#page=56
Q2112502,projective object,https://arxiv.org/pdf/1612.09375#page=148
Q529752,terminal object,https://arxiv.org/pdf/1612.09375#page=56
Q213363,open subset,https://arxiv.org/pdf/1612.09375#page=97
Q194404,order-preserving,https://arxiv.org/pdf/1612.09375#page=30
Q474715,ordered set,https://arxiv.org/pdf/1612.09375#page=23
Q369377,totally ordered set,https://arxiv.org/pdf/1612.09375#page=47
Q1756942,partial function,https://arxiv.org/pdf/1612.09375#page=72
Q474715,partially ordered set,https://arxiv.org/pdf/1612.09375#page=23
Q161519,permutation,https://arxiv.org/pdf/1612.09375#page=47
Q122391649,pointwise,https://arxiv.org/pdf/1612.09375#page=31
Q43260,polynomial,https://arxiv.org/pdf/1612.09375#page=29
Q474715,poset,https://arxiv.org/pdf/1612.09375#page=23
Q33456,power,https://arxiv.org/pdf/1612.09375#page=120
Q1144319,predicate,https://arxiv.org/pdf/1612.09375#page=65
Q1425985,preorder,https://arxiv.org/pdf/1612.09375#page=23
Q7241077,presheaf,https://arxiv.org/pdf/1612.09375#page=32
Q49008,prime numbers,https://arxiv.org/pdf/1612.09375#page=161
Q919107,product,https://arxiv.org/pdf/1612.09375#page=116
Q1812172,empty product,https://arxiv.org/pdf/1612.09375#page=119
Q13415428,projection,https://arxiv.org/pdf/1612.09375#page=116
Q1397439,pullback,https://arxiv.org/pdf/1612.09375#page=122
Q1633079,pushout,https://arxiv.org/pdf/1612.09375#page=138
Q48975267,quotient,https://arxiv.org/pdf/1612.09375#page=140
Q165939,reflective,https://arxiv.org/pdf/1612.09375#page=54
Q107223533,relation,https://arxiv.org/pdf/1612.09375#page=136
Q85776755,linear relation,https://arxiv.org/pdf/1612.09375#page=30
Q161172,ring,https://arxiv.org/pdf/1612.09375#page=10
Q5051859,category of rings,https://arxiv.org/pdf/1612.09375#page=19
Q5500180,free ring,https://arxiv.org/pdf/1612.09375#page=95
Q1455652,polynomial ring,https://arxiv.org/pdf/1612.09375#page=16
Q254474,sameness,https://arxiv.org/pdf/1612.09375#page=41
Q1155772,scheme,https://arxiv.org/pdf/1612.09375#page=29
Q60727552,section,https://arxiv.org/pdf/1612.09375#page=79
Q133250,sequence,https://arxiv.org/pdf/1612.09375#page=79
Q133250,finite sequence,https://arxiv.org/pdf/1612.09375#page=43
Q595298,sheaf,https://arxiv.org/pdf/1612.09375#page=32
Q735660,simultaneous equations,https://arxiv.org/pdf/1612.09375#page=29
Q104864167,slice category,https://arxiv.org/pdf/1612.09375#page=67
Q420725,small,https://arxiv.org/pdf/1612.09375#page=83
Q12507,sphere,https://arxiv.org/pdf/1612.09375#page=140
Q2547089,subobject,https://arxiv.org/pdf/1612.09375#page=133
