Wikidata ID,Clowder,Clowder link
Q130901,Tag 00HG,https://www.clowderproject.com/tag/00HG.html
Q182598,Tag 00P1,https://www.clowderproject.com/tag/00P1.html
Q1248241,Tag 00QF,https://www.clowderproject.com/tag/00QF.html
Q279512,Tag 00QU,https://www.clowderproject.com/tag/00QU.html
Q173740,Tag 000T,https://www.clowderproject.com/tag/000T.html
Q719395,Tag 00WB,https://www.clowderproject.com/tag/00WB.html
Q7233031,Tag 00X3,https://www.clowderproject.com/tag/00X3.html
Q541563,Tag 00XD,https://www.clowderproject.com/tag/00XD.html
Q103927515,Tag 00XE,https://www.clowderproject.com/tag/00XE.html
Q1228851,Tag 00YK,https://www.clowderproject.com/tag/00YK.html
Q189112,Tag 00Z3,https://www.clowderproject.com/tag/00Z3.html
Q1196038,Tag 00Z5,https://www.clowderproject.com/tag/00Z5.html
Q864475,Tag 00ZW,https://www.clowderproject.com/tag/00ZW.html
Q116269680,Tag 01JA,https://www.clowderproject.com/tag/01JA.html
Q7241077,Tag 02H6,https://www.clowderproject.com/tag/02H6.html
Q320577,Tag 02HY,https://www.clowderproject.com/tag/02HY.html
Q386320,Tag 02JF,https://www.clowderproject.com/tag/02JF.html
Q226183,Tag 002Z,https://www.clowderproject.com/tag/002Z.html
Q934367,Tag 003A,https://www.clowderproject.com/tag/003A.html
Q185359,Tag 003H,https://www.clowderproject.com/tag/003H.html
Q185837,Tag 003Y,https://www.clowderproject.com/tag/003Y.html
Q845126,Tag 004E,https://www.clowderproject.com/tag/004E.html
Q5073765,Tag 005Z,https://www.clowderproject.com/tag/005Z.html
Q205170,Tag 006P,https://www.clowderproject.com/tag/006P.html
Q860623,Tag 007G,https://www.clowderproject.com/tag/007G.html
Q3054915,Tag 009B,https://www.clowderproject.com/tag/009B.html
Q2646117,Tag 010C,https://www.clowderproject.com/tag/010C.html
Q33059348,Tag 011S,https://www.clowderproject.com/tag/011S.html
Q140283,Tag 013K,https://www.clowderproject.com/tag/013K.html
Q1082992,Tag 013Q,https://www.clowderproject.com/tag/013Q.html
Q5290301,Tag 014K,https://www.clowderproject.com/tag/014K.html
Q1442189,Tag 017Q,https://www.clowderproject.com/tag/017Q.html
Q110535030,Tag 018J,https://www.clowderproject.com/tag/018J.html
Q2007878,Tag 018S,https://www.clowderproject.com/tag/018S.html
Q842620,Tag 0021,https://www.clowderproject.com/tag/0021.html
Q1165112,Tag 0031,https://www.clowderproject.com/tag/0031.html
Q191290,Tag 0035,https://www.clowderproject.com/tag/0035.html
Q242767,Tag 0050,https://www.clowderproject.com/tag/0050.html
Q1147242,Tag 0057,https://www.clowderproject.com/tag/0057.html
Q5637899,Tag 0081,https://www.clowderproject.com/tag/0081.html
Q124662529,Tag 0108,https://www.clowderproject.com/tag/0108.html
Q12175350,Tag 0117,https://www.clowderproject.com/tag/0117.html
Q1064276,Tag 0129,https://www.clowderproject.com/tag/0129.html
Q120721906,Tag 0129,https://www.clowderproject.com/tag/0129.html
Q23808682,Tag 0133,https://www.clowderproject.com/tag/0133.html
Q6086107,Tag 0149,https://www.clowderproject.com/tag/0149.html
