Wikidata ID,Title,Link,Label,Layer,Score,Reason,Alternates,Provenance
Q803931,Baire property,https://mathgloss.github.io/MathGloss/chicago/Baire_property,property of Baire,layer1.csv,0.867,token_jaccard=0.67,,layer_match
Q1150180,Baire space,https://mathgloss.github.io/MathGloss/chicago/Baire_space,Baire space,layer1.csv,1.000,exact_letters,Q803936 (1.000; exact_letters) Baire space [layer3.csv],layer_match
Q3459695,Banach Mazur game,https://mathgloss.github.io/MathGloss/chicago/Banach-Mazur_game,Banach–Mazur game,layer1.csv,1.000,exact_letters,Q25304403 (0.867; token_jaccard=0.67) Banach game [layer5.csv],layer_match
Q806066,Banach algebra,https://mathgloss.github.io/MathGloss/chicago/Banach_algebra,Banach algebra,layer1.csv,1.000,exact_letters,Q16930464 (1.000; exact_letters) Banach *-algebra [layer2.csv]; Q4742386 (0.867; token_jaccard=0.67) amenable Banach algebra [layer2.csv],layer_match
Q194397,Banach space,https://mathgloss.github.io/MathGloss/chicago/Banach_space,Banach space,layer1.csv,1.000,exact_letters,,layer_match
Q15895745,Borel function,https://mathgloss.github.io/MathGloss/chicago/Borel_function,Borel function,layer3.csv,1.000,exact_letters,,layer_match
Q91578938,Borel space,https://mathgloss.github.io/MathGloss/chicago/Borel_space,Borel space,layer4.csv,1.000,exact_letters,Q25378068 (0.867; token_jaccard=0.67) standard Borel space [layer5.csv],layer_match
Q1080067,Borel σ algebra,https://mathgloss.github.io/MathGloss/chicago/Borel_σ-algebra,Borel algebra,layer5.csv,1.000,token_jaccard=1.00,,layer_match
Q273188,Cantor set,https://mathgloss.github.io/MathGloss/chicago/Cantor_set,Cantor set,layer4.csv,1.000,exact_letters,,layer_match
Q217847,Cauchy sequence,https://mathgloss.github.io/MathGloss/chicago/Cauchy_sequence,cauchy sequence,layer1.csv,1.000,exact_letters,Q7885144 (0.867; token_jaccard=0.67) uniformly Cauchy sequence [layer1.csv],layer_match
Q867345,Euclidean domain,https://mathgloss.github.io/MathGloss/chicago/Euclidean_domain,Euclidean domain,layer4.csv,1.000,exact_letters,,layer_match
Q190026,Euler's totient function,https://mathgloss.github.io/MathGloss/chicago/Euler's_totient_function,Euler's totient function,layer2.csv,1.000,exact_letters,,layer_match
Q769124,Frobenius endomorphism,https://mathgloss.github.io/MathGloss/chicago/Frobenius_endomorphism,Frobenius endomorphism,layer3.csv,1.000,exact_letters,,layer_match
Q4133834,G harmonic polynomial,https://mathgloss.github.io/MathGloss/chicago/G-harmonic_polynomial,harmonic polynomial,layer4.csv,0.867,token_jaccard=0.67,,layer_match
Q3754518,G invariant function,https://mathgloss.github.io/MathGloss/chicago/G-invariant_function,G-function,layer1.csv,0.867,token_jaccard=0.67,,layer_match
Q2706744,G invariant subspace,https://mathgloss.github.io/MathGloss/chicago/G-invariant_subspace,invariant subspace,layer5.csv,0.867,token_jaccard=0.67,,layer_match
Q20827113,G space,https://mathgloss.github.io/MathGloss/chicago/G-space,G-space,layer2.csv,1.000,exact_letters,,layer_match
Q2020004,Galois extension,https://mathgloss.github.io/MathGloss/chicago/Galois_extension,Galois extension,layer5.csv,1.000,exact_letters,,layer_match
Q5721625,Hamel basis,https://mathgloss.github.io/MathGloss/chicago/Hamel_basis,Hamel basis,layer1.csv,1.000,exact_letters,,layer_match
Q620495,Hessian matrix,https://mathgloss.github.io/MathGloss/chicago/Hessian_matrix,Hessian matrix,layer1.csv,1.000,exact_letters,Q2645505 (0.867; token_jaccard=0.67) bordered Hessian matrix [layer5.csv],layer_match
Q190056,Hilbert space,https://mathgloss.github.io/MathGloss/chicago/Hilbert_space,Hilbert space,layer1.csv,1.000,exact_letters,Q3058230 (0.867; token_jaccard=0.67) projective Hilbert space [layer3.csv]; Q1262627 (0.867; token_jaccard=0.67) rigged Hilbert space [layer5.csv],layer_match
Q1474543,Jacobian determinant,https://mathgloss.github.io/MathGloss/chicago/Jacobian_determinant,Jacobian determinant,layer5.csv,1.000,exact_letters,,layer_match
Q506041,Jacobian matrix,https://mathgloss.github.io/MathGloss/chicago/Jacobian_matrix,Jacobian matrix,layer1.csv,1.000,exact_letters,,layer_match
Q192826,Kronecker delta,https://mathgloss.github.io/MathGloss/chicago/Kronecker_delta,Kronecker delta,layer2.csv,1.000,exact_letters,,layer_match
Q425432,Laurent series,https://mathgloss.github.io/MathGloss/chicago/Laurent_series,Laurent series,layer3.csv,1.000,exact_letters,,layer_match
Q827230,Lebesgue measure,https://mathgloss.github.io/MathGloss/chicago/Lebesgue_measure,Lebesgue measure,layer1.csv,1.000,exact_letters,Q25447455 (0.867; token_jaccard=0.67) Lebesgue outer measure [layer2.csv],layer_match
Q25447455,Lebesgue outer measure,https://mathgloss.github.io/MathGloss/chicago/Lebesgue_outer_measure,Lebesgue outer measure,layer1.csv,1.000,exact_letters,Q827230 (0.867; token_jaccard=0.67) Lebesgue measure [layer5.csv]; Q258374 (0.867; token_jaccard=0.67) outer measure [layer3.csv],layer_match
Q664495,Lie algebra,https://mathgloss.github.io/MathGloss/chicago/Lie_algebra,Lie algebra,layer2.csv,1.000,exact_letters,Q632521 (0.867; token_jaccard=0.67) affine Lie algebra [layer5.csv]; Q28852305 (0.867; token_jaccard=0.67) classical Lie algebra [layer5.csv]; Q5155287 (0.867; token_jaccard=0.67) compact Lie algebra [layer3.csv]; Q5499906 (0.867; token_jaccard=0.67) free Lie algebra [layer4.csv],layer_match
