Wikidata ID,Title,Link,Label,Layer,Score,Reason,Alternates,Provenance
Q5888619,Home Page,https://ncatlab.org/nlab/show/HomePage,Home Page,layer5.csv,1.000,exact_letters,,layer_match
Q4596935,(-2)-category,https://ncatlab.org/nlab/show/%28-2%29-category,strict 2-category,layer3.csv,0.867,token_jaccard=0.67,,layer_match
Q124423945,(-2)-groupoid,https://ncatlab.org/nlab/show/%28-2%29-groupoid,2-groupoid,layer3.csv,1.000,exact_letters,,layer_match
Q9127812,"(0,1)-category",https://ncatlab.org/nlab/show/%280%2C1%29-category,0 1 0,layer5.csv,0.867,token_jaccard=0.67,,layer_match
Q9127812,"(0,1)-presheaf",https://ncatlab.org/nlab/show/%280%2C1%29-presheaf,0 1 0,layer5.csv,0.867,token_jaccard=0.67,,layer_match
Q9127812,"(0,1)-topos",https://ncatlab.org/nlab/show/%280%2C1%29-topos,0 1 0,layer5.csv,0.867,token_jaccard=0.67,,layer_match
Q9127812,"(1,0)-category",https://ncatlab.org/nlab/show/%281%2C0%29-category,0 1 0,layer5.csv,0.867,token_jaccard=0.67,,layer_match
Q78093741,"(infinity,2)-site",https://ncatlab.org/nlab/show/%28infinity%2C2%29-site,Site 2,layer5.csv,0.867,token_jaccard=0.67,,layer_match
Q16827071,"(∞,1)-algebra over an (∞,1)-operad > history",https://ncatlab.org/nlab/show/%28%E2%88%9E%2C1%29-algebra+over+an+%28%E2%88%9E%2C1%29-operad+%3E+history,algebra over an operad,layer1.csv,0.867,token_jaccard=0.67,,layer_match
Q5051857,"(∞,1)-category of (∞,1)-modules",https://ncatlab.org/nlab/show/%28%E2%88%9E%2C1%29-category+of+%28%E2%88%9E%2C1%29-modules,category of modules,layer4.csv,0.900,token_jaccard=0.75,,layer_match
Q25304059,"(∞,2)-functor",https://ncatlab.org/nlab/show/%28%E2%88%9E%2C2%29-functor,2-functor,layer4.csv,1.000,token_jaccard=1.00,,layer_match
