Wikidata ID,Title,Link,Label,Layer,Score,Reason,Alternates,Provenance
Q306393,ABC conjecture,http://planetmath.org/abcconjecture,abc conjecture,layer3.csv,1.000,exact_letters,,layer_match
Q318705,abelian extension,http://planetmath.org/abelianextension,abelian extension,layer1.csv,1.000,exact_letters,,layer_match
Q181296,abelian group,http://planetmath.org/abeliangroup,abelian group,layer1.csv,1.000,exact_letters,Q85739412 (0.867; token_jaccard=0.67) Abelian Lie group [layer5.csv]; Q7825020 (0.867; token_jaccard=0.67) abelian topological group [layer5.csv]; Q1017231 (0.867; token_jaccard=0.67) elementary abelian group [layer4.csv]; Q3117606 (0.867; token_jaccard=0.67) finite abelian group [layer5.csv],layer_match
Q318598,abelianization,http://planetmath.org/abelianization,abelianization,layer2.csv,1.000,exact_letters,,layer_match
Q318751,abelian variety,http://planetmath.org/abelianvariety,abelian variety,layer1.csv,1.000,exact_letters,Q5310181 (0.867; token_jaccard=0.67) dual abelian variety [layer4.csv]; Q7449666 (0.867; token_jaccard=0.67) semistable abelian variety [layer2.csv]; Q131513470 (0.867; token_jaccard=0.67) simple abelian variety [layer3.csv],layer_match
Q4668179,abnormal subgroup,http://planetmath.org/abnormalsubgroup,abnormal subgroup,layer4.csv,1.000,exact_letters,,layer_match
Q7885093,absolute convergence implies uniform convergence,http://planetmath.org/absoluteconvergenceimpliesuniformconvergence,uniform absolute-convergence,layer2.csv,0.900,token_jaccard=0.75,,layer_match
Q332465,absolute convergence theorem,http://planetmath.org/absoluteconvergencetheorem,absolute convergence,layer3.csv,0.867,token_jaccard=0.67,,layer_match
Q332407,absolute Galois group,http://planetmath.org/absolutegaloisgroup,absolute Galois group,layer4.csv,1.000,exact_letters,Q730384 (0.867; token_jaccard=0.67) Galois group [layer3.csv],layer_match
Q20827138,absolutely continuous,http://planetmath.org/absolutelycontinuous,Absolutely continuous measure,layer5.csv,0.867,token_jaccard=0.67,,layer_match
Q120812,absolute value,http://planetmath.org/absolutevalue,absolute value,layer2.csv,1.000,exact_letters,Q4669840 (1.000; exact_letters) absolute value [layer3.csv]; Q2115697 (0.867; token_jaccard=0.67) pseudo-absolute value [layer4.csv],layer_match
Q187420,absorbing element,http://planetmath.org/absorbingelement,absorbing element,layer3.csv,1.000,exact_letters,,layer_match
Q332775,absorbing set,http://planetmath.org/absorbingset,absorbing set,layer2.csv,1.000,exact_letters,,layer_match
Q122889655,abundance,http://planetmath.org/abundance,abundance,layer1.csv,1.000,exact_letters,Q17547084 (1.000; exact_letters) abundance [layer3.csv]; Q336019 (1.000; exact_letters) abundance [layer5.csv],layer_match
Q223722,abundant number,http://planetmath.org/abundantnumber,abundant number,layer4.csv,1.000,exact_letters,Q3205712 (0.867; token_jaccard=0.67) highly abundant number [layer4.csv]; Q1956296 (0.867; token_jaccard=0.67) primitive abundant number [layer3.csv],layer_match
Q134509365,A⁢C⁢A_0,http://planetmath.org/aca0,ACA₀,layer3.csv,1.000,exact_letters,,layer_match
Q3232444,Achilles number,http://planetmath.org/achillesnumber,Achilles number,layer4.csv,1.000,exact_letters,,layer_match
Q341835,Ackermann function,http://planetmath.org/ackermannfunction,Ackermann function,layer1.csv,1.000,exact_letters,,layer_match
Q2269888,A. Cohn’s irreducibility criterion,http://planetmath.org/acohnsirreducibilitycriterion,Cohn's irreducibility criterion,layer3.csv,0.920,token_jaccard=0.80,,layer_match
Q3115453,acyclic graph,http://planetmath.org/acyclicgraph,acyclic graph,layer5.csv,1.000,exact_letters,Q3707624 (0.867; token_jaccard=0.67) connective acyclic graph [layer5.csv]; Q1195339 (0.867; token_jaccard=0.67) directed acyclic graph [layer5.csv],layer_match
Q4680695,adapted process,http://planetmath.org/adaptedprocess,Adapted process,layer2.csv,1.000,exact_letters,,layer_match
Q32043,addition,http://planetmath.org/addition,addition,layer4.csv,1.000,exact_letters,,layer_match
Q4681316,addition chain,http://planetmath.org/additionchain,addition chain,layer3.csv,1.000,exact_letters,,layer_match
Q1715792,addition formula,http://planetmath.org/additionformula,velocity-addition formula,layer4.csv,0.867,token_jaccard=0.67,,layer_match
Q95744479,additive function,http://planetmath.org/additivefunction,additive function,layer3.csv,1.000,exact_letters,Q95745348 (1.000; exact_letters) additive function [layer4.csv]; Q4057455 (0.867; token_jaccard=0.67) additive set function [layer3.csv]; Q95361345 (0.867; token_jaccard=0.67) completely additive function [layer5.csv],layer_match
Q95744479,additive function,http://planetmath.org/additivefunction1,additive function,layer3.csv,1.000,exact_letters,Q95745348 (1.000; exact_letters) additive function [layer4.csv]; Q4057455 (0.867; token_jaccard=0.67) additive set function [layer3.csv]; Q95361345 (0.867; token_jaccard=0.67) completely additive function [layer5.csv],layer_match
Q3605174,adèle,http://planetmath.org/adele,Adele,layer5.csv,1.000,exact_letters,,layer_match
Q15217424,adherent point,http://planetmath.org/adherentpoint,adherent point,layer3.csv,1.000,exact_letters,,layer_match
Q192683,ad hoc,http://planetmath.org/adhoc,ad hoc,layer5.csv,1.000,exact_letters,Q282072 (0.867; token_jaccard=0.67) ad hoc hypothesis [layer4.csv],layer_match
Q727035,adjacency matrix,http://planetmath.org/adjacencymatrix,adjacency matrix,layer4.csv,1.000,exact_letters,Q7446630 (0.867; token_jaccard=0.67) Seidel adjacency matrix [layer3.csv],layer_match
Q5403187,adjacent,http://planetmath.org/adjacent,adjacent,layer1.csv,1.000,exact_letters,,layer_match
Q5403187,adjacent,http://planetmath.org/adjacent1,adjacent,layer1.csv,1.000,exact_letters,,layer_match
Q1017106,adjoint representation,http://planetmath.org/adjointrepresentation,adjoint representation,layer5.csv,1.000,exact_letters,,layer_match
Q2028341,Ado’s theorem,http://planetmath.org/adostheorem,Ado's theorem,layer3.csv,1.000,exact_letters,,layer_match
Q938614,affine combination,http://planetmath.org/affinecombination,affine combination,layer3.csv,1.000,exact_letters,,layer_match
Q1371213,affine connection,http://planetmath.org/affineconnection,affine connection,layer3.csv,1.000,exact_letters,,layer_match
Q382698,affine space,http://planetmath.org/affinespace,affine space,layer2.csv,1.000,exact_letters,Q3058163 (0.867; token_jaccard=0.67) eucidean affine space [layer3.csv],layer_match
Q382497,affine transformation,http://planetmath.org/affinetransformation,affine transformation,layer3.csv,1.000,exact_letters,,layer_match
Q2246542,Agoh-Giuga conjecture,http://planetmath.org/agohgiugaconjecture,Agoh–Giuga conjecture,layer3.csv,1.000,exact_letters,,layer_match
Q4718108,Alexander trick,http://planetmath.org/alexandertrick,Alexander's trick,layer1.csv,0.867,token_jaccard=0.67,,layer_match
Q3968,algebra,http://planetmath.org/algebra,algebra,layer2.csv,1.000,exact_letters,Q2836000 (1.000; exact_letters) *-algebra [layer3.csv],layer_match
Q1047547,algebraically closed,http://planetmath.org/algebraicallyclosed,algebraically closed field,layer4.csv,0.867,token_jaccard=0.67,,layer_match
Q50698,algebraic equation,http://planetmath.org/algebraicequation,algebraic equation,layer4.csv,1.000,exact_letters,Q4723995 (0.867; token_jaccard=0.67) algebraic differential equation [layer4.csv]; Q4723989 (0.867; token_jaccard=0.67) algebraic Riccati equation [layer5.csv]; Q955889 (0.867; token_jaccard=0.67) differential algebraic equation [layer5.csv],layer_match
Q550791,algebraic extension,http://planetmath.org/algebraicextension,algebraic extension,layer4.csv,1.000,exact_letters,,layer_match
Q746863,algebraic function,http://planetmath.org/algebraicfunction,algebraic function,layer2.csv,1.000,exact_letters,Q4724000 (0.867; token_jaccard=0.67) algebraic function field [layer5.csv],layer_match
Q121554727,algebraic integer,http://planetmath.org/algebraicinteger,algebraic integer,layer3.csv,1.000,exact_letters,Q646245 (1.000; exact_letters) algebraic integer [layer4.csv],layer_match
Q135097759,algebraic lattice,http://planetmath.org/algebraiclattice,algebraic lattice,layer5.csv,1.000,exact_letters,,layer_match
Q4724008,algebraic manifold,http://planetmath.org/algebraicmanifold,algebraic manifold,layer4.csv,1.000,exact_letters,,layer_match
Q168817,algebraic number,http://planetmath.org/algebraicnumber,algebraic number,layer3.csv,1.000,exact_letters,Q616608 (0.867; token_jaccard=0.67) algebraic number field [layer4.csv]; Q613048 (0.867; token_jaccard=0.67) algebraic number theory [layer2.csv],layer_match
Q613048,algebraic number theory,http://planetmath.org/algebraicnumbertheory,algebraic number theory,layer2.csv,1.000,exact_letters,Q168817 (0.867; token_jaccard=0.67) algebraic number [layer5.csv],layer_match
Q56312286,algebraic system,http://planetmath.org/algebraicsystem,algebraic system,layer1.csv,1.000,exact_letters,,layer_match
Q4724022,algebraic torus,http://planetmath.org/algebraictorus,algebraic torus,layer2.csv,1.000,exact_letters,,layer_match
Q1663510,aliquot sequence,http://planetmath.org/aliquotsequence,aliquot sequence,layer3.csv,1.000,exact_letters,,layer_match
Q78340703,almost complex structure,http://planetmath.org/almostcomplexstructure,almost complex structure,layer1.csv,1.000,exact_letters,,layer_match
Q4734003,almost convergent,http://planetmath.org/almostconvergent,Almost convergent sequence,layer4.csv,0.867,token_jaccard=0.67,,layer_match
Q1139334,almost everywhere,http://planetmath.org/almosteverywhere,almost everywhere,layer3.csv,1.000,exact_letters,,layer_match
Q1526045,almost perfect number,http://planetmath.org/almostperfectnumber,almost perfect number,layer3.csv,1.000,exact_letters,Q10904467 (0.867; token_jaccard=0.67) Almost Perfect [layer5.csv]; Q41715396 (0.867; token_jaccard=0.67) Almost Perfect [layer5.csv]; Q170043 (0.867; token_jaccard=0.67) perfect number [layer4.csv]; Q7168024 (0.867; token_jaccard=0.67) Perfect Number [layer5.csv],layer_match
Q15302777,alphabet,http://planetmath.org/alphabet,Alphabet,layer5.csv,1.000,exact_letters,Q837518 (1.000; exact_letters) alphabet [layer4.csv],layer_match
Q3890817,alternating factorial,http://planetmath.org/alternatingfactorial,Alternating factorial,layer1.csv,1.000,exact_letters,,layer_match
Q3077468,alternating form,http://planetmath.org/alternatingform,alternating multilinear form,layer5.csv,0.867,token_jaccard=0.67,,layer_match
Q91251728,alternating harmonic series,http://planetmath.org/alternatingharmonicseries,alternating harmonic series,layer4.csv,1.000,exact_letters,Q438842 (0.867; token_jaccard=0.67) alternating series [layer5.csv]; Q263961 (0.867; token_jaccard=0.67) harmonic series [layer4.csv]; Q464100 (0.867; token_jaccard=0.67) harmonic series [layer4.csv],layer_match
Q4736417,alternating knot,http://planetmath.org/alternatingknot,alternating knot,layer3.csv,1.000,exact_letters,Q96741348 (0.867; token_jaccard=0.67) almost-alternating knot [layer4.csv]; Q96741342 (0.867; token_jaccard=0.67) non-alternating knot [layer4.csv],layer_match
Q438842,alternating series,http://planetmath.org/alternatingseries,alternating series,layer3.csv,1.000,exact_letters,Q91251728 (0.867; token_jaccard=0.67) alternating harmonic series [layer4.csv]; Q914099 (0.867; token_jaccard=0.67) alternating series test [layer3.csv],layer_match
Q914099,alternating series test,http://planetmath.org/alternatingseriestest,alternating series test,layer3.csv,1.000,exact_letters,Q438842 (0.867; token_jaccard=0.67) alternating series [layer5.csv],layer_match
Q2165111,alternative algebra,http://planetmath.org/alternativealgebra,alternative algebra,layer4.csv,1.000,exact_letters,,layer_match
Q1917459,ambiguous grammar,http://planetmath.org/ambiguousgrammar,ambiguous grammar,layer4.csv,1.000,exact_letters,,layer_match
Q460419,Amdahl’s Law,http://planetmath.org/amdahlslaw,Amdahl's law,layer3.csv,1.000,exact_letters,,layer_match
Q4742387,amenable number,http://planetmath.org/amenablenumber,amenable number,layer4.csv,1.000,exact_letters,,layer_match
Q117927,amicable numbers,http://planetmath.org/amicablenumbers,amicable numbers,layer1.csv,1.000,exact_letters,,layer_match
Q485287,analytic continuation,http://planetmath.org/analyticcontinuation,analytic continuation,layer3.csv,1.000,exact_letters,,layer_match
Q10843274,analytic number theory,http://planetmath.org/analyticnumbertheory,analytic number theory,layer3.csv,1.000,exact_letters,,layer_match
Q485312,analytic set,http://planetmath.org/analyticset,analytic set,layer4.csv,1.000,exact_letters,,layer_match
Q485312,analytic set,http://planetmath.org/analyticset1,analytic set,layer4.csv,1.000,exact_letters,,layer_match
Q4751141,analytic space,http://planetmath.org/analyticspace,analytic space,layer4.csv,1.000,exact_letters,Q7333799 (0.867; token_jaccard=0.67) rigid analytic space [layer5.csv],layer_match
Q1548146,Andrica’s conjecture,http://planetmath.org/andricasconjecture,Andrica's conjecture,layer3.csv,1.000,exact_letters,,layer_match
Q27809,angle bisector,http://planetmath.org/anglebisector,angle bisector,layer2.csv,1.000,exact_letters,Q925854 (0.867; token_jaccard=0.67) angle bisector theorem [layer3.csv],layer_match
Q567083,annihilator,http://planetmath.org/annihilator,annihilator,layer3.csv,1.000,exact_letters,,layer_match
