Wikidata ID,Context,Context link
Q3041173,group extension,https://emilyriehl.github.io/files/context.pdf#page=19
Q311627,p-adic integers,https://emilyriehl.github.io/files/context.pdf#page=19
Q3489713,p-adic solenoid,https://emilyriehl.github.io/files/context.pdf#page=19
Q2495664,universal coefficient theorem,https://emilyriehl.github.io/files/context.pdf#page=19
Q1144780,homology,https://emilyriehl.github.io/files/context.pdf#page=19
Q1198376,cohomology,https://emilyriehl.github.io/files/context.pdf#page=19
Q1442189,natural,https://emilyriehl.github.io/files/context.pdf#page=19
Q752487,dual vector space,https://emilyriehl.github.io/files/context.pdf#page=19
Q1326955,exact sequence,https://emilyriehl.github.io/files/context.pdf#page=19
Q719395,category,https://emilyriehl.github.io/files/context.pdf#page=21
Q1948412,arrow,https://emilyriehl.github.io/files/context.pdf#page=21
Q370502,map,https://emilyriehl.github.io/files/context.pdf#page=21
Q200975,domain,https://emilyriehl.github.io/files/context.pdf#page=21
Q199006,codomain,https://emilyriehl.github.io/files/context.pdf#page=21
Q1948412,identity morphism,https://emilyriehl.github.io/files/context.pdf#page=21
Q179899,topological space,https://emilyriehl.github.io/files/context.pdf#page=22
Q298582,signature,https://emilyriehl.github.io/files/context.pdf#page=22
Q1575634,concrete category,https://emilyriehl.github.io/files/context.pdf#page=22
Q17503273,basepoint,https://emilyriehl.github.io/files/context.pdf#page=22
Q1143328,chain complex,https://emilyriehl.github.io/files/context.pdf#page=22
Q1228851,discrete category,https://emilyriehl.github.io/files/context.pdf#page=23
Q2785361,monoid,https://emilyriehl.github.io/files/context.pdf#page=23
Q1425985,preorder,https://emilyriehl.github.io/files/context.pdf#page=23
Q474715,poset,https://emilyriehl.github.io/files/context.pdf#page=23
Q33401,Russell's paradox,https://emilyriehl.github.io/files/context.pdf#page=24
Q420725,small,https://emilyriehl.github.io/files/context.pdf#page=24
Q719395,small category,https://emilyriehl.github.io/files/context.pdf#page=24
Q77887,von Neumann hierarchy,https://emilyriehl.github.io/files/context.pdf#page=24
Q1465090,Grothendieck universe,https://emilyriehl.github.io/files/context.pdf#page=24
Q719395,locally small,https://emilyriehl.github.io/files/context.pdf#page=25
Q719395,locally small category,https://emilyriehl.github.io/files/context.pdf#page=25
Q1948412,hom-set,https://emilyriehl.github.io/files/context.pdf#page=25
Q189112,isomorphic,https://emilyriehl.github.io/files/context.pdf#page=25
Q189112,isomorphism,https://emilyriehl.github.io/files/context.pdf#page=25
Q782566,automorphism,https://emilyriehl.github.io/files/context.pdf#page=25
Q1196038,groupoid,https://emilyriehl.github.io/files/context.pdf#page=25
Q83478,group,https://emilyriehl.github.io/files/context.pdf#page=25
Q85174068,fundamental groupoid,https://emilyriehl.github.io/files/context.pdf#page=25
Q541563,subcategory,https://emilyriehl.github.io/files/context.pdf#page=26
Q104864167,slice category,https://emilyriehl.github.io/files/context.pdf#page=26
Q210804,co-,https://emilyriehl.github.io/files/context.pdf#page=27
Q7098616,opposite category,https://emilyriehl.github.io/files/context.pdf#page=27
Q3117899,opposite group,https://emilyriehl.github.io/files/context.pdf#page=28
Q1945067,monomorphism,https://emilyriehl.github.io/files/context.pdf#page=29
Q1347208,epimorphism,https://emilyriehl.github.io/files/context.pdf#page=29
Q6899873,monic,https://emilyriehl.github.io/files/context.pdf#page=29
Q267903,epic,https://emilyriehl.github.io/files/context.pdf#page=29
Q224501,mono,https://emilyriehl.github.io/files/context.pdf#page=29
Q297152,epi,https://emilyriehl.github.io/files/context.pdf#page=29
Q60727552,section,https://emilyriehl.github.io/files/context.pdf#page=30
Q7333617,right inverse,https://emilyriehl.github.io/files/context.pdf#page=30
Q60727552,retraction,https://emilyriehl.github.io/files/context.pdf#page=30
Q6516970,left inverse,https://emilyriehl.github.io/files/context.pdf#page=30
Q60727552,retract,https://emilyriehl.github.io/files/context.pdf#page=30
Q60727552,split monomorphism,https://emilyriehl.github.io/files/context.pdf#page=30
Q60727552,split epimorphism,https://emilyriehl.github.io/files/context.pdf#page=30
Q179692,axiom of choice,https://emilyriehl.github.io/files/context.pdf#page=30
Q17502105,supremum,https://emilyriehl.github.io/files/context.pdf#page=31
Q17502105,infimum,https://emilyriehl.github.io/files/context.pdf#page=31
Q864475,functor,https://emilyriehl.github.io/files/context.pdf#page=31
Q864475,functoriality,https://emilyriehl.github.io/files/context.pdf#page=31
Q2646117,forgetful functor,https://emilyriehl.github.io/files/context.pdf#page=31
Q662830,fundamental group,https://emilyriehl.github.io/files/context.pdf#page=32
Q746083,homotopy invariant,https://emilyriehl.github.io/files/context.pdf#page=32
Q431078,free group,https://emilyriehl.github.io/files/context.pdf#page=32
Q207455,chain rule,https://emilyriehl.github.io/files/context.pdf#page=32
Q636889,total derivative,https://emilyriehl.github.io/files/context.pdf#page=32
Q506041,Jacobian matrix,https://emilyriehl.github.io/files/context.pdf#page=32
Q1144897,Brouwer fixed point theorem,https://emilyriehl.github.io/files/context.pdf#page=33
Q622825,clustering algorithm,https://emilyriehl.github.io/files/context.pdf#page=34
Q864475,covariant functor,https://emilyriehl.github.io/files/context.pdf#page=35
Q864475,contravariant functor,https://emilyriehl.github.io/files/context.pdf#page=35
Q261527,linear functional,https://emilyriehl.github.io/files/context.pdf#page=35
Q170058,continuous function,https://emilyriehl.github.io/files/context.pdf#page=36
Q7241077,presheaf,https://emilyriehl.github.io/files/context.pdf#page=36
Q1467124,simplicial set,https://emilyriehl.github.io/files/context.pdf#page=36
Q288465,group action,https://emilyriehl.github.io/files/context.pdf#page=36
Q288465,G-set,https://emilyriehl.github.io/files/context.pdf#page=36
Q864475,bifunctor,https://emilyriehl.github.io/files/context.pdf#page=37
Q5051852,category of categories,https://emilyriehl.github.io/files/context.pdf#page=38
Q2020004,Galois extension,https://emilyriehl.github.io/files/context.pdf#page=39
Q730384,Galois group,https://emilyriehl.github.io/files/context.pdf#page=39
Q1756942,partial function,https://emilyriehl.github.io/files/context.pdf#page=39
Q1780005,comma category,https://emilyriehl.github.io/files/context.pdf#page=40
Q1195852,center of a group,https://emilyriehl.github.io/files/context.pdf#page=40
Q522216,commutator subgroup,https://emilyriehl.github.io/files/context.pdf#page=40
Q60790315,automorphism group,https://emilyriehl.github.io/files/context.pdf#page=40
Q2297777,dual basis,https://emilyriehl.github.io/files/context.pdf#page=41
Q1442189,natural transformation,https://emilyriehl.github.io/files/context.pdf#page=41
Q621542,commutative square,https://emilyriehl.github.io/files/context.pdf#page=42
Q1442189,natural isomorphism,https://emilyriehl.github.io/files/context.pdf#page=42
Q256355,equivariant map,https://emilyriehl.github.io/files/context.pdf#page=43
Q1751823,no cloning theorem,https://emilyriehl.github.io/files/context.pdf#page=44
Q2293759,torsion subgroup,https://emilyriehl.github.io/files/context.pdf#page=44
Q1357684,Riesz representation theorem,https://emilyriehl.github.io/files/context.pdf#page=44
Q188211,invariant,https://emilyriehl.github.io/files/context.pdf#page=45
Q5051825,decategorification,https://emilyriehl.github.io/files/context.pdf#page=46
Q5422217,extranatural transformation,https://emilyriehl.github.io/files/context.pdf#page=46
Q1082992,equivalence of categories,https://emilyriehl.github.io/files/context.pdf#page=48
Q237107,full,https://emilyriehl.github.io/files/context.pdf#page=48
Q1064276,full functor,https://emilyriehl.github.io/files/context.pdf#page=48
Q1184041,faithful,https://emilyriehl.github.io/files/context.pdf#page=48
Q1064276,faithful functor,https://emilyriehl.github.io/files/context.pdf#page=48
Q140283,essentially surjective functor,https://emilyriehl.github.io/files/context.pdf#page=48
Q140283,essentially surjective,https://emilyriehl.github.io/files/context.pdf#page=48
Q343930,local,https://emilyriehl.github.io/files/context.pdf#page=49
Q438562,global,https://emilyriehl.github.io/files/context.pdf#page=49
Q980509,embedding,https://emilyriehl.github.io/files/context.pdf#page=49
Q541563,full embedding,https://emilyriehl.github.io/files/context.pdf#page=49
Q541563,full subcategory,https://emilyriehl.github.io/files/context.pdf#page=49
Q5161408,connected category,https://emilyriehl.github.io/files/context.pdf#page=51
Q2291918,skeletal category,https://emilyriehl.github.io/files/context.pdf#page=52
Q2291918,skeleton,https://emilyriehl.github.io/files/context.pdf#page=52
Q230664,orbit,https://emilyriehl.github.io/files/context.pdf#page=52
Q344864,stabilizer,https://emilyriehl.github.io/files/context.pdf#page=52
Q288465,orbit-stabilizer theorem,https://emilyriehl.github.io/files/context.pdf#page=53
Q15292,evil,https://emilyriehl.github.io/files/context.pdf#page=53
Q190995,essentially,https://emilyriehl.github.io/files/context.pdf#page=53
Q5399579,essential image,https://emilyriehl.github.io/files/context.pdf#page=53
Q1084766,abstract nonsense,https://emilyriehl.github.io/files/context.pdf#page=54
Q843237,diagram,https://emilyriehl.github.io/files/context.pdf#page=54
Q621542,commutative diagram,https://emilyriehl.github.io/files/context.pdf#page=54
Q165474,commute,https://emilyriehl.github.io/files/context.pdf#page=54
Q25098802,topological monoid,https://emilyriehl.github.io/files/context.pdf#page=55
Q161172,ring,https://emilyriehl.github.io/files/context.pdf#page=55
Q3968,algebra,https://emilyriehl.github.io/files/context.pdf#page=55
Q529752,initial object,https://emilyriehl.github.io/files/context.pdf#page=59
Q529752,terminal object,https://emilyriehl.github.io/files/context.pdf#page=59
