Title,Link,Normalized,Candidates
general adjoint functor theorems,https://arxiv.org/pdf/1612.09375#page=170,generaladjointfunctortheorems,
special adjoint functor theorems,https://arxiv.org/pdf/1612.09375#page=171,specialadjointfunctortheorems,
adjunction,https://arxiv.org/pdf/1612.09375#page=49,adjunction,
composition of adjunctions,https://arxiv.org/pdf/1612.09375#page=57,compositionofadjunctions,
vs.\ equivalence adjunction,https://arxiv.org/pdf/1612.09375#page=63,vsequivalenceadjunction,
fixed points of adjunction,https://arxiv.org/pdf/1612.09375#page=65,fixedpointsofadjunction,
free--forgetful adjunction,https://arxiv.org/pdf/1612.09375#page=51,freeforgetfuladjunction,
via initial objects adjunction,https://arxiv.org/pdf/1612.09375#page=68,viainitialobjectsadjunction,
limits preserved in adjunction,https://arxiv.org/pdf/1612.09375#page=166,limitspreservedinadjunction,
naturality axiom for adjunction,https://arxiv.org/pdf/1612.09375#page=50,naturalityaxiomforadjunction,
nonexistence of adjoints adjunction,https://arxiv.org/pdf/1612.09375#page=167,nonexistenceofadjointsadjunction,
uniqueness of adjoints adjunction,https://arxiv.org/pdf/1612.09375#page=51,uniquenessofadjointsadjunction,
aerial photography,https://arxiv.org/pdf/1612.09375#page=95,aerialphotography,
for algebraic theory,https://arxiv.org/pdf/1612.09375#page=54,foralgebraictheory,
algebraic geometry,https://arxiv.org/pdf/1612.09375#page=29,algebraicgeometry,
applied mathematics,https://arxiv.org/pdf/1612.09375#page=17,appliedmathematics,
arithmetic,https://arxiv.org/pdf/1612.09375#page=77,arithmetic,
cardinal arithmetic,https://arxiv.org/pdf/1612.09375#page=171,cardinalarithmetic,
bicycle inner tube,https://arxiv.org/pdf/1612.09375#page=141,bicycleinnertube,
black king,https://arxiv.org/pdf/1612.09375#page=80,blackking,Q97516297 (0.867; token_jaccard=0.67) Black Is King [layer5.csv]; Q48976822 (0.867; token_jaccard=0.67) The Black King [layer5.csv]
canonical,https://arxiv.org/pdf/1612.09375#page=41,canonical,
"Cantor, Georg",https://arxiv.org/pdf/1612.09375#page=86,cantorgeorg,
"Cantor's theorem Cantor, Georg",https://arxiv.org/pdf/1612.09375#page=82,cantorstheoremcantorgeorg,Q474881 (0.900; token_jaccard=0.75) Cantor's theorem [layer3.csv]; Q1050203 (0.840; token_jaccard=0.60) Cantor's intersection theorem [layer5.csv]; Q107710112 (0.840; token_jaccard=0.60) Cantor's isomorphism theorem [layer3.csv]
"Cantor--Bernstein theorem Cantor, Georg",https://arxiv.org/pdf/1612.09375#page=82,cantorbernsteintheoremcantorgeorg,Q25303602 (0.900; token_jaccard=0.75) Cantor–Bernstein theorem [layer3.csv]; Q1033910 (0.840; token_jaccard=0.60) Cantor–Bernstein–Schroeder theorem [layer3.csv]
adjunctions with \Set category,https://arxiv.org/pdf/1612.09375#page=86,adjunctionswithsetcategory,
coslice category,https://arxiv.org/pdf/1612.09375#page=68,coslicecategory,
functor out of category,https://arxiv.org/pdf/1612.09375#page=37,functoroutofcategory,
drawing of category,https://arxiv.org/pdf/1612.09375#page=21,drawingofcategory,
equivalence of categories category,https://arxiv.org/pdf/1612.09375#page=42,equivalenceofcategoriescategory,Q1082992 (0.900; token_jaccard=0.75) equivalence of categories [layer4.csv]; Q5051852 (0.840; token_jaccard=0.60) category of small categories [layer5.csv]
vs.\ adjunction category,https://arxiv.org/pdf/1612.09375#page=63,vsadjunctioncategory,
finite category,https://arxiv.org/pdf/1612.09375#page=129,finitecategory,
isomorphism of categories category,https://arxiv.org/pdf/1612.09375#page=34,isomorphismofcategoriescategory,Q6086107 (0.900; token_jaccard=0.75) isomorphism of categories [layer5.csv]; Q5051852 (0.840; token_jaccard=0.60) category of small categories [layer5.csv]
large category,https://arxiv.org/pdf/1612.09375#page=83,largecategory,
one-object category,https://arxiv.org/pdf/1612.09375#page=22,oneobjectcategory,
product of categories category,https://arxiv.org/pdf/1612.09375#page=24,productofcategoriescategory,Q5051852 (0.840; token_jaccard=0.60) category of small categories [layer5.csv]
slimmed-down category,https://arxiv.org/pdf/1612.09375#page=43,slimmeddowncategory,
2-category of categories,https://arxiv.org/pdf/1612.09375#page=46,2categoryofcategories,Q5051852 (0.840; token_jaccard=0.60) category of small categories [layer5.csv]
cocone,https://arxiv.org/pdf/1612.09375#page=134,cocone,
and integration colimit,https://arxiv.org/pdf/1612.09375#page=159,andintegrationcolimit,
map out of colimit,https://arxiv.org/pdf/1612.09375#page=155,mapoutofcolimit,
comma category,https://arxiv.org/pdf/1612.09375#page=67,commacategory,
limits in comma category,https://arxiv.org/pdf/1612.09375#page=180,limitsincommacategory,
commutes,https://arxiv.org/pdf/1612.09375#page=19,commutes,
of map into product complete,https://arxiv.org/pdf/1612.09375#page=119,ofmapintoproductcomplete,
of natural transformation complete,https://arxiv.org/pdf/1612.09375#page=36,ofnaturaltransformationcomplete,
horizontal composition,https://arxiv.org/pdf/1612.09375#page=45,horizontalcomposition,
vertical composition,https://arxiv.org/pdf/1612.09375#page=45,verticalcomposition,
computer science,https://arxiv.org/pdf/1612.09375#page=17,computerscience,Q538722 (0.867; token_jaccard=0.67) applied computer science [layer4.csv]; Q635313 (0.867; token_jaccard=0.67) architectural computer science [layer5.csv]
limit cone,https://arxiv.org/pdf/1612.09375#page=127,limitcone,
as natural transformation cone,https://arxiv.org/pdf/1612.09375#page=150,asnaturaltransformationcone,
set of cones as limit,https://arxiv.org/pdf/1612.09375#page=154,setofconesaslimit,
connectedness,https://arxiv.org/pdf/1612.09375#page=164,connectedness,
contravariant,https://arxiv.org/pdf/1612.09375#page=30,contravariant,
coprojection,https://arxiv.org/pdf/1612.09375#page=134,coprojection,
coreflective,https://arxiv.org/pdf/1612.09375#page=54,coreflective,
creation of limits,https://arxiv.org/pdf/1612.09375#page=146,creationoflimits,
string diagram,https://arxiv.org/pdf/1612.09375#page=63,stringdiagram,
algebra--geometry duality,https://arxiv.org/pdf/1612.09375#page=31,algebrageometryduality,
Gelfand--Naimark duality,https://arxiv.org/pdf/1612.09375#page=44,gelfandnaimarkduality,
principle of duality,https://arxiv.org/pdf/1612.09375#page=24,principleofduality,
terminology for duality,https://arxiv.org/pdf/1612.09375#page=134,terminologyforduality,
for vector spaces duality,https://arxiv.org/pdf/1612.09375#page=32,forvectorspacesduality,
"Eilenberg, Samuel",https://arxiv.org/pdf/1612.09375#page=17,eilenbergsamuel,
"category of elements Eilenberg, Samuel",https://arxiv.org/pdf/1612.09375#page=162,categoryofelementseilenbergsamuel,Q5051844 (0.840; token_jaccard=0.60) category of elements [layer5.csv]
"as function Eilenberg, Samuel",https://arxiv.org/pdf/1612.09375#page=75,asfunctioneilenbergsamuel,
"generalized Eilenberg, Samuel",https://arxiv.org/pdf/1612.09375#page=100,generalizedeilenbergsamuel,
"of presheaf Eilenberg, Samuel",https://arxiv.org/pdf/1612.09375#page=107,ofpresheafeilenbergsamuel,
"universal Eilenberg, Samuel",https://arxiv.org/pdf/1612.09375#page=108,universaleilenbergsamuel,
empty family,https://arxiv.org/pdf/1612.09375#page=120,emptyfamily,
