Wikidata ID,BCT,BCT link,Wikidata Label
Q357858,adjunction,https://arxiv.org/pdf/1612.09375#page=49,Adjoint functors
Q191839,aerial photography,https://arxiv.org/pdf/1612.09375#page=95,Aerial photography
Q180969,algebraic geometry,https://arxiv.org/pdf/1612.09375#page=29,Algebraic geometry
Q33521,applied mathematics,https://arxiv.org/pdf/1612.09375#page=17,Basic applied math
Q11205,arithmetic,https://arxiv.org/pdf/1612.09375#page=77,Arithmetic
Q163875,cardinal arithmetic,https://arxiv.org/pdf/1612.09375#page=171,Cardinal numbers
Q19596244,canonical,https://arxiv.org/pdf/1612.09375#page=41,Canonical mapping
Q76420,"Cantor, Georg",https://arxiv.org/pdf/1612.09375#page=86,George Cantor
Q104864167,coslice category,https://arxiv.org/pdf/1612.09375#page=68,Slice category
Q719395,large category,https://arxiv.org/pdf/1612.09375#page=83,Category (mathematics)
Q1850712,cocone,https://arxiv.org/pdf/1612.09375#page=134,Cone (category theory)
Q1780005,comma category,https://arxiv.org/pdf/1612.09375#page=67,Comma category
Q1442189,horizontal composition,https://arxiv.org/pdf/1612.09375#page=45,Natural transformation
Q1442189,vertical composition,https://arxiv.org/pdf/1612.09375#page=45,Natural transformation
Q21198,computer science,https://arxiv.org/pdf/1612.09375#page=17,Computer science
Q1491995,connectedness,https://arxiv.org/pdf/1612.09375#page=164,Connected space
Q1219453,contravariant,https://arxiv.org/pdf/1612.09375#page=30,Contravariant
Q1322614,creation of limits,https://arxiv.org/pdf/1612.09375#page=146,Limit (category theory)
Q7623974,string diagram,https://arxiv.org/pdf/1612.09375#page=63,String diagram
Q5310265,principle of duality,https://arxiv.org/pdf/1612.09375#page=24,Duality principle
Q535833,"Eilenberg, Samuel",https://arxiv.org/pdf/1612.09375#page=17,Samuel Eilenberg
Q1224487,equalizer,https://arxiv.org/pdf/1612.09375#page=120,Equaliser (mathematics)
Q130998,equivalence relation,https://arxiv.org/pdf/1612.09375#page=78,EquivalenceRelation
Q256355,equivariant,https://arxiv.org/pdf/1612.09375#page=37,Intertwiner
Q1379672,evaluation,https://arxiv.org/pdf/1612.09375#page=40,Evaluation
Q4391173,exponential,https://arxiv.org/pdf/1612.09375#page=172,Exponential (category theory)
Q1397439,fibred product,https://arxiv.org/pdf/1612.09375#page=123,Fiber product
Q227744,foundations,https://arxiv.org/pdf/1612.09375#page=79,Foundation
Q1365258,Fourier analysis,https://arxiv.org/pdf/1612.09375#page=44,Fourier analysis
Q5500272,free functor,https://arxiv.org/pdf/1612.09375#page=27,Free object
Q864475,covariant functor,https://arxiv.org/pdf/1612.09375#page=30,Functor
Q17502105,greatest lower bound,https://arxiv.org/pdf/1612.09375#page=119,Infimum and supremum
Q1948412,hom-set,https://arxiv.org/pdf/1612.09375#page=83,MorphisM
Q1418327,indiscrete space,https://arxiv.org/pdf/1612.09375#page=15,Indiscrete topology
Q17502105,infimum,https://arxiv.org/pdf/1612.09375#page=119,Infimum and supremum
Q133270306,interchange law,https://arxiv.org/pdf/1612.09375#page=46,Interchange law
Q7333617,right inverse,https://arxiv.org/pdf/1612.09375#page=79,Right inverse
Q189112,isomorphism,https://arxiv.org/pdf/1612.09375#page=20,Isomorphism class
Q1196892,least element,https://arxiv.org/pdf/1612.09375#page=136,Top element
Q17502105,least upper bound,https://arxiv.org/pdf/1612.09375#page=136,Infimum and supremum
Q13222579,lower bound,https://arxiv.org/pdf/1612.09375#page=119,Upper and lower bounds
Q194404,order-preserving map,https://arxiv.org/pdf/1612.09375#page=30,Monotonic function
Q6899873,monic,https://arxiv.org/pdf/1612.09375#page=131,Monic
Q5758318,n-category,https://arxiv.org/pdf/1612.09375#page=46,N-category
Q21199,natural numbers,https://arxiv.org/pdf/1612.09375#page=23,Natural numbers
Q719395,object,https://arxiv.org/pdf/1612.09375#page=18,Category (mathematics)
Q213363,open subset,https://arxiv.org/pdf/1612.09375#page=97,Open set
Q194404,order-preserving,https://arxiv.org/pdf/1612.09375#page=30,Monotonic function
Q474715,ordered set,https://arxiv.org/pdf/1612.09375#page=23,PartialOrderedSet
Q122391649,pointwise,https://arxiv.org/pdf/1612.09375#page=31,Pointwise product
Q474715,poset,https://arxiv.org/pdf/1612.09375#page=23,PartialOrderedSet
Q1425985,preorder,https://arxiv.org/pdf/1612.09375#page=23,Preorder
Q49008,prime numbers,https://arxiv.org/pdf/1612.09375#page=161,Prime number
Q48975267,quotient,https://arxiv.org/pdf/1612.09375#page=140,Group-scheme action
Q165939,reflective,https://arxiv.org/pdf/1612.09375#page=54,Reflective
Q85776755,linear relation,https://arxiv.org/pdf/1612.09375#page=30,Linear relation
Q5500180,free ring,https://arxiv.org/pdf/1612.09375#page=95,Free ring
Q254474,sameness,https://arxiv.org/pdf/1612.09375#page=41,Identity (philosophy)
Q133250,finite sequence,https://arxiv.org/pdf/1612.09375#page=43,Sequence
Q735660,simultaneous equations,https://arxiv.org/pdf/1612.09375#page=29,Systems of equations
Q104864167,slice category,https://arxiv.org/pdf/1612.09375#page=67,Slice category
Q420725,small,https://arxiv.org/pdf/1612.09375#page=83,Small
Q229102,surjection,https://arxiv.org/pdf/1612.09375#page=141,Surjective function
Q147027,thought experiment,https://arxiv.org/pdf/1612.09375#page=128,Thought experiment
Q175116,discrete topological space,https://arxiv.org/pdf/1612.09375#page=12,Discrete space
Q326908,Hausdorff topological space,https://arxiv.org/pdf/1612.09375#page=142,Hausdorff space
Q369377,total order,https://arxiv.org/pdf/1612.09375#page=47,Infinite descending chain
Q223683,transpose,https://arxiv.org/pdf/1612.09375#page=50,Transpose
Q8084,triangle identities,https://arxiv.org/pdf/1612.09375#page=60,Trigonometery
Q66295,underlying,https://arxiv.org/pdf/1612.09375#page=26,Derivative (finance)
Q13222579,upper bound,https://arxiv.org/pdf/1612.09375#page=136,Upper and lower bounds
Q372037,van Kampen's theorem,https://arxiv.org/pdf/1612.09375#page=15,Van Kampen's theorem
Q5051857,category of vector spaces,https://arxiv.org/pdf/1612.09375#page=20,Module category
Q1142861,direct sum of vector spaces,https://arxiv.org/pdf/1612.09375#page=118,Direct sum of modules
Q752487,dual vector space,https://arxiv.org/pdf/1612.09375#page=32,Dual space
Q1292333,free vector space,https://arxiv.org/pdf/1612.09375#page=28,Free module
Q320577,Yoneda embedding,https://arxiv.org/pdf/1612.09375#page=98,Yoneda lemma
