Title,Link,Normalized,Candidates
Alexandroff space,https://mathgloss.github.io/MathGloss/chicago/Alexandroff_space,alexandroffspace,
Baire class,https://mathgloss.github.io/MathGloss/chicago/Baire_class,baireclass,
Euclidean inner product,https://mathgloss.github.io/MathGloss/chicago/Euclidean_inner_product,euclideaninnerproduct,
Euler characteristic of a graph,https://mathgloss.github.io/MathGloss/chicago/Euler_characteristic_of_a_graph,eulercharacteristicofagraph,
F conjugate,https://mathgloss.github.io/MathGloss/chicago/F-conjugate,fconjugate,
Frattini subgroup,https://mathgloss.github.io/MathGloss/chicago/Frattini_subgroup,frattinisubgroup,
G invariant vectors,https://mathgloss.github.io/MathGloss/chicago/G-invariant_vectors,ginvariantvectors,
Gale Stewart game,https://mathgloss.github.io/MathGloss/chicago/Gale-Stewart_game,galestewartgame,
Galois group of a polynomial,https://mathgloss.github.io/MathGloss/chicago/Galois_group_of_a_polynomial,galoisgroupofapolynomial,
Gaussian integers,https://mathgloss.github.io/MathGloss/chicago/Gaussian_integers,gaussianintegers,
Haar integral,https://mathgloss.github.io/MathGloss/chicago/Haar_integral,haarintegral,
Hardy Littlewood maximal operator,https://mathgloss.github.io/MathGloss/chicago/Hardy-Littlewood_maximal_operator,hardylittlewoodmaximaloperator,Q3075250 (0.840; token_jaccard=0.60) Hardy–Littlewood maximal function [layer4.csv]
Hausdorff,https://mathgloss.github.io/MathGloss/chicago/Hausdorff,hausdorff,
Hermitian inner product,https://mathgloss.github.io/MathGloss/chicago/Hermitian_inner_product,hermitianinnerproduct,
L2 inner product on group functions,https://mathgloss.github.io/MathGloss/chicago/L2_inner_product_on_group_functions,l2innerproductongroupfunctions,
Laplacian,https://mathgloss.github.io/MathGloss/chicago/Laplacian,laplacian,
Lebesgue integral,https://mathgloss.github.io/MathGloss/chicago/Lebesgue_integral,lebesgueintegral,
Lebesgue integral of a simple function,https://mathgloss.github.io/MathGloss/chicago/Lebesgue_integral_of_a_simple_function,lebesgueintegralofasimplefunction,
Lebesgue integral of characteristic function,https://mathgloss.github.io/MathGloss/chicago/Lebesgue_integral_of_characteristic_function,lebesgueintegralofcharacteristicfunction,
Lebesgue measurable function,https://mathgloss.github.io/MathGloss/chicago/Lebesgue_measurable_function,lebesguemeasurablefunction,Q112063692 (0.867; token_jaccard=0.67) Lebesgue function [layer5.csv]; Q516776 (0.867; token_jaccard=0.67) measurable function [layer5.csv]
Lie algebra homomorphism,https://mathgloss.github.io/MathGloss/chicago/Lie_algebra_homomorphism,liealgebrahomomorphism,Q3882299 (0.867; token_jaccard=0.67) algebra homomorphism [layer2.csv]; Q664495 (0.867; token_jaccard=0.67) Lie algebra [layer5.csv]
Lie correspondence,https://mathgloss.github.io/MathGloss/chicago/Lie_correspondence,liecorrespondence,
Lorentz group,https://mathgloss.github.io/MathGloss/chicago/Lorentz_group,lorentzgroup,
Lusin function,https://mathgloss.github.io/MathGloss/chicago/Lusin_function,lusinfunction,
Pontryagin dual,https://mathgloss.github.io/MathGloss/chicago/Pontryagin_dual,pontryagindual,
Radon Nikodym derivative,https://mathgloss.github.io/MathGloss/chicago/Radon-Nikodym_derivative,radonnikodymderivative,
Riemann integrable,https://mathgloss.github.io/MathGloss/chicago/Riemann_integrable,riemannintegrable,
Schur polynomials,https://mathgloss.github.io/MathGloss/chicago/Schur_polynomials,schurpolynomials,
T0 space,https://mathgloss.github.io/MathGloss/chicago/T0_space,t0space,
Young subgroup,https://mathgloss.github.io/MathGloss/chicago/Young_subgroup,youngsubgroup,
absolute continuity,https://mathgloss.github.io/MathGloss/chicago/absolute_continuity,absolutecontinuity,
absolute continuity of measure,https://mathgloss.github.io/MathGloss/chicago/absolute_continuity_of_measure,absolutecontinuityofmeasure,
adjoint of a linear transformation,https://mathgloss.github.io/MathGloss/chicago/adjoint_of_a_linear_transformation,adjointofalineartransformation,
adjoint representation of a Lie group,https://mathgloss.github.io/MathGloss/chicago/adjoint_representation_of_a_Lie_group,adjointrepresentationofaliegroup,Q763735 (0.933; token_jaccard=0.83) representation of a Lie group [layer4.csv]; Q4379157 (0.886; token_jaccard=0.71) adjoint representation of a Lie algebra [layer4.csv]
adjugate,https://mathgloss.github.io/MathGloss/chicago/adjugate,adjugate,
affine transformations,https://mathgloss.github.io/MathGloss/chicago/affine_transformations,affinetransformations,
algebra of subsets,https://mathgloss.github.io/MathGloss/chicago/algebra_of_subsets,algebraofsubsets,
annihilator of a submodule,https://mathgloss.github.io/MathGloss/chicago/annihilator_of_a_submodule,annihilatorofasubmodule,
associate elements in an integral domain,https://mathgloss.github.io/MathGloss/chicago/associate_elements_in_an_integral_domain,associateelementsinanintegraldomain,
associative,https://mathgloss.github.io/MathGloss/chicago/associative,associative,
basis for abelian group,https://mathgloss.github.io/MathGloss/chicago/basis_for_abelian_group,basisforabeliangroup,
bijective,https://mathgloss.github.io/MathGloss/chicago/bijective,bijective,
boundary points of a manifold,https://mathgloss.github.io/MathGloss/chicago/boundary_points_of_a_manifold,boundarypointsofamanifold,
bounded,https://mathgloss.github.io/MathGloss/chicago/bounded,bounded,
bounded variation,https://mathgloss.github.io/MathGloss/chicago/bounded_variation,boundedvariation,
center of a group,https://mathgloss.github.io/MathGloss/chicago/center_of_a_group,centerofagroup,Q32998717 (0.840; token_jaccard=0.60) exponent of a group [layer3.csv]; Q3139500 (0.840; token_jaccard=0.60) holomorph of a group [layer3.csv]; Q915906 (0.840; token_jaccard=0.60) presentation of a group [layer1.csv]; Q112927 (0.840; token_jaccard=0.60) rank of a group [layer2.csv]
center of an algebra,https://mathgloss.github.io/MathGloss/chicago/center_of_an_algebra,centerofanalgebra,
centralizer of a Lie algebra,https://mathgloss.github.io/MathGloss/chicago/centralizer_of_a_Lie_algebra,centralizerofaliealgebra,Q7037183 (0.867; token_jaccard=0.67) nilradical of a Lie algebra [layer5.csv]; Q17046402 (0.867; token_jaccard=0.67) radical of a Lie algebra [layer4.csv]; Q3930077 (0.867; token_jaccard=0.67) rank of a Lie algebra [layer3.csv]
centralizer of a subset,https://mathgloss.github.io/MathGloss/chicago/centralizer_of_a_subset,centralizerofasubset,
character of a representation,https://mathgloss.github.io/MathGloss/chicago/character_of_a_representation,characterofarepresentation,Q600043 (0.920; token_jaccard=0.80) character of a group representation [layer3.csv]; Q17985373 (0.840; token_jaccard=0.60) A Test of Character [layer5.csv]
character table,https://mathgloss.github.io/MathGloss/chicago/character_table,charactertable,
characteristic map of open simplex,https://mathgloss.github.io/MathGloss/chicago/characteristic_map_of_open_simplex,characteristicmapofopensimplex,
characteristic of a field,https://mathgloss.github.io/MathGloss/chicago/characteristic_of_a_field,characteristicofafield,Q132796129 (0.840; token_jaccard=0.60) A Field of Buttercups [layer5.csv]; Q68023621 (0.840; token_jaccard=0.60) element of a field [layer3.csv]
characteristic subgroup,https://mathgloss.github.io/MathGloss/chicago/characteristic_subgroup,characteristicsubgroup,
circle group,https://mathgloss.github.io/MathGloss/chicago/circle_group,circlegroup,
closed,https://mathgloss.github.io/MathGloss/chicago/closed,closed,
closed edge path,https://mathgloss.github.io/MathGloss/chicago/closed_edge_path,closededgepath,
comaximal ring ideals,https://mathgloss.github.io/MathGloss/chicago/comaximal_ring_ideals,comaximalringideals,
comeager,https://mathgloss.github.io/MathGloss/chicago/comeager,comeager,
commutative,https://mathgloss.github.io/MathGloss/chicago/commutative,commutative,
commutator subgroup,https://mathgloss.github.io/MathGloss/chicago/commutator_subgroup,commutatorsubgroup,
compact,https://mathgloss.github.io/MathGloss/chicago/compact,compact,
compact linear transformation,https://mathgloss.github.io/MathGloss/chicago/compact_linear_transformation,compactlineartransformation,
compact support,https://mathgloss.github.io/MathGloss/chicago/compact_support,compactsupport,
compactly closed,https://mathgloss.github.io/MathGloss/chicago/compactly_closed,compactlyclosed,
complete reducibility,https://mathgloss.github.io/MathGloss/chicago/complete_reducibility,completereducibility,
complex differentiability,https://mathgloss.github.io/MathGloss/chicago/complex_differentiability,complexdifferentiability,
complex exponential,https://mathgloss.github.io/MathGloss/chicago/complex_exponential,complexexponential,
complex integral,https://mathgloss.github.io/MathGloss/chicago/complex_integral,complexintegral,
complex numbers,https://mathgloss.github.io/MathGloss/chicago/complex_numbers,complexnumbers,
