Wikidata ID,Chicago,Chicago link,Wikidata Label
Q3532117,Alexandroff space,https://mathgloss.github.io/MathGloss/chicago/Alexandroff_space,Alexandrov topology
Q803935,Baire class,https://mathgloss.github.io/MathGloss/chicago/Baire_class,Baire function
Q176244,Frattini subgroup,https://mathgloss.github.io/MathGloss/chicago/Frattini_subgroup,Frattini subgroup
Q92552,Galois group of a polynomial,https://mathgloss.github.io/MathGloss/chicago/Galois_group_of_a_polynomial,Galois theory
Q724975,Gaussian integers,https://mathgloss.github.io/MathGloss/chicago/Gaussian_integers,Gaussian integer
Q1162676,Haar integral,https://mathgloss.github.io/MathGloss/chicago/Haar_integral,Haar measure
Q417130,Hausdorff,https://mathgloss.github.io/MathGloss/chicago/Hausdorff,Hausdorff
Q214159,Hermitian inner product,https://mathgloss.github.io/MathGloss/chicago/Hermitian_inner_product,Inner product space
Q203484,Laplacian,https://mathgloss.github.io/MathGloss/chicago/Laplacian,Laplacian
Q853831,Lebesgue integral,https://mathgloss.github.io/MathGloss/chicago/Lebesgue_integral,Lebesgue-integrable
Q516776,Lebesgue measurable function,https://mathgloss.github.io/MathGloss/chicago/Lebesgue_measurable_function,Measurable function
Q664495,Lie algebra homomorphism,https://mathgloss.github.io/MathGloss/chicago/Lie_algebra_homomorphism,Lie Algebra
Q18353697,Lie correspondence,https://mathgloss.github.io/MathGloss/chicago/Lie_correspondence,Lie correspondence
Q1334417,Lorentz group,https://mathgloss.github.io/MathGloss/chicago/Lorentz_group,Lorentz group
Q1632419,Pontryagin dual,https://mathgloss.github.io/MathGloss/chicago/Pontryagin_dual,Pontryagin duality
Q697181,Riemann integrable,https://mathgloss.github.io/MathGloss/chicago/Riemann_integrable,Riemann integral
Q4298935,Schur polynomials,https://mathgloss.github.io/MathGloss/chicago/Schur_polynomials,Schur polynomial
Q1148924,T0 space,https://mathgloss.github.io/MathGloss/chicago/T0_space,Kolmogorov axiom
Q124625185,Young subgroup,https://mathgloss.github.io/MathGloss/chicago/Young_subgroup,Young subgroup
Q332504,absolute continuity,https://mathgloss.github.io/MathGloss/chicago/absolute_continuity,Absolute continuity
Q1017106,adjoint representation of a Lie group,https://mathgloss.github.io/MathGloss/chicago/adjoint_representation_of_a_Lie_group,Adjoint representation
Q225107,adjugate,https://mathgloss.github.io/MathGloss/chicago/adjugate,Adjugate matrix
Q382497,affine transformations,https://mathgloss.github.io/MathGloss/chicago/affine_transformations,Affine transformation
Q177251,associative,https://mathgloss.github.io/MathGloss/chicago/associative,Associative property
Q180907,bijective,https://mathgloss.github.io/MathGloss/chicago/bijective,Bijection
Q310647,bounded,https://mathgloss.github.io/MathGloss/chicago/bounded,Club set
Q829653,bounded variation,https://mathgloss.github.io/MathGloss/chicago/bounded_variation,Bounded variation
Q1195852,center of a group,https://mathgloss.github.io/MathGloss/chicago/center_of_a_group,Center (group theory)
Q30603786,center of an algebra,https://mathgloss.github.io/MathGloss/chicago/center_of_an_algebra,Center of an algebra
Q600043,character of a representation,https://mathgloss.github.io/MathGloss/chicago/character_of_a_representation,Character theory
Q11498021,character table,https://mathgloss.github.io/MathGloss/chicago/character_table,Character tables
Q836088,characteristic of a field,https://mathgloss.github.io/MathGloss/chicago/characteristic_of_a_field,Characteristic (algebra)
Q747027,characteristic subgroup,https://mathgloss.github.io/MathGloss/chicago/characteristic_subgroup,Characteristic subgroup
Q105356493,circle group,https://mathgloss.github.io/MathGloss/chicago/circle_group,Circle group
Q320357,closed,https://mathgloss.github.io/MathGloss/chicago/closed,Closed set
Q1747745,comeager,https://mathgloss.github.io/MathGloss/chicago/comeager,Second category
Q165474,commutative,https://mathgloss.github.io/MathGloss/chicago/commutative,Commutative
Q522216,commutator subgroup,https://mathgloss.github.io/MathGloss/chicago/commutator_subgroup,Commutator subgroup
Q381892,compact,https://mathgloss.github.io/MathGloss/chicago/compact,Compact space
Q1136376,compact support,https://mathgloss.github.io/MathGloss/chicago/compact_support,Support (mathematics)
Q106323967,complete reducibility,https://mathgloss.github.io/MathGloss/chicago/complete_reducibility,Semisimple
Q207476,complex differentiability,https://mathgloss.github.io/MathGloss/chicago/complex_differentiability,Holomorphic function
Q168698,complex exponential,https://mathgloss.github.io/MathGloss/chicago/complex_exponential,Exponential function
Q467699,complex integral,https://mathgloss.github.io/MathGloss/chicago/complex_integral,Curve integral
Q11567,complex numbers,https://mathgloss.github.io/MathGloss/chicago/complex_numbers,Complex numbers
Q1353233,conjugacy classes,https://mathgloss.github.io/MathGloss/chicago/conjugacy_classes,Conjugacy class
Q1353233,conjugate subgroups,https://mathgloss.github.io/MathGloss/chicago/conjugate_subgroups,Conjugacy class
Q2051983,conjugate transpose,https://mathgloss.github.io/MathGloss/chicago/conjugate_transpose,Adjoint matrix
Q5165409,continuous,https://mathgloss.github.io/MathGloss/chicago/continuous,List of continuity-related mathematical topics
Q230689,contractible,https://mathgloss.github.io/MathGloss/chicago/contractible,Contractible
Q104752,coprime,https://mathgloss.github.io/MathGloss/chicago/coprime,Coprime integers
Q66707394,countable,https://mathgloss.github.io/MathGloss/chicago/countable,Countably infinite
Q161519,cycle type,https://mathgloss.github.io/MathGloss/chicago/cycle_type,Permutation
Q483525,dense,https://mathgloss.github.io/MathGloss/chicago/dense,Dense (mathematics)
Q1201165,determined,https://mathgloss.github.io/MathGloss/chicago/determined,Winning strategy
Q131598137,diameter of a set,https://mathgloss.github.io/MathGloss/chicago/diameter_of_a_set,Diameter of a set
Q783507,differentiable,https://mathgloss.github.io/MathGloss/chicago/differentiable,Differentiability
Q1142861,direct sum of Lie algebras,https://mathgloss.github.io/MathGloss/chicago/direct_sum_of_Lie_algebras,Direct sum of modules
Q2235316,elementary symmetric polynomials,https://mathgloss.github.io/MathGloss/chicago/elementary_symmetric_polynomials,Elementary symmetric function
Q3055094,entire,https://mathgloss.github.io/MathGloss/chicago/entire,Entire
Q130998,equivalence relation,https://mathgloss.github.io/MathGloss/chicago/equivalence_relation,EquivalenceRelation
Q5384710,equivalent metrics,https://mathgloss.github.io/MathGloss/chicago/equivalent_metrics,Equivalence of metrics
Q980509,field embedding,https://mathgloss.github.io/MathGloss/chicago/field_embedding,Embedding
Q21018636,fixed field,https://mathgloss.github.io/MathGloss/chicago/fixed_field,Fixed field
Q774579,fraction ring,https://mathgloss.github.io/MathGloss/chicago/fraction_ring,Field of fractions
Q207476,holomorphic,https://mathgloss.github.io/MathGloss/chicago/holomorphic,Holomorphic function
Q54938846,homogeneous relation,https://mathgloss.github.io/MathGloss/chicago/homogeneous_relation,Endorelation
Q2243424,idempotent,https://mathgloss.github.io/MathGloss/chicago/idempotent,Idempotent (ring theory)
Q1319773,inconsistent,https://mathgloss.github.io/MathGloss/chicago/inconsistent,Consistency
Q17502105,infimum,https://mathgloss.github.io/MathGloss/chicago/infimum,Infimum and supremum
Q182003,injective,https://mathgloss.github.io/MathGloss/chicago/injective,Injective function
Q214159,inner product,https://mathgloss.github.io/MathGloss/chicago/inner_product,Inner product space
Q81376506,isotypic component,https://mathgloss.github.io/MathGloss/chicago/isotypic_component,Isotypic component
Q751969,left coset,https://mathgloss.github.io/MathGloss/chicago/left_coset,Coset
