Wikidata ID,Title,Link,Label,Layer,Score,Reason,Alternates
Q5051849,the category of relations,https://www.clowderproject.com/tag/00JS.html,category of relations,layer3.csv,0.900,token_jaccard=0.75,
Q182598,the graph of a function,https://www.clowderproject.com/tag/00P1.html,graph of a function,layer2.csv,0.920,token_jaccard=0.80,
Q2795123,composition of relations,https://www.clowderproject.com/tag/00QU.html,composition of relations,layer3.csv,1.000,exact_letters,
Q2795123,examples of composition of relations,https://www.clowderproject.com/tag/00QV.html,composition of relations,layer3.csv,0.900,token_jaccard=0.75,
Q2795123,properties of composition of relations,https://www.clowderproject.com/tag/00QW.html,composition of relations,layer3.csv,0.900,token_jaccard=0.75,
Q3753945,the reflexive closure of a relation,https://www.clowderproject.com/tag/00TW.html,closure of a relation,layer2.csv,0.867,token_jaccard=0.67,
Q3753945,the symmetric closure of a relation,https://www.clowderproject.com/tag/00UF.html,closure of a relation,layer2.csv,0.867,token_jaccard=0.67,
Q3753945,the transitive closure of a relation,https://www.clowderproject.com/tag/00V0.html,closure of a relation,layer2.csv,0.867,token_jaccard=0.67,
Q3753945,the equivalence closure of a relation,https://www.clowderproject.com/tag/00VG.html,closure of a relation,layer2.csv,0.867,token_jaccard=0.67,
Q1082992,equivalences of categories equivalence of categories,https://www.clowderproject.com/tag/013R.html,equivalence of categories,layer4.csv,0.900,token_jaccard=0.75,
Q252568,the walking arrow,https://www.clowderproject.com/tag/01TY.html,The Arrow,layer5.csv,0.867,token_jaccard=0.67,
Q2795123,composition of relations 1,https://www.clowderproject.com/tag/02D1.html,composition of relations,layer3.csv,0.900,token_jaccard=0.75,
Q2795123,composition of relations 2,https://www.clowderproject.com/tag/02D2.html,composition of relations,layer3.csv,0.900,token_jaccard=0.75,
Q2795123,composition of relations 3,https://www.clowderproject.com/tag/02D3.html,composition of relations,layer3.csv,0.900,token_jaccard=0.75,
Q2795123,apartness composition of relations,https://www.clowderproject.com/tag/02DA.html,composition of relations,layer3.csv,0.900,token_jaccard=0.75,
Q320577,the yoneda lemma,https://www.clowderproject.com/tag/02HY.html,Yoneda lemma,layer3.csv,0.867,token_jaccard=0.67,
