Wikidata ID,Clowder,Clowder link,Wikidata Label
Q11348,functions,https://www.clowderproject.com/tag/0003.html,Mathematical Function
Q226183,the empty set,https://www.clowderproject.com/tag/002Z.html,Empty set
Q191290,ordered pairs,https://www.clowderproject.com/tag/0035.html,Ordered pair
Q4388690,differences,https://www.clowderproject.com/tag/004E.html,Difference
Q19924622,complements,https://www.clowderproject.com/tag/0050.html,Complement
Q230259,relations,https://www.clowderproject.com/tag/00HG.html,Relation
Q134237,square roots,https://www.clowderproject.com/tag/00J9.html,Square root
Q130998,equivalence relations,https://www.clowderproject.com/tag/00VA.html,EquivalenceRelation
Q224414,categories,https://www.clowderproject.com/tag/00WB.html,Category
Q541563,subcategories,https://www.clowderproject.com/tag/00XD.html,Subcategory
Q541563,full subcategories,https://www.clowderproject.com/tag/00XE.html,Subcategory
Q1228851,discrete categories,https://www.clowderproject.com/tag/00YK.html,Discrete category
Q25098934,indiscrete categories,https://www.clowderproject.com/tag/00YU.html,Indiscrete category
Q189112,isomorphisms,https://www.clowderproject.com/tag/00Z3.html,Isomorphism class
Q1196038,groupoids,https://www.clowderproject.com/tag/00Z5.html,Groupoid
Q864475,functors,https://www.clowderproject.com/tag/00ZW.html,Functor
Q1064276,fully faithful functors,https://www.clowderproject.com/tag/0129.html,Faithful functor
Q23808682,conservative functors,https://www.clowderproject.com/tag/0133.html,Conservative functor
Q1442189,natural transformations,https://www.clowderproject.com/tag/017Q.html,Natural transformation
Q4903541,bicategories,https://www.clowderproject.com/tag/01CY.html,Bicategory
Q235028,sets,https://www.clowderproject.com/tag/01D1.html,SeT
Q1945014,monoidal categories,https://www.clowderproject.com/tag/01VW.html,Monoidal category
Q3910260,preliminaries,https://www.clowderproject.com/tag/01WJ.html,Preliminary
Q1211071,equivalence classes,https://www.clowderproject.com/tag/02B1.html,Equivalence class
