Wikidata ID,Title,Link,Label,Layer,Score,Reason,Alternates
Q3041173,group extension,https://emilyriehl.github.io/files/context.pdf#page=19,group extension,layer3.csv,1.000,exact_letters,
Q2495664,universal coefficient theorem,https://emilyriehl.github.io/files/context.pdf#page=19,universal coefficient theorem,layer3.csv,1.000,exact_letters,
Q1144780,homology,https://emilyriehl.github.io/files/context.pdf#page=19,homology,layer3.csv,1.000,exact_letters,Q3092826 (1.000; exact_letters) homology [layer3.csv]
Q1198376,cohomology,https://emilyriehl.github.io/files/context.pdf#page=19,cohomology,layer3.csv,1.000,exact_letters,
Q1326955,exact sequence,https://emilyriehl.github.io/files/context.pdf#page=19,exact sequence,layer2.csv,1.000,exact_letters,Q121145075 (0.867; token_jaccard=0.67) short exact sequence [layer5.csv]; Q65122157 (0.867; token_jaccard=0.67) split exact sequence [layer4.csv]
Q719395,category,https://emilyriehl.github.io/files/context.pdf#page=21,category,layer2.csv,1.000,exact_letters,
Q671836,arrow,https://emilyriehl.github.io/files/context.pdf#page=21,Arrow,layer5.csv,1.000,exact_letters,
Q1053064,map,https://emilyriehl.github.io/files/context.pdf#page=21,map,layer5.csv,1.000,exact_letters,
Q11235244,domain,https://emilyriehl.github.io/files/context.pdf#page=21,domain,layer3.csv,1.000,exact_letters,Q2851442 (1.000; exact_letters) domain [layer3.csv]; Q3034360 (1.000; exact_letters) Domain [layer5.csv]; Q97798750 (1.000; exact_letters) Domain [layer5.csv]
Q199006,codomain,https://emilyriehl.github.io/files/context.pdf#page=21,codomain,layer1.csv,1.000,exact_letters,
Q131580191,identity morphism,https://emilyriehl.github.io/files/context.pdf#page=21,identity morphism,layer4.csv,1.000,exact_letters,
Q179899,topological space,https://emilyriehl.github.io/files/context.pdf#page=22,topological space,layer1.csv,1.000,exact_letters,Q4352436 (0.867; token_jaccard=0.67) finite topological space [layer4.csv]; Q590554 (0.867; token_jaccard=0.67) noetherian topological space [layer5.csv]; Q1139111 (0.867; token_jaccard=0.67) quotient topological space [layer4.csv]; Q114716129 (0.867; token_jaccard=0.67) topological space theory [layer2.csv]
Q1142562,signature,https://emilyriehl.github.io/files/context.pdf#page=22,signature,layer1.csv,1.000,exact_letters,Q3483643 (1.000; exact_letters) Signature [layer3.csv]; Q7512811 (1.000; exact_letters) signature [layer2.csv]; Q890478 (1.000; exact_letters) signature [layer5.csv]
Q1575634,concrete category,https://emilyriehl.github.io/files/context.pdf#page=22,concrete category,layer1.csv,1.000,exact_letters,Q131071939 (0.867; token_jaccard=0.67) topological concrete category [layer2.csv]
Q121088275,basepoint,https://emilyriehl.github.io/files/context.pdf#page=22,basepoint,layer4.csv,1.000,exact_letters,
Q1143328,chain complex,https://emilyriehl.github.io/files/context.pdf#page=22,chain complex,layer2.csv,1.000,exact_letters,
Q1228851,discrete category,https://emilyriehl.github.io/files/context.pdf#page=23,discrete category,layer3.csv,1.000,exact_letters,
Q208237,monoid,https://emilyriehl.github.io/files/context.pdf#page=23,monoid,layer2.csv,1.000,exact_letters,
Q10567583,small category,https://emilyriehl.github.io/files/context.pdf#page=24,small category,layer2.csv,1.000,exact_letters,Q121771058 (0.867; token_jaccard=0.67) locally small category [layer3.csv]
Q1331373,cardinal inaccessible,https://emilyriehl.github.io/files/context.pdf#page=24,inaccessible cardinal,layer5.csv,1.000,token_jaccard=1.00,Q12054637 (0.867; token_jaccard=0.67) weakly inaccessible cardinal [layer4.csv]
Q1193137,cardinal regular,https://emilyriehl.github.io/files/context.pdf#page=24,regular cardinal,layer3.csv,1.000,token_jaccard=1.00,
Q1465090,Grothendieck universe,https://emilyriehl.github.io/files/context.pdf#page=24,Grothendieck universe,layer1.csv,1.000,exact_letters,
Q121771058,locally small,https://emilyriehl.github.io/files/context.pdf#page=25,locally small category,layer5.csv,0.867,token_jaccard=0.67,
Q121771058,locally small category,https://emilyriehl.github.io/files/context.pdf#page=25,locally small category,layer3.csv,1.000,exact_letters,Q10567583 (0.867; token_jaccard=0.67) small category [layer2.csv]
Q1340800,endo- morphism,https://emilyriehl.github.io/files/context.pdf#page=25,endomorphism,layer2.csv,1.000,exact_letters,
Q782566,automorphism,https://emilyriehl.github.io/files/context.pdf#page=25,automorphism,layer3.csv,1.000,exact_letters,
Q1196038,groupoid,https://emilyriehl.github.io/files/context.pdf#page=25,groupoid,layer3.csv,1.000,exact_letters,
Q83478,group,https://emilyriehl.github.io/files/context.pdf#page=25,group,layer2.csv,1.000,exact_letters,
Q85174068,fundamental groupoid,https://emilyriehl.github.io/files/context.pdf#page=25,fundamental groupoid,layer4.csv,1.000,exact_letters,
Q541563,subcategory,https://emilyriehl.github.io/files/context.pdf#page=26,subcategory,layer1.csv,1.000,exact_letters,
Q426521,co-,https://emilyriehl.github.io/files/context.pdf#page=27,€co,layer5.csv,1.000,exact_letters,
Q7098616,opposite category,https://emilyriehl.github.io/files/context.pdf#page=27,opposite category,layer3.csv,1.000,exact_letters,
Q3117899,opposite group,https://emilyriehl.github.io/files/context.pdf#page=28,Opposite group,layer3.csv,1.000,exact_letters,
Q1945067,monomorphism,https://emilyriehl.github.io/files/context.pdf#page=29,monomorphism,layer4.csv,1.000,exact_letters,
Q1347208,epimorphism,https://emilyriehl.github.io/files/context.pdf#page=29,epimorphism,layer4.csv,1.000,exact_letters,
Q16947425,epic,https://emilyriehl.github.io/files/context.pdf#page=29,Epic,layer5.csv,1.000,exact_letters,Q2700629 (1.000; exact_letters) Epic [layer5.csv]
Q56561486,mono,https://emilyriehl.github.io/files/context.pdf#page=29,Mono,layer5.csv,1.000,exact_letters,
Q11703678,section,https://emilyriehl.github.io/files/context.pdf#page=30,section,layer5.csv,1.000,exact_letters,Q17103180 (1.000; exact_letters) section [layer4.csv]
Q57605839,retraction,https://emilyriehl.github.io/files/context.pdf#page=30,retraction,layer4.csv,1.000,exact_letters,
Q2141963,retract,https://emilyriehl.github.io/files/context.pdf#page=30,retract,layer1.csv,1.000,exact_letters,Q7316893 (1.000; exact_letters) retract [layer1.csv]
Q121773562,split monomorphism,https://emilyriehl.github.io/files/context.pdf#page=30,split monomorphism,layer5.csv,1.000,exact_letters,
Q121773569,split epimorphism,https://emilyriehl.github.io/files/context.pdf#page=30,split epimorphism,layer5.csv,1.000,exact_letters,
Q179692,axiom of choice,https://emilyriehl.github.io/files/context.pdf#page=30,axiom of choice,layer3.csv,1.000,exact_letters,Q1000116 (0.900; token_jaccard=0.75) axiom of countable choice [layer3.csv]; Q3303153 (0.900; token_jaccard=0.75) axiom of dependent choice [layer3.csv]; Q3511558 (0.900; token_jaccard=0.75) axiom of global choice [layer2.csv]; Q4478785 (0.840; token_jaccard=0.60) equivalent of the axiom of choice [layer2.csv]
Q215071,supremum,https://emilyriehl.github.io/files/context.pdf#page=31,supremum,layer2.csv,1.000,exact_letters,
Q864475,functor,https://emilyriehl.github.io/files/context.pdf#page=31,functor,layer2.csv,1.000,exact_letters,
Q2646117,forgetful functor,https://emilyriehl.github.io/files/context.pdf#page=31,forgetful functor,layer4.csv,1.000,exact_letters,
Q662830,fundamental group,https://emilyriehl.github.io/files/context.pdf#page=32,fundamental group,layer4.csv,1.000,exact_letters,Q5508957 (0.867; token_jaccard=0.67) fundamental group scheme [layer5.csv]; Q114703944 (0.867; token_jaccard=0.67) fundamental group theory [layer2.csv]; Q288764 (0.867; token_jaccard=0.67) étale fundamental group [layer4.csv]
Q1143328,chain complex cycle,https://emilyriehl.github.io/files/context.pdf#page=32,chain complex,layer4.csv,0.867,token_jaccard=0.67,
Q1143328,chain complex boundary,https://emilyriehl.github.io/files/context.pdf#page=32,chain complex,layer4.csv,0.867,token_jaccard=0.67,
Q1143328,chain complex homology,https://emilyriehl.github.io/files/context.pdf#page=32,chain complex,layer4.csv,0.867,token_jaccard=0.67,
Q431078,free group,https://emilyriehl.github.io/files/context.pdf#page=32,free group,layer2.csv,1.000,exact_letters,Q1454111 (0.867; token_jaccard=0.67) free abelian group [layer3.csv]; Q121069543 (0.867; token_jaccard=0.67) free group action [layer5.csv]; Q122364643 (0.867; token_jaccard=0.67) torsion-free group [layer4.csv]
Q17004731,chain rule,https://emilyriehl.github.io/files/context.pdf#page=32,chain rule,layer3.csv,1.000,exact_letters,Q207455 (1.000; exact_letters) chain rule [layer3.csv]; Q2513399 (0.867; token_jaccard=0.67) generalized chain rule [layer3.csv]
Q636889,total derivative,https://emilyriehl.github.io/files/context.pdf#page=32,total derivative,layer1.csv,1.000,exact_letters,
Q506041,Jacobian matrix,https://emilyriehl.github.io/files/context.pdf#page=32,Jacobian matrix,layer1.csv,1.000,exact_letters,
Q1144897,Brouwer fixed point theorem,https://emilyriehl.github.io/files/context.pdf#page=33,Brouwer fixed-point theorem,layer3.csv,1.000,exact_letters,Q1422068 (0.900; token_jaccard=0.75) fixed-point theorem [layer4.csv]; Q220680 (0.840; token_jaccard=0.60) Banach fixed-point theorem [layer4.csv]; Q4944908 (0.840; token_jaccard=0.60) Borel fixed-point theorem [layer4.csv]; Q2687556 (0.840; token_jaccard=0.60) Browder fixed point theorem [layer3.csv]
Q124662529,contravariant functor,https://emilyriehl.github.io/files/context.pdf#page=35,contravariant functor,layer3.csv,1.000,exact_letters,
Q261527,linear functional,https://emilyriehl.github.io/files/context.pdf#page=35,linear functional,layer3.csv,1.000,exact_letters,Q7233279 (0.867; token_jaccard=0.67) positive linear functional [layer5.csv]
Q170058,continuous function,https://emilyriehl.github.io/files/context.pdf#page=36,continuous function,layer2.csv,1.000,exact_letters,Q25488023 (1.000; exact_letters) continuous function [layer2.csv]; Q5165476 (1.000; exact_letters) continuous function [layer3.csv]; Q1537963 (0.867; token_jaccard=0.67) Hölder continuous function [layer5.csv]; Q29035552 (0.867; token_jaccard=0.67) left-continuous function [layer5.csv]
Q7241077,presheaf,https://emilyriehl.github.io/files/context.pdf#page=36,presheaf,layer3.csv,1.000,exact_letters,
Q1467124,simplicial set,https://emilyriehl.github.io/files/context.pdf#page=36,simplicial set,layer3.csv,1.000,exact_letters,
Q288465,group action,https://emilyriehl.github.io/files/context.pdf#page=36,group action,layer2.csv,1.000,exact_letters,Q16951242 (0.867; token_jaccard=0.67) continuous group action [layer5.csv]; Q121074575 (0.867; token_jaccard=0.67) faithful group action [layer5.csv]; Q121069543 (0.867; token_jaccard=0.67) free group action [layer5.csv]; Q48975267 (0.867; token_jaccard=0.67) group-scheme action [layer5.csv]
Q133868384,G-set,https://emilyriehl.github.io/files/context.pdf#page=36,G-set,layer1.csv,1.000,exact_letters,Q127244 (1.000; token_jaccard=1.00) Gδ set [layer5.csv]
Q20827113,G-space,https://emilyriehl.github.io/files/context.pdf#page=36,G-space,layer2.csv,1.000,exact_letters,
Q13443840,product of category,https://emilyriehl.github.io/files/context.pdf#page=37,product category,layer3.csv,0.867,token_jaccard=0.67,
Q5051852,category of categories,https://emilyriehl.github.io/files/context.pdf#page=38,category of small categories,layer5.csv,0.900,token_jaccard=0.75,
Q766522,categorification of the fundamental theorem of Galois theory,https://emilyriehl.github.io/files/context.pdf#page=39,fundamental theorem of Galois theory,layer3.csv,0.886,token_jaccard=0.71,
Q2020004,Galois extension,https://emilyriehl.github.io/files/context.pdf#page=39,Galois extension,layer5.csv,1.000,exact_letters,
Q730384,Galois group,https://emilyriehl.github.io/files/context.pdf#page=39,Galois group,layer3.csv,1.000,exact_letters,Q332407 (0.867; token_jaccard=0.67) absolute Galois group [layer5.csv]
Q766522,fundamental theorem Galois theory,https://emilyriehl.github.io/files/context.pdf#page=39,fundamental theorem of Galois theory,layer4.csv,0.920,token_jaccard=0.80,
Q1756942,partial function,https://emilyriehl.github.io/files/context.pdf#page=39,partial function,layer1.csv,1.000,exact_letters,
Q60790315,automorphism group,https://emilyriehl.github.io/files/context.pdf#page=40,automorphism group,layer3.csv,1.000,exact_letters,Q40289167 (1.000; token_jaccard=1.00) group automorphism [layer4.csv]; Q97621539 (0.867; token_jaccard=0.67) Edge Automorphism Group [layer4.csv]; Q77980592 (0.867; token_jaccard=0.67) inner automorphism group [layer5.csv]; Q77980689 (0.867; token_jaccard=0.67) outer automorphism group [layer5.csv]
Q2297777,dual basis,https://emilyriehl.github.io/files/context.pdf#page=41,dual basis,layer4.csv,1.000,exact_letters,
Q1442189,natural transformation,https://emilyriehl.github.io/files/context.pdf#page=41,natural transformation,layer2.csv,1.000,exact_letters,Q25304046 (0.867; token_jaccard=0.67) lax natural transformation [layer1.csv]
Q110535030,natural isomorphism,https://emilyriehl.github.io/files/context.pdf#page=42,natural isomorphism,layer3.csv,1.000,exact_letters,
Q256355,equivariant map,https://emilyriehl.github.io/files/context.pdf#page=43,equivariant map,layer2.csv,1.000,exact_letters,
Q1751823,no cloning theorem,https://emilyriehl.github.io/files/context.pdf#page=44,no-cloning theorem,layer4.csv,1.000,exact_letters,
Q2293759,torsion subgroup,https://emilyriehl.github.io/files/context.pdf#page=44,torsion subgroup,layer4.csv,1.000,exact_letters,
Q2293759,torsion sub group,https://emilyriehl.github.io/files/context.pdf#page=44,torsion subgroup,layer4.csv,1.000,exact_letters,Q1551033 (0.867; token_jaccard=0.67) torsion group [layer3.csv]
