Title,Link,Normalized,Candidates
birth of category theory,https://emilyriehl.github.io/files/context.pdf#page=19,birthofcategorytheory,
p-adic integers,https://emilyriehl.github.io/files/context.pdf#page=19,padicintegers,
"Pr\""ufer p-group",https://emilyriehl.github.io/files/context.pdf#page=19,pruferpgroup,
p-adic solenoid,https://emilyriehl.github.io/files/context.pdf#page=19,padicsolenoid,
natural,https://emilyriehl.github.io/files/context.pdf#page=19,natural,
dual vector space,https://emilyriehl.github.io/files/context.pdf#page=19,dualvectorspace,Q752487 (0.867; token_jaccard=0.67) dual space [layer3.csv]; Q125977 (0.867; token_jaccard=0.67) vector space [layer5.csv]
duality in projective plane geometry,https://emilyriehl.github.io/files/context.pdf#page=20,dualityinprojectiveplanegeometry,
object in a category,https://emilyriehl.github.io/files/context.pdf#page=21,objectinacategory,Q15975724 (0.840; token_jaccard=0.60) object of a category [layer3.csv]
morphism in a category,https://emilyriehl.github.io/files/context.pdf#page=21,morphisminacategory,
composite morphism,https://emilyriehl.github.io/files/context.pdf#page=21,compositemorphism,
category arrows only definition,https://emilyriehl.github.io/files/context.pdf#page=21,categoryarrowsonlydefinition,
category naming convention,https://emilyriehl.github.io/files/context.pdf#page=21,categorynamingconvention,
group as a one-object category,https://emilyriehl.github.io/files/context.pdf#page=23,groupasaoneobjectcategory,
poset as a category,https://emilyriehl.github.io/files/context.pdf#page=23,posetasacategory,
monoid as a one-object category,https://emilyriehl.github.io/files/context.pdf#page=23,monoidasaoneobjectcategory,
preorder as a category,https://emilyriehl.github.io/files/context.pdf#page=23,preorderasacategory,
preorder,https://emilyriehl.github.io/files/context.pdf#page=23,preorder,
poset,https://emilyriehl.github.io/files/context.pdf#page=23,poset,
morphism not always a function,https://emilyriehl.github.io/files/context.pdf#page=24,morphismnotalwaysafunction,
Russell's paradox,https://emilyriehl.github.io/files/context.pdf#page=24,russellsparadox,
set theory for category theory,https://emilyriehl.github.io/files/context.pdf#page=24,settheoryforcategorytheory,
small,https://emilyriehl.github.io/files/context.pdf#page=24,small,
cardinal strong limit,https://emilyriehl.github.io/files/context.pdf#page=24,cardinalstronglimit,Q1771501 (0.867; token_jaccard=0.67) limit cardinal [layer3.csv]; Q7624541 (0.867; token_jaccard=0.67) strong cardinal [layer4.csv]
von Neumann hierarchy,https://emilyriehl.github.io/files/context.pdf#page=24,vonneumannhierarchy,
hom-set,https://emilyriehl.github.io/files/context.pdf#page=25,homset,
isomorphic,https://emilyriehl.github.io/files/context.pdf#page=25,isomorphic,
isomorphism,https://emilyriehl.github.io/files/context.pdf#page=25,isomorphism,
maximal groupoid,https://emilyriehl.github.io/files/context.pdf#page=26,maximalgroupoid,
slice category,https://emilyriehl.github.io/files/context.pdf#page=26,slicecategory,
dual of a categorical statement,https://emilyriehl.github.io/files/context.pdf#page=28,dualofacategoricalstatement,
dual theorem,https://emilyriehl.github.io/files/context.pdf#page=28,dualtheorem,
monic,https://emilyriehl.github.io/files/context.pdf#page=29,monic,
epi,https://emilyriehl.github.io/files/context.pdf#page=29,epi,
right inverse,https://emilyriehl.github.io/files/context.pdf#page=30,rightinverse,
left inverse,https://emilyriehl.github.io/files/context.pdf#page=30,leftinverse,
infimum,https://emilyriehl.github.io/files/context.pdf#page=31,infimum,
