title,link
birth of category theory,https://emilyriehl.github.io/files/context.pdf#page=19
p-adic integers,https://emilyriehl.github.io/files/context.pdf#page=19
"Pr\""ufer p-group",https://emilyriehl.github.io/files/context.pdf#page=19
p-adic solenoid,https://emilyriehl.github.io/files/context.pdf#page=19
natural,https://emilyriehl.github.io/files/context.pdf#page=19
dual vector space,https://emilyriehl.github.io/files/context.pdf#page=19
duality in projective plane geometry,https://emilyriehl.github.io/files/context.pdf#page=20
object in a category,https://emilyriehl.github.io/files/context.pdf#page=21
morphism in a category,https://emilyriehl.github.io/files/context.pdf#page=21
composite morphism,https://emilyriehl.github.io/files/context.pdf#page=21
category arrows only definition,https://emilyriehl.github.io/files/context.pdf#page=21
category naming convention,https://emilyriehl.github.io/files/context.pdf#page=21
group as a one-object category,https://emilyriehl.github.io/files/context.pdf#page=23
poset as a category,https://emilyriehl.github.io/files/context.pdf#page=23
monoid as a one-object category,https://emilyriehl.github.io/files/context.pdf#page=23
preorder as a category,https://emilyriehl.github.io/files/context.pdf#page=23
preorder,https://emilyriehl.github.io/files/context.pdf#page=23
poset,https://emilyriehl.github.io/files/context.pdf#page=23
morphism not always a function,https://emilyriehl.github.io/files/context.pdf#page=24
Russell's paradox,https://emilyriehl.github.io/files/context.pdf#page=24
set theory for category theory,https://emilyriehl.github.io/files/context.pdf#page=24
small,https://emilyriehl.github.io/files/context.pdf#page=24
cardinal strong limit,https://emilyriehl.github.io/files/context.pdf#page=24
von Neumann hierarchy,https://emilyriehl.github.io/files/context.pdf#page=24
hom-set,https://emilyriehl.github.io/files/context.pdf#page=25
isomorphic,https://emilyriehl.github.io/files/context.pdf#page=25
isomorphism,https://emilyriehl.github.io/files/context.pdf#page=25
maximal groupoid,https://emilyriehl.github.io/files/context.pdf#page=26
slice category,https://emilyriehl.github.io/files/context.pdf#page=26
dual of a categorical statement,https://emilyriehl.github.io/files/context.pdf#page=28
dual theorem,https://emilyriehl.github.io/files/context.pdf#page=28
monic,https://emilyriehl.github.io/files/context.pdf#page=29
epi,https://emilyriehl.github.io/files/context.pdf#page=29
right inverse,https://emilyriehl.github.io/files/context.pdf#page=30
left inverse,https://emilyriehl.github.io/files/context.pdf#page=30
infimum,https://emilyriehl.github.io/files/context.pdf#page=31
functoriality,https://emilyriehl.github.io/files/context.pdf#page=31
endo functor,https://emilyriehl.github.io/files/context.pdf#page=31
endo- functor,https://emilyriehl.github.io/files/context.pdf#page=31
homotopy invariant,https://emilyriehl.github.io/files/context.pdf#page=32
functoriality of derivative,https://emilyriehl.github.io/files/context.pdf#page=32
clustering algorithm,https://emilyriehl.github.io/files/context.pdf#page=34
categorification of clustering algorithms,https://emilyriehl.github.io/files/context.pdf#page=34
persistent cluster,https://emilyriehl.github.io/files/context.pdf#page=34
covariant functor,https://emilyriehl.github.io/files/context.pdf#page=35
functor preserves isomorphisms,https://emilyriehl.github.io/files/context.pdf#page=36
G-object,https://emilyriehl.github.io/files/context.pdf#page=36
G-representation,https://emilyriehl.github.io/files/context.pdf#page=36
G-action,https://emilyriehl.github.io/files/context.pdf#page=37
equational witness,https://emilyriehl.github.io/files/context.pdf#page=37
represented functor,https://emilyriehl.github.io/files/context.pdf#page=37
bifunctor,https://emilyriehl.github.io/files/context.pdf#page=37
bi functor,https://emilyriehl.github.io/files/context.pdf#page=37
two-sided represented functor,https://emilyriehl.github.io/files/context.pdf#page=38
isomorphism of category,https://emilyriehl.github.io/files/context.pdf#page=38
orbit category,https://emilyriehl.github.io/files/context.pdf#page=39
functor morphism,https://emilyriehl.github.io/files/context.pdf#page=40
comma category,https://emilyriehl.github.io/files/context.pdf#page=40
functoriality in group theory,https://emilyriehl.github.io/files/context.pdf#page=40
center of a group,https://emilyriehl.github.io/files/context.pdf#page=40
commutator subgroup,https://emilyriehl.github.io/files/context.pdf#page=40
vector space dual vs double dual,https://emilyriehl.github.io/files/context.pdf#page=41
components of natural transformation,https://emilyriehl.github.io/files/context.pdf#page=41
commutative square,https://emilyriehl.github.io/files/context.pdf#page=42
globular diagram for natural transformation,https://emilyriehl.github.io/files/context.pdf#page=42
G-equivariant,https://emilyriehl.github.io/files/context.pdf#page=43
decategorification,https://emilyriehl.github.io/files/context.pdf#page=46
categorification of the natural numbers,https://emilyriehl.github.io/files/context.pdf#page=46
natural isomorphism as an invertible natural transformation,https://emilyriehl.github.io/files/context.pdf#page=46
extranatural transformation,https://emilyriehl.github.io/files/context.pdf#page=46
walking arrow,https://emilyriehl.github.io/files/context.pdf#page=47
walking isomorphism,https://emilyriehl.github.io/files/context.pdf#page=47
linear algebra abstract vs concrete,https://emilyriehl.github.io/files/context.pdf#page=48
full,https://emilyriehl.github.io/files/context.pdf#page=48
global,https://emilyriehl.github.io/files/context.pdf#page=49
full embedding,https://emilyriehl.github.io/files/context.pdf#page=49
connected category,https://emilyriehl.github.io/files/context.pdf#page=51
connected groupoid,https://emilyriehl.github.io/files/context.pdf#page=51
skeletal category,https://emilyriehl.github.io/files/context.pdf#page=52
skeleton,https://emilyriehl.github.io/files/context.pdf#page=52
categorification of the orbit-stabilizer theorem,https://emilyriehl.github.io/files/context.pdf#page=52
translation groupoid,https://emilyriehl.github.io/files/context.pdf#page=52
stabilizer,https://emilyriehl.github.io/files/context.pdf#page=52
essentially,https://emilyriehl.github.io/files/context.pdf#page=53
essentially small,https://emilyriehl.github.io/files/context.pdf#page=53
essentially discrete,https://emilyriehl.github.io/files/context.pdf#page=53
essential image,https://emilyriehl.github.io/files/context.pdf#page=53
Klein's Erlangen program,https://emilyriehl.github.io/files/context.pdf#page=54
chaotic category,https://emilyriehl.github.io/files/context.pdf#page=54
indexing category,https://emilyriehl.github.io/files/context.pdf#page=56
shape of diagram,https://emilyriehl.github.io/files/context.pdf#page=56
commutative rectangle,https://emilyriehl.github.io/files/context.pdf#page=57
commutative cube,https://emilyriehl.github.io/files/context.pdf#page=58
monomorphism use in commutative diagrams,https://emilyriehl.github.io/files/context.pdf#page=61
epimorphism use in commutative diagrams,https://emilyriehl.github.io/files/context.pdf#page=61
terminal coalgebra,https://emilyriehl.github.io/files/context.pdf#page=62
coalgebra terminal,https://emilyriehl.github.io/files/context.pdf#page=62
coalgebra for an endofunctor,https://emilyriehl.github.io/files/context.pdf#page=62
algebra for an endofunctor,https://emilyriehl.github.io/files/context.pdf#page=62
diagram category,https://emilyriehl.github.io/files/context.pdf#page=62
vertical composition,https://emilyriehl.github.io/files/context.pdf#page=63
pasting diagram,https://emilyriehl.github.io/files/context.pdf#page=63
horizontal composition,https://emilyriehl.github.io/files/context.pdf#page=63
whiskering,https://emilyriehl.github.io/files/context.pdf#page=64
middle four interchange,https://emilyriehl.github.io/files/context.pdf#page=64
center of a category,https://emilyriehl.github.io/files/context.pdf#page=66
center of category,https://emilyriehl.github.io/files/context.pdf#page=66
graph vertex coloring,https://emilyriehl.github.io/files/context.pdf#page=67
natural numbers,https://emilyriehl.github.io/files/context.pdf#page=68
representable vs represented,https://emilyriehl.github.io/files/context.pdf#page=69
universal property,https://emilyriehl.github.io/files/context.pdf#page=69
classifying space of a group,https://emilyriehl.github.io/files/context.pdf#page=72
classifying space group,https://emilyriehl.github.io/files/context.pdf#page=72
Yoneda embedding,https://emilyriehl.github.io/files/context.pdf#page=77
meaning of the phrase Yoneda lemma,https://emilyriehl.github.io/files/context.pdf#page=78
row operation,https://emilyriehl.github.io/files/context.pdf#page=78
representable isomorphism,https://emilyriehl.github.io/files/context.pdf#page=79
re-parameterization of path,https://emilyriehl.github.io/files/context.pdf#page=79
representably isomorphic,https://emilyriehl.github.io/files/context.pdf#page=80
representation characterizes its representing object,https://emilyriehl.github.io/files/context.pdf#page=80
the,https://emilyriehl.github.io/files/context.pdf#page=80
contractible groupoid,https://emilyriehl.github.io/files/context.pdf#page=80
universal element,https://emilyriehl.github.io/files/context.pdf#page=80
universal cover is not universal,https://emilyriehl.github.io/files/context.pdf#page=80
bilinear,https://emilyriehl.github.io/files/context.pdf#page=81
evaluation map,https://emilyriehl.github.io/files/context.pdf#page=83
category of element,https://emilyriehl.github.io/files/context.pdf#page=84
based object,https://emilyriehl.github.io/files/context.pdf#page=85
dependent sum,https://emilyriehl.github.io/files/context.pdf#page=85
dependent product,https://emilyriehl.github.io/files/context.pdf#page=85
universal property as an initial or terminal object,https://emilyriehl.github.io/files/context.pdf#page=86
uniqueness of representation,https://emilyriehl.github.io/files/context.pdf#page=87
twisted arrow category,https://emilyriehl.github.io/files/context.pdf#page=89
discrete left or right fibration,https://emilyriehl.github.io/files/context.pdf#page=90
discrete fibration,https://emilyriehl.github.io/files/context.pdf#page=90
quotient,https://emilyriehl.github.io/files/context.pdf#page=91
cell complex,https://emilyriehl.github.io/files/context.pdf#page=91
gluing,https://emilyriehl.github.io/files/context.pdf#page=91
constant functor,https://emilyriehl.github.io/files/context.pdf#page=92
cone over a diagram,https://emilyriehl.github.io/files/context.pdf#page=92
summit of a cone,https://emilyriehl.github.io/files/context.pdf#page=92
summit of cone,https://emilyriehl.github.io/files/context.pdf#page=92
apex of a cone,https://emilyriehl.github.io/files/context.pdf#page=92
legs of cone,https://emilyriehl.github.io/files/context.pdf#page=92
cone under a diagram,https://emilyriehl.github.io/files/context.pdf#page=92
nadir of cone,https://emilyriehl.github.io/files/context.pdf#page=92
nadir of a cone,https://emilyriehl.github.io/files/context.pdf#page=92
cocone,https://emilyriehl.github.io/files/context.pdf#page=92
limit cone,https://emilyriehl.github.io/files/context.pdf#page=93
colimit cone,https://emilyriehl.github.io/files/context.pdf#page=93
uniqueness of limit,https://emilyriehl.github.io/files/context.pdf#page=94
uniqueness of colimit,https://emilyriehl.github.io/files/context.pdf#page=94
limit diagram,https://emilyriehl.github.io/files/context.pdf#page=94
colimit diagram,https://emilyriehl.github.io/files/context.pdf#page=94
cone over a category,https://emilyriehl.github.io/files/context.pdf#page=95
cone under a category,https://emilyriehl.github.io/files/context.pdf#page=95
projection from a product,https://emilyriehl.github.io/files/context.pdf#page=95
product projection,https://emilyriehl.github.io/files/context.pdf#page=95
box topology vs product topology,https://emilyriehl.github.io/files/context.pdf#page=95
coarsest,https://emilyriehl.github.io/files/context.pdf#page=95
finest,https://emilyriehl.github.io/files/context.pdf#page=95
terminal category,https://emilyriehl.github.io/files/context.pdf#page=96
equalizer,https://emilyriehl.github.io/files/context.pdf#page=96
parallel pair,https://emilyriehl.github.io/files/context.pdf#page=96
equalizer diagram,https://emilyriehl.github.io/files/context.pdf#page=96
fiber product,https://emilyriehl.github.io/files/context.pdf#page=97
coequalizer diagram,https://emilyriehl.github.io/files/context.pdf#page=99
sequential colimit,https://emilyriehl.github.io/files/context.pdf#page=99
universal property of limit,https://emilyriehl.github.io/files/context.pdf#page=100
universal property of colimit,https://emilyriehl.github.io/files/context.pdf#page=100
universal property of product,https://emilyriehl.github.io/files/context.pdf#page=100
universal property of coproduct,https://emilyriehl.github.io/files/context.pdf#page=100
small diagram,https://emilyriehl.github.io/files/context.pdf#page=103
limit in the category of sets,https://emilyriehl.github.io/files/context.pdf#page=103
idempotent,https://emilyriehl.github.io/files/context.pdf#page=106
split idempotent,https://emilyriehl.github.io/files/context.pdf#page=106
