Wikidata ID,Title,Link,Label,Layer,Score,Reason,Alternates
Q719395,category,https://leanprover-community.github.io/mathlib4_docs/Mathlib/CategoryTheory/Category/Basic.html#CategoryTheory.Category,category,layer2.csv,1.000,exact_letters,
Q10567583,small category,https://leanprover-community.github.io/mathlib4_docs/Mathlib/CategoryTheory/Category/Basic.html#CategoryTheory.SmallCategory,small category,layer2.csv,1.000,exact_letters,Q121771058 (0.867; token_jaccard=0.67) locally small category [layer3.csv]
Q864475,functor,https://leanprover-community.github.io/mathlib4_docs/Mathlib/CategoryTheory/Functor/Basic.html#CategoryTheory.Functor,functor,layer2.csv,1.000,exact_letters,
Q1442189,natural transformation,https://leanprover-community.github.io/mathlib4_docs/Mathlib/CategoryTheory/NatTrans.html#CategoryTheory.NatTrans,natural transformation,layer2.csv,1.000,exact_letters,Q25304046 (0.867; token_jaccard=0.67) lax natural transformation [layer1.csv]
Q1579914,monad,https://leanprover-community.github.io/mathlib4_docs/Mathlib/CategoryTheory/Monad/Basic.html#CategoryTheory.Monad,monad,layer3.csv,1.000,exact_letters,Q1630568 (1.000; exact_letters) monad [layer2.csv]
Q1945014,monoidal category,https://leanprover-community.github.io/mathlib4_docs/Mathlib/CategoryTheory/Monoidal/Category.html#CategoryTheory.MonoidalCategory,monoidal category,layer2.csv,1.000,exact_letters,Q2943034 (0.867; token_jaccard=0.67) braided monoidal category [layer2.csv]; Q18205845 (0.867; token_jaccard=0.67) cartesian monoidal category [layer4.csv]; Q5135347 (0.867; token_jaccard=0.67) closed monoidal category [layer5.csv]; Q20809078 (0.867; token_jaccard=0.67) monoidal category action [layer3.csv]
Q1725874,cartesian closed,https://leanprover-community.github.io/mathlib4_docs/Mathlib/CategoryTheory/Closed/Cartesian.html#CategoryTheory.CartesianClosed,cartesian closed category,layer4.csv,0.867,token_jaccard=0.67,
Q318737,abelian category,https://leanprover-community.github.io/mathlib4_docs/Mathlib/CategoryTheory/Abelian/Basic.html#CategoryTheory.Abelian,abelian category,layer1.csv,1.000,exact_letters,Q7239192 (0.867; token_jaccard=0.67) pre-abelian category [layer5.csv]; Q7254426 (0.867; token_jaccard=0.67) pseudo-abelian category [layer4.csv]; Q30715304 (0.867; token_jaccard=0.67) semi-abelian category [layer5.csv]
Q12503,integer,https://leanprover-community.github.io/mathlib4_docs/Init/Data/Int/Basic.html#Int,integer,layer2.csv,1.000,exact_letters,
Q1244890,rational number,https://leanprover-community.github.io/mathlib4_docs/Batteries/Data/Rat/Basic.html#Rat,rational number,layer2.csv,1.000,exact_letters,Q114501433 (0.867; token_jaccard=0.67) rational number theory [layer2.csv]
Q206816,continued fraction,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/ContinuedFractions/Basic.html#ContFract,continued fraction,layer2.csv,1.000,exact_letters,
Q12916,real number,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Data/Real/Basic.html#Real,real number,layer2.csv,1.000,exact_letters,Q3893614 (0.867; token_jaccard=0.67) definable real number [layer4.csv]; Q200227 (0.867; token_jaccard=0.67) negative real number [layer5.csv]; Q19546578 (0.867; token_jaccard=0.67) nonzero real number [layer4.csv]; Q3176558 (0.867; token_jaccard=0.67) positive real number [layer2.csv]
Q11567,complex number,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Data/Complex/Basic.html#Complex,complex number,layer2.csv,1.000,exact_letters,Q135457975 (0.867; token_jaccard=0.67) computable complex number [layer5.csv]; Q135457986 (0.867; token_jaccard=0.67) definable complex number [layer5.csv]; Q85757774 (0.867; token_jaccard=0.67) Dual-complex number [layer4.csv]; Q864145 (0.867; token_jaccard=0.67) split-complex number [layer3.csv]
Q311627,$p$-adic number,https://leanprover-community.github.io/mathlib4_docs/Mathlib/NumberTheory/Padics/PadicNumbers.html#Padic,p-adic number,layer2.csv,1.000,exact_letters,
Q11756524,$p$-adic integer,https://leanprover-community.github.io/mathlib4_docs/Mathlib/NumberTheory/Padics/PadicIntegers.html#PadicInt,p-adic integer,layer3.csv,1.000,exact_letters,
Q5958543,hyper-real number,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/Real/Hyperreal.html#Hyperreal,hyperreal number,layer2.csv,1.000,exact_letters,Q12916 (0.867; token_jaccard=0.67) real number [layer5.csv]
Q83478,group,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Defs.html#Group,group,layer2.csv,1.000,exact_letters,
Q288465,group action,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Action/Defs.html#MulAction,group action,layer2.csv,1.000,exact_letters,Q16951242 (0.867; token_jaccard=0.67) continuous group action [layer5.csv]; Q121074575 (0.867; token_jaccard=0.67) faithful group action [layer5.csv]; Q121069543 (0.867; token_jaccard=0.67) free group action [layer5.csv]; Q48975267 (0.867; token_jaccard=0.67) group-scheme action [layer5.csv]
Q3291120,class formula,https://leanprover-community.github.io/mathlib4_docs/Mathlib/GroupTheory/GroupAction/Quotient.html#MulAction.selfEquivSigmaOrbitsQuotientStabilizer,class number formula,layer3.csv,0.867,token_jaccard=0.67,
Q1330377,Burnside lemma,https://leanprover-community.github.io/mathlib4_docs/Mathlib/GroupTheory/GroupAction/Quotient.html#MulAction.sum_card_fixedBy_eq_card_orbits_mul_card_group,Burnside's lemma,layer3.csv,0.867,token_jaccard=0.67,
Q466109,subgroup,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Subgroup/Defs.html#Subgroup,subgroup,layer3.csv,1.000,exact_letters,
Q1138961,quotient group,https://leanprover-community.github.io/mathlib4_docs/Mathlib/GroupTheory/QuotientGroup/Defs.html#QuotientGroup.Quotient.group,quotient group,layer3.csv,1.000,exact_letters,
Q1065966,first isomorphism theorem,https://leanprover-community.github.io/mathlib4_docs/Mathlib/GroupTheory/QuotientGroup/Basic.html#QuotientGroup.quotientKerEquivRange,isomorphism theorem,layer5.csv,0.867,token_jaccard=0.67,
Q1065966,second isomorphism theorem,https://leanprover-community.github.io/mathlib4_docs/Mathlib/GroupTheory/QuotientGroup/Basic.html#QuotientGroup.quotientInfEquivProdNormalQuotient,isomorphism theorem,layer5.csv,0.867,token_jaccard=0.67,
Q1065966,third isomorphism theorem,https://leanprover-community.github.io/mathlib4_docs/Mathlib/GroupTheory/QuotientGroup/Basic.html#QuotientGroup.quotientQuotientEquivQuotient,isomorphism theorem,layer5.csv,0.867,token_jaccard=0.67,
Q318598,abelianization,https://leanprover-community.github.io/mathlib4_docs/Mathlib/GroupTheory/Abelianization/Defs.html#Abelianization,abelianization,layer2.csv,1.000,exact_letters,
Q431078,free group,https://leanprover-community.github.io/mathlib4_docs/Mathlib/GroupTheory/FreeGroup/Basic.html#FreeGroup,free group,layer2.csv,1.000,exact_letters,Q1454111 (0.867; token_jaccard=0.67) free abelian group [layer3.csv]; Q121069543 (0.867; token_jaccard=0.67) free group action [layer5.csv]; Q122364643 (0.867; token_jaccard=0.67) torsion-free group [layer4.csv]
Q124579556,presented group,https://leanprover-community.github.io/mathlib4_docs/Mathlib/GroupTheory/PresentedGroup.html#PresentedGroup,finitely presented group,layer1.csv,0.867,token_jaccard=0.67,
Q3229345,Schreier's lemma,https://leanprover-community.github.io/mathlib4_docs/Mathlib/GroupTheory/Schreier.html#Subgroup.closure_mul_image_eq,Schreier's lemma,layer2.csv,1.000,exact_letters,
Q245462,cyclic group,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Defs.html#IsCyclic,cyclic group,layer2.csv,1.000,exact_letters,Q2790210 (0.867; token_jaccard=0.67) binary cyclic group [layer4.csv]; Q54806735 (0.867; token_jaccard=0.67) finite cyclic group [layer5.csv]; Q54806746 (0.867; token_jaccard=0.67) infinite cyclic group [layer5.csv]; Q16969335 (0.867; token_jaccard=0.67) primary cyclic group [layer5.csv]
Q1755242,nilpotent group,https://leanprover-community.github.io/mathlib4_docs/Mathlib/GroupTheory/Nilpotent.html#Group.IsNilpotent,nilpotent group,layer4.csv,1.000,exact_letters,Q4369993 (0.867; token_jaccard=0.67) poly-nilpotent group [layer4.csv]
Q1589600,structure of finitely generated abelian groups,https://leanprover-community.github.io/mathlib4_docs/Mathlib/GroupTheory/FiniteAbelian/Basic.html#AddCommGroup.equiv_free_prod_directSum_zmod,fundamental theorem of finitely generated abelian groups,layer3.csv,0.850,token_jaccard=0.62,
Q161172,ring,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Ring/Defs.html#Ring,ring,layer3.csv,1.000,exact_letters,Q25415527 (1.000; exact_letters) Ring [layer5.csv]; Q531328 (1.000; exact_letters) Ring [layer5.csv]; Q60837942 (1.000; exact_letters) Ring [layer5.csv]; Q111962410 (1.000; token_jaccard=1.00) Ring Ring [layer5.csv]
Q929536,subring,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Ring/Subring/Defs.html#Subring,subring,layer4.csv,1.000,exact_letters,
Q1142704,local ring,https://leanprover-community.github.io/mathlib4_docs/Mathlib/RingTheory/LocalRing/Defs.html#IsLocalRing,local ring,layer4.csv,1.000,exact_letters,Q60821171 (0.867; token_jaccard=0.67) complete local ring [layer4.csv]; Q7134519 (0.867; token_jaccard=0.67) parafactorial local ring [layer5.csv]; Q2138875 (0.867; token_jaccard=0.67) regular local ring [layer3.csv]; Q7449309 (0.867; token_jaccard=0.67) semi-local ring [layer5.csv]
Q582271,Noetherian ring,https://leanprover-community.github.io/mathlib4_docs/Mathlib/RingTheory/Noetherian/Defs.html#IsNoetherianRing,noetherian ring,layer2.csv,1.000,exact_letters,Q126898826 (0.867; token_jaccard=0.67) Noetherian commutative ring [layer5.csv]
Q3782642,ordered ring,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Order/Ring/Defs.html#OrderedRing,ordered ring,layer3.csv,1.000,exact_letters,Q7140405 (0.867; token_jaccard=0.67) partially ordered ring [layer4.csv]
