Title,Link,Normalized,Candidates
full index,https://leanprover-community.github.io/mathlib4_docs/,fullindex,
Yoneda embedding,https://leanprover-community.github.io/mathlib4_docs/Mathlib/CategoryTheory/Yoneda.html#CategoryTheory.yoneda,yonedaembedding,
adjunction,https://leanprover-community.github.io/mathlib4_docs/Mathlib/CategoryTheory/Adjunction/Basic.html#CategoryTheory.Adjunction,adjunction,
comma category,https://leanprover-community.github.io/mathlib4_docs/Mathlib/CategoryTheory/Comma/Basic.html#CategoryTheory.Comma,commacategory,
limits,https://leanprover-community.github.io/mathlib4_docs/Mathlib/CategoryTheory/Limits/IsLimit.html#CategoryTheory.Limits.IsLimit,limits,
presheafed space,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Geometry/RingedSpace/PresheafedSpace.html#AlgebraicGeometry.PresheafedSpace,presheafedspace,
sheafed space,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Geometry/RingedSpace/SheafedSpace.html#AlgebraicGeometry.SheafedSpace,sheafedspace,
natural number,https://leanprover-community.github.io/mathlib4_docs/Init/Prelude.html#Nat,naturalnumber,
extended real number,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Data/EReal/Basic.html#EReal,extendedrealnumber,Q2039387 (0.900; token_jaccard=0.75) extended real number line [layer4.csv]; Q12916 (0.867; token_jaccard=0.67) real number [layer2.csv]
group morphism,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Hom/Defs.html#MonoidHom,groupmorphism,
subgroup generated by a subset,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Subgroup/Lattice.html#Subgroup.closure,subgroupgeneratedbyasubset,
permutation group of a type,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Logic/Equiv/Defs.html#Equiv.Perm,permutationgroupofatype,
first Sylow theorem,https://leanprover-community.github.io/mathlib4_docs/Mathlib/GroupTheory/Sylow.html#Sylow.exists_subgroup_card_pow_prime,firstsylowtheorem,
second Sylow theorem,https://leanprover-community.github.io/mathlib4_docs/Mathlib/GroupTheory/Sylow.html#Sylow.isPretransitive_of_finite,secondsylowtheorem,
