Title,Link,Normalized,Candidates
!-modality,https://ncatlab.org/nlab/show/%21-modality,modality,
$\infty$-category > history,https://ncatlab.org/nlab/show/%24%5Cinfty%24-category+%3E+history,inftycategoryhistory,
$n$-category > history,https://ncatlab.org/nlab/show/%24n%24-category+%3E+history,ncategoryhistory,
't Hooft anomaly,https://ncatlab.org/nlab/show/%27t+Hooft+anomaly,thooftanomaly,
't Hooft coupling,https://ncatlab.org/nlab/show/%27t+Hooft+coupling,thooftcoupling,
't Hooft double line notation,https://ncatlab.org/nlab/show/%27t+Hooft+double+line+notation,thooftdoublelinenotation,
't Hooft-Polyakov monopole,https://ncatlab.org/nlab/show/%27t+Hooft-Polyakov+monopole,thooftpolyakovmonopole,
(-1)-category,https://ncatlab.org/nlab/show/%28-1%29-category,1category,
(-1)-functor,https://ncatlab.org/nlab/show/%28-1%29-functor,1functor,
(-1)-groupoid,https://ncatlab.org/nlab/show/%28-1%29-groupoid,1groupoid,
(-1)-poset,https://ncatlab.org/nlab/show/%28-1%29-poset,1poset,
"(0,1)-category theory",https://ncatlab.org/nlab/show/%280%2C1%29-category+theory,01categorytheory,
"(0,1)-category theory - contents",https://ncatlab.org/nlab/show/%280%2C1%29-category+theory+-+contents,01categorytheorycontents,
"(1,1)-category",https://ncatlab.org/nlab/show/%281%2C1%29-category,11category,
"(1,1)-dimensional Euclidean field theories and K-theory",https://ncatlab.org/nlab/show/%281%2C1%29-dimensional+Euclidean+field+theories+and+K-theory,11dimensionaleuclideanfieldtheoriesandktheory,
"(1,2)-topos",https://ncatlab.org/nlab/show/%281%2C2%29-topos,12topos,Q98946935 (0.867; token_jaccard=0.67) 1:2 [layer5.csv]; Q109561012 (0.867; token_jaccard=0.67) 1:√2 [layer5.csv]; Q3223009 (0.867; token_jaccard=0.67) 1=2? [layer5.csv]; Q18203133 (0.867; token_jaccard=0.67) 2+1 [layer5.csv]; Q28858964 (0.867; token_jaccard=0.67) 2.2:1 [layer5.csv]
"(2,1)-algebraic theory of E-infinity algebras",https://ncatlab.org/nlab/show/%282%2C1%29-algebraic+theory+of+E-infinity+algebras,21algebraictheoryofeinfinityalgebras,
"(2,1)-category",https://ncatlab.org/nlab/show/%282%2C1%29-category,21category,Q98946935 (0.867; token_jaccard=0.67) 1:2 [layer5.csv]; Q109561012 (0.867; token_jaccard=0.67) 1:√2 [layer5.csv]; Q3223009 (0.867; token_jaccard=0.67) 1=2? [layer5.csv]; Q18203133 (0.867; token_jaccard=0.67) 2+1 [layer5.csv]; Q28858964 (0.867; token_jaccard=0.67) 2.2:1 [layer5.csv]
"(2,1)-dimensional Euclidean field theories and tmf",https://ncatlab.org/nlab/show/%282%2C1%29-dimensional+Euclidean+field+theories+and+tmf,21dimensionaleuclideanfieldtheoriesandtmf,
"(2,1)-functor",https://ncatlab.org/nlab/show/%282%2C1%29-functor,21functor,Q98946935 (0.867; token_jaccard=0.67) 1:2 [layer5.csv]; Q109561012 (0.867; token_jaccard=0.67) 1:√2 [layer5.csv]; Q3223009 (0.867; token_jaccard=0.67) 1=2? [layer5.csv]; Q18203133 (0.867; token_jaccard=0.67) 2+1 [layer5.csv]; Q25304059 (0.867; token_jaccard=0.67) 2-functor [layer4.csv]
