Wikidata ID,nLab,nLab link,Wikidata Label
Q4769949,'t Hooft anomaly,https://ncatlab.org/nlab/show/%27t+Hooft+anomaly,Anomaly matching condition
Q8170996,'t Hooft-Polyakov monopole,https://ncatlab.org/nlab/show/%27t+Hooft-Polyakov+monopole,'t Hooft–Polyakov monopole
Q7269442,"(infinity,1)-category",https://ncatlab.org/nlab/show/%28infinity%2C1%29-category,Infinity-categories
Q306610,0-sphere,https://ncatlab.org/nlab/show/0-sphere,N-sphere
Q4596935,2-morphism,https://ncatlab.org/nlab/show/2-morphism,Strict 2-category
Q98931512,2-rig,https://ncatlab.org/nlab/show/2-rig,Rig category
Q7595945,2-sheaf,https://ncatlab.org/nlab/show/2-sheaf,Stack (algebraic geometry)
Q12507,2-sphere,https://ncatlab.org/nlab/show/2-sphere,Sphere
Q286972,3-group,https://ncatlab.org/nlab/show/3-group,P-group
Q306610,4-sphere,https://ncatlab.org/nlab/show/4-sphere,N-sphere
Q306610,5-sphere,https://ncatlab.org/nlab/show/5-sphere,N-sphere
Q306610,8-sphere,https://ncatlab.org/nlab/show/8-sphere,N-sphere
Q133740,A History of Western Philosophy,https://ncatlab.org/nlab/show/A+History+of+Western+Philosophy,The History of Western Philosophy
Q4646988,A-group,https://ncatlab.org/nlab/show/A-group,A-group
Q5533833,A-hat genus,https://ncatlab.org/nlab/show/A-hat+genus,Genus of a multiplicative sequence
Q217875,A3,https://ncatlab.org/nlab/show/A3,A-3
Q44583522,Aaron Naber,https://ncatlab.org/nlab/show/Aaron+Naber,Aaron Naber
Q1956793,Ab,https://ncatlab.org/nlab/show/Ab,Category of abelian groups
Q308495,abductive reasoning,https://ncatlab.org/nlab/show/abductive+reasoning,Abductive reasoning
Q28189,Abdus Salam,https://ncatlab.org/nlab/show/Abdus+Salam,Abdus Salam
Q18695611,abelian sheaf,https://ncatlab.org/nlab/show/abelian+sheaf,Sheaf generated by global sections
Q104150673,Abhishek Banerjee,https://ncatlab.org/nlab/show/Abhishek+Banerjee,Abhishek Banerjee
Q2903381,Abner Shimony,https://ncatlab.org/nlab/show/Abner+Shimony,Abner Shimony
Q2821778,About,https://ncatlab.org/nlab/show/About,About
Q323442,Abraham Adrian Albert,https://ncatlab.org/nlab/show/Abraham+Adrian+Albert,A. A. Albert
Q61043,Abraham Fraenkel,https://ncatlab.org/nlab/show/Abraham+Fraenkel,Adolf Fraenkel
Q330567,Abraham Robinson,https://ncatlab.org/nlab/show/Abraham+Robinson,Abraham Robinson
Q5140810,absolute coequalizer,https://ncatlab.org/nlab/show/absolute+coequalizer,Coequaliser
Q13474384,absolute idealism,https://ncatlab.org/nlab/show/absolute+idealism,Absolute idealism
Q2141963,absolute retract,https://ncatlab.org/nlab/show/absolute+retract,Retraction (topology)
Q332504,absolutely continuous function,https://ncatlab.org/nlab/show/absolutely+continuous+function,Absolute continuity
Q4669945,abstract elementary class,https://ncatlab.org/nlab/show/abstract+elementary+class,Abstract elementary class
Q2136420,abstract rewriting system,https://ncatlab.org/nlab/show/abstract+rewriting+system,Abstract reduction system
Q4669982,abstraction,https://ncatlab.org/nlab/show/abstraction,Abstraction (mathematics)
Q4672496,accessible functor,https://ncatlab.org/nlab/show/accessible+functor,Accessible category
Q82811,acoustics,https://ncatlab.org/nlab/show/acoustics,Acoustics
Q1060137,action functional,https://ncatlab.org/nlab/show/action+functional,Hamilton–Jacobi equation
Q4677988,acyclic group,https://ncatlab.org/nlab/show/acyclic+group,Acyclic spaces
Q106454,Adam G. Riess,https://ncatlab.org/nlab/show/Adam+G.+Riess,Adam Riess
Q56119513,Adam Keenan,https://ncatlab.org/nlab/show/Adam+Keenan,Adam Keenan
Q2823975,Adam Logan,https://ncatlab.org/nlab/show/Adam+Logan,Adam Logan
Q2606307,Adam Marsh,https://ncatlab.org/nlab/show/Adam+Marsh,Adam Marsh
Q6103838,Adams conjecture,https://ncatlab.org/nlab/show/Adams+conjecture,J-homomorphism
Q6103838,Adams e-invariant,https://ncatlab.org/nlab/show/Adams+e-invariant,J-homomorphism
Q105063196,Adams resolution,https://ncatlab.org/nlab/show/Adams+resolution,Adams resolution
Q4681337,additive K-theory,https://ncatlab.org/nlab/show/additive+K-theory,Additive K-theory
Q1579914,additive monad,https://ncatlab.org/nlab/show/additive+monad,Monad (functional programming)
Q1333055,additively idempotent semiring,https://ncatlab.org/nlab/show/additively+idempotent+semiring,Rig (algebra)
Q2976517,ADE classification,https://ncatlab.org/nlab/show/ADE+classification,ADE classification
