Wikidata ID,PlanetMath,PlanetMath link,Wikidata Label
Q224085,AAA,http://planetmath.org/aaa,AAA
Q12806,abacus,http://planetmath.org/abacus,AbacuS
Q318751,abelian function,http://planetmath.org/abelianfunction,Abelian variety
Q1744580,abelian number field,http://planetmath.org/abeliannumberfield,Class field theory
Q188184,Abel Prize,http://planetmath.org/abelprize,Abel Prize
Q906520,Abel summability,http://planetmath.org/abelsummability,Summation method
Q332504,absolutely continuous function,http://planetmath.org/absolutelycontinuousfunction,Absolute continuity
Q2895315,absolutely flat,http://planetmath.org/absolutelyflat,Von Neumann regular ring
Q2141963,absolute retract,http://planetmath.org/absoluteretract,Retraction (topology)
Q980509,abstract embedding,http://planetmath.org/abstractembedding,Embedding
Q381699,acceptance-rejection method,http://planetmath.org/acceptancerejectionmethod,Rejection sampling
Q343171,Acta Mathematica,http://planetmath.org/actamathematica,Acta Mathematica
Q7259,Ada Lovelace,http://planetmath.org/adalovelace,Ada Lovelace
Q4678279,Ada Maddison,http://planetmath.org/adamaddison,Isabel Maddison
Q351723,Adams Prize,http://planetmath.org/adamsprize,Adams Prize
Q404330,additive,http://planetmath.org/additive,Additive
Q96371464,additive basis,http://planetmath.org/additivebasis,Additive basis
Q4681349,additively indecomposable,http://planetmath.org/additivelyindecomposable,Additively indecomposable ordinal
Q207348,adjoining an identity to a semigroup,http://planetmath.org/adjoininganidentitytoasemigroup,SemiGroup
Q105637427,adjoint,http://planetmath.org/adjoint,Adjoint
Q1017106,adjoint endomorphism,http://planetmath.org/adjointendomorphism,Adjoint representation
Q225107,adjugate,http://planetmath.org/adjugate,Adjugate matrix
Q4683190,adjunction space,http://planetmath.org/adjunctionspace,Adjunction space
Q4683800,admissibility,http://planetmath.org/admissibility,Admissibility
Q376963,Adrien Douady,http://planetmath.org/adriendouady,Adrien Douady
Q191021,Adrien-Marie Legendre,http://planetmath.org/adrienmarielegendre,Adrien-Marie Legendre
Q6553407,affine algebraic group,http://planetmath.org/affinealgebraicgroup,Linear algebraic group
Q382520,affine geometry,http://planetmath.org/affinegeometry,Affine geometry
Q213488,affine parameter,http://planetmath.org/affineparameter,Geodesic
Q3554813,affine variety,http://planetmath.org/affinevariety,Affine variety
Q4700777,Akhmim Wooden Tablet,http://planetmath.org/akhmimwoodentablet,Akhmim wooden tablets
Q4700777,Akhmim Wooden Tablet,http://planetmath.org/akhmimwoodentablet1,Akhmim wooden tablets
Q937,Albert Einstein,http://planetmath.org/alberteinstein,Albert Einstein
Q908627,aleph numbers,http://planetmath.org/alephnumbers,Aleph-null
Q77141,Alexander Grothendieck,http://planetmath.org/alexandergrothendieck,Alexander Grothendieck
Q3532117,Alexandroff space,http://planetmath.org/alexandroffspace,Alexandrov topology
Q864919,Alexandrov one-point compactification,http://planetmath.org/alexandrovonepointcompactification,Alexandroff extension
Q2836021,algebraic,http://planetmath.org/algebraic,Algebraic
Q2836021,algebraic,http://planetmath.org/algebraic1,Algebraic
Q1495342,algebraically dependent,http://planetmath.org/algebraicallydependent,Algebraic independence
Q4723998,algebraic connectivity of a graph,http://planetmath.org/algebraicconnectivityofagraph,Algebraic connectivity
Q180969,algebraic geometry,http://planetmath.org/algebraicgeometry,Algebraic geometry
Q2553675,Algebraic K-theory,http://planetmath.org/algebraicktheory,Algebraic K-theory
Q2553675,Algebraic K-theory,http://planetmath.org/algebraicktheory,Algebraic K-theory
Q1000660,algebra (module),http://planetmath.org/algebramodule,Algebra over a field
Q1000660,algebras,http://planetmath.org/algebras,Algebra over a field
Q8366,algorithm,http://planetmath.org/algorithm,Algorithm
Q868732,aliasing,http://planetmath.org/aliasing,Aliasing
Q339267,Allan Joseph Champneys Cunningham,http://planetmath.org/allanjosephchampneyscunningham,Allan J. C. Cunningham
Q4730075,all one polynomial,http://planetmath.org/allonepolynomial,All one polynomial
Q438842,alternating sum,http://planetmath.org/alternatingsum,Alternating series
Q4739384,amalgamation property,http://planetmath.org/amalgamationproperty,Amalgamation property
Q1857002,amenable group,http://planetmath.org/amenablegroup,Amenable group
Q465654,American Mathematical Society,http://planetmath.org/americanmathematicalsociety,American Mathematical Society
Q574946,ampheck,http://planetmath.org/ampheck,Logical NOR
Q4064646,amphicheiral knot,http://planetmath.org/amphicheiralknot,Chiral knot
Q4748472,ample,http://planetmath.org/ample,Ample vector bundle
Q1180238,analytic,http://planetmath.org/analytic,Analytic
Q215084,analytic curve,http://planetmath.org/analyticcurve,Analytic function
Q134787,analytic geometry,http://planetmath.org/analyticgeometry,Analytic geometry
Q2878515,analytic hierarchy,http://planetmath.org/analytichierarchy,Analytical hierarchy
Q4751135,analytic polyhedron,http://planetmath.org/analyticpolyhedron,Analytic polyhedron
Q517141,André Bloch,http://planetmath.org/andrebloch,André Bloch
Q506615,Andrew Odlyzko,http://planetmath.org/andrewodlyzko,Content is Not King
Q184433,Andrew Wiles,http://planetmath.org/andrewwiles,Andrew Wiles
Q11352,angle,http://planetmath.org/angle,Angle
Q273008,angle sum identity,http://planetmath.org/anglesumidentity,TrigonometricFunctions/Trigonometric Identities
Q4767376,Anna Nagurney,http://planetmath.org/annanagurney,Anna Nagurney
Q45926,annulus,http://planetmath.org/annulus,Annulus (mathematics)
Q45926,annulus,http://planetmath.org/annulus1,Annulus (mathematics)
Q639608,anticommutative,http://planetmath.org/anticommutative,Anticommutative property
Q4774672,antiderivative of complex function,http://planetmath.org/antiderivativeofcomplexfunction,Antiderivative (complex analysis)
Q2705347,antiholomorphic,http://planetmath.org/antiholomorphic,Antianalytic
Q184743,antiperiodic function,http://planetmath.org/antiperiodicfunction,Periodic function
Q582236,antipodal,http://planetmath.org/antipodal,Antipodal
Q17123932,antisymmetric,http://planetmath.org/antisymmetric,Skew-symmetric
Q255388,any rational number is a sum of unit fractions,http://planetmath.org/anyrationalnumberisasumofunitfractions,Unit fraction
Q29961325,Arabic numerals,http://planetmath.org/arabicnumerals,Arabic numerals
Q634579,Archimedean semigroup,http://planetmath.org/archimedeansemigroup,Archimedean property
Q11500,area formula,http://planetmath.org/areaformula,Area
Q11500,area of plane region,http://planetmath.org/areaofplaneregion,Area
Q849425,area of surface of revolution,http://planetmath.org/areaofsurfaceofrevolution,Surface of revolution
Q306610,area of the n-sphere,http://planetmath.org/areaofthensphere,N-sphere
Q1054475,area under Gaussian curve,http://planetmath.org/areaundergaussiancurve,Gaussian function
Q237125,Aristotelian logic,http://planetmath.org/aristotelianlogic,Term logic
Q868,Aristotle,http://planetmath.org/aristotle,Aristotle
Q11205,arithmetic,http://planetmath.org/arithmetic,Arithmetic
Q11205,arithmetic,http://planetmath.org/arithmetic,Arithmetic
Q4791138,arithmetical ring,http://planetmath.org/arithmeticalring,Arithmetic ring
Q2651,arithmetic encoding,http://planetmath.org/arithmeticencoding,Arithmetic encoding
Q777616,Armstrong number,http://planetmath.org/armstrongnumber,Armstrong number
Q4800189,Arthur Rubin,http://planetmath.org/arthurrubin,Arthur Rubin
Q4801177,artinian,http://planetmath.org/artinian,Artinian
Q3229329,Artin-Rees theorem,http://planetmath.org/artinreestheorem,Krull's intersection theorem
Q2528476,ascending chain condition,http://planetmath.org/ascendingchaincondition,Ascending chain condition
Q2303697,ascending order,http://planetmath.org/ascendingorder,Sorting
Q4809264,associated prime,http://planetmath.org/associatedprime,Associated prime
Q19671913,associates,http://planetmath.org/associates,Associate
Q177251,associative,http://planetmath.org/associative,Associative property
Q1341651,asymptotically stable,http://planetmath.org/asymptoticallystable,Lyapunov stability
Q752723,asymptotic density,http://planetmath.org/asymptoticdensity,Natural density
Q752718,asymptotic estimate,http://planetmath.org/asymptoticestimate,Asymptotic analysis
Q786973,autocovariance function,http://planetmath.org/autocovariancefunction,Autocovariance
Q4826571,automatic group,http://planetmath.org/automaticgroup,Automatic group
Q300159,AVL tree,http://planetmath.org/avltree,AVL tree
Q621476,axial vector,http://planetmath.org/axialvector,Pseudovector
Q4059942,Axiom A,http://planetmath.org/axioma,Axiom A
Q22349818,axiomatic geometry,http://planetmath.org/axiomaticgeometry,Axiomatic geometry
Q1327762,axiomatizable class,http://planetmath.org/axiomatizableclass,Elementary class
Q3303153,axiom of dependent choices,http://planetmath.org/axiomofdependentchoices,Axiom of dependent choice
Q470981,axiom of foundation,http://planetmath.org/axiomoffoundation,Axiom of regularity
Q780487,axiom schema of separation,http://planetmath.org/axiomschemaofseparation,Axiom schema of specification
Q1637144,bad reduction,http://planetmath.org/badreduction,Function field analogy
Q4841294,Baer ring,http://planetmath.org/baerring,AW* algebra
Q17154659,Bargmann transform,http://planetmath.org/bargmanntransform,Segal–Bargmann space
Q10289,barrel,http://planetmath.org/barrel,Barrels
Q1747853,base conversion,http://planetmath.org/baseconversion,Positional notation
Q211294,basic algebra,http://planetmath.org/basicalgebra,Elementary algebra
