Wikidata ID,PlanetMath,PlanetMath link
Q224085,AAA,http://planetmath.org/aaa
Q12806,abacus,http://planetmath.org/abacus
Q306393,ABC conjecture,http://planetmath.org/abcconjecture
Q318705,abelian extension,http://planetmath.org/abelianextension
Q318751,abelian function,http://planetmath.org/abelianfunction
Q181296,abelian group,http://planetmath.org/abeliangroup
Q522216,abelianization,http://planetmath.org/abelianization
Q1744580,abelian number field,http://planetmath.org/abeliannumberfield
Q318751,abelian variety,http://planetmath.org/abelianvariety
Q188184,Abel Prize,http://planetmath.org/abelprize
Q906520,Abel summability,http://planetmath.org/abelsummability
Q4668179,abnormal subgroup,http://planetmath.org/abnormalsubgroup
Q332465,absolute convergence theorem,http://planetmath.org/absoluteconvergencetheorem
Q332407,absolute Galois group,http://planetmath.org/absolutegaloisgroup
Q332504,absolutely continuous,http://planetmath.org/absolutelycontinuous
Q332504,absolutely continuous function,http://planetmath.org/absolutelycontinuousfunction
Q2895315,absolutely flat,http://planetmath.org/absolutelyflat
Q2141963,absolute retract,http://planetmath.org/absoluteretract
Q120812,absolute value,http://planetmath.org/absolutevalue
Q187420,absorbing element,http://planetmath.org/absorbingelement
Q332775,absorbing set,http://planetmath.org/absorbingset
Q980509,abstract embedding,http://planetmath.org/abstractembedding
Q336007,abundance,http://planetmath.org/abundance
Q223722,abundant number,http://planetmath.org/abundantnumber
Q381699,acceptance-rejection method,http://planetmath.org/acceptancerejectionmethod
Q3232444,Achilles number,http://planetmath.org/achillesnumber
Q341835,Ackermann function,http://planetmath.org/ackermannfunction
Q343171,Acta Mathematica,http://planetmath.org/actamathematica
Q4677984,acyclic graph,http://planetmath.org/acyclicgraph
Q7259,Ada Lovelace,http://planetmath.org/adalovelace
Q4678279,Ada Maddison,http://planetmath.org/adamaddison
Q351723,Adams Prize,http://planetmath.org/adamsprize
Q4680695,adapted process,http://planetmath.org/adaptedprocess
Q32043,addition,http://planetmath.org/addition
Q4681316,addition chain,http://planetmath.org/additionchain
Q404330,additive,http://planetmath.org/additive
Q96371464,additive basis,http://planetmath.org/additivebasis
Q95745348,additive function,http://planetmath.org/additivefunction
Q95745348,additive function,http://planetmath.org/additivefunction1
Q4681349,additively indecomposable,http://planetmath.org/additivelyindecomposable
Q2663521,adèle,http://planetmath.org/adele
Q15217424,adherent point,http://planetmath.org/adherentpoint
Q192683,ad hoc,http://planetmath.org/adhoc
Q192683,ad hoc,http://planetmath.org/adhoc
Q727035,adjacency matrix,http://planetmath.org/adjacencymatrix
Q166507,adjacent,http://planetmath.org/adjacent
Q166507,adjacent,http://planetmath.org/adjacent1
Q207348,adjoining an identity to a semigroup,http://planetmath.org/adjoininganidentitytoasemigroup
Q105637427,adjoint,http://planetmath.org/adjoint
Q1017106,adjoint endomorphism,http://planetmath.org/adjointendomorphism
Q1017106,adjoint representation,http://planetmath.org/adjointrepresentation
Q225107,adjugate,http://planetmath.org/adjugate
Q4683190,adjunction space,http://planetmath.org/adjunctionspace
Q4683800,admissibility,http://planetmath.org/admissibility
Q376963,Adrien Douady,http://planetmath.org/adriendouady
Q191021,Adrien-Marie Legendre,http://planetmath.org/adrienmarielegendre
Q6553407,affine algebraic group,http://planetmath.org/affinealgebraicgroup
Q938614,affine combination,http://planetmath.org/affinecombination
Q1371213,affine connection,http://planetmath.org/affineconnection
Q382520,affine geometry,http://planetmath.org/affinegeometry
Q213488,affine parameter,http://planetmath.org/affineparameter
Q382698,affine space,http://planetmath.org/affinespace
Q382497,affine transformation,http://planetmath.org/affinetransformation
Q3554813,affine variety,http://planetmath.org/affinevariety
Q2246542,Agoh-Giuga conjecture,http://planetmath.org/agohgiugaconjecture
Q4700777,Akhmim Wooden Tablet,http://planetmath.org/akhmimwoodentablet
Q4700777,Akhmim Wooden Tablet,http://planetmath.org/akhmimwoodentablet1
Q937,Albert Einstein,http://planetmath.org/alberteinstein
Q908627,aleph numbers,http://planetmath.org/alephnumbers
Q77141,Alexander Grothendieck,http://planetmath.org/alexandergrothendieck
Q4718108,Alexander trick,http://planetmath.org/alexandertrick
Q3532117,Alexandroff space,http://planetmath.org/alexandroffspace
Q864919,Alexandrov one-point compactification,http://planetmath.org/alexandrovonepointcompactification
Q3968,algebra,http://planetmath.org/algebra
Q2836021,algebraic,http://planetmath.org/algebraic
Q2836021,algebraic,http://planetmath.org/algebraic1
Q1047547,algebraically closed,http://planetmath.org/algebraicallyclosed
Q1495342,algebraically dependent,http://planetmath.org/algebraicallydependent
Q4723998,algebraic connectivity of a graph,http://planetmath.org/algebraicconnectivityofagraph
Q50698,algebraic equation,http://planetmath.org/algebraicequation
Q550791,algebraic extension,http://planetmath.org/algebraicextension
Q746863,algebraic function,http://planetmath.org/algebraicfunction
Q180969,algebraic geometry,http://planetmath.org/algebraicgeometry
Q646245,algebraic integer,http://planetmath.org/algebraicinteger
Q2553675,Algebraic K-theory,http://planetmath.org/algebraicktheory
Q2553675,Algebraic K-theory,http://planetmath.org/algebraicktheory
Q5155306,algebraic lattice,http://planetmath.org/algebraiclattice
Q4724008,algebraic manifold,http://planetmath.org/algebraicmanifold
Q168817,algebraic number,http://planetmath.org/algebraicnumber
Q613048,algebraic number theory,http://planetmath.org/algebraicnumbertheory
Q205464,algebraic system,http://planetmath.org/algebraicsystem
Q4724022,algebraic torus,http://planetmath.org/algebraictorus
Q1000660,algebra (module),http://planetmath.org/algebramodule
Q1000660,algebras,http://planetmath.org/algebras
Q8366,algorithm,http://planetmath.org/algorithm
Q868732,aliasing,http://planetmath.org/aliasing
Q1663510,aliquot sequence,http://planetmath.org/aliquotsequence
Q339267,Allan Joseph Champneys Cunningham,http://planetmath.org/allanjosephchampneyscunningham
Q4730075,all one polynomial,http://planetmath.org/allonepolynomial
Q2995691,almost complex structure,http://planetmath.org/almostcomplexstructure
Q4734003,almost convergent,http://planetmath.org/almostconvergent
Q1139334,almost everywhere,http://planetmath.org/almosteverywhere
Q1526045,almost perfect number,http://planetmath.org/almostperfectnumber
Q837518,alphabet,http://planetmath.org/alphabet
Q3890817,alternating factorial,http://planetmath.org/alternatingfactorial
Q1196652,alternating form,http://planetmath.org/alternatingform
Q464100,alternating harmonic series,http://planetmath.org/alternatingharmonicseries
Q4736417,alternating knot,http://planetmath.org/alternatingknot
Q438842,alternating series,http://planetmath.org/alternatingseries
Q914099,alternating series test,http://planetmath.org/alternatingseriestest
Q438842,alternating sum,http://planetmath.org/alternatingsum
Q2165111,alternative algebra,http://planetmath.org/alternativealgebra
Q4739384,amalgamation property,http://planetmath.org/amalgamationproperty
Q1917459,ambiguous grammar,http://planetmath.org/ambiguousgrammar
Q1857002,amenable group,http://planetmath.org/amenablegroup
Q4742387,amenable number,http://planetmath.org/amenablenumber
Q465654,American Mathematical Society,http://planetmath.org/americanmathematicalsociety
Q117927,amicable numbers,http://planetmath.org/amicablenumbers
Q574946,ampheck,http://planetmath.org/ampheck
Q4064646,amphicheiral knot,http://planetmath.org/amphicheiralknot
Q4748472,ample,http://planetmath.org/ample
Q1180238,analytic,http://planetmath.org/analytic
Q485287,analytic continuation,http://planetmath.org/analyticcontinuation
Q215084,analytic curve,http://planetmath.org/analyticcurve
Q134787,analytic geometry,http://planetmath.org/analyticgeometry
Q2878515,analytic hierarchy,http://planetmath.org/analytichierarchy
Q10843274,analytic number theory,http://planetmath.org/analyticnumbertheory
Q4751135,analytic polyhedron,http://planetmath.org/analyticpolyhedron
Q485312,analytic set,http://planetmath.org/analyticset
Q485312,analytic set,http://planetmath.org/analyticset1
Q4751141,analytic space,http://planetmath.org/analyticspace
Q517141,André Bloch,http://planetmath.org/andrebloch
Q506615,Andrew Odlyzko,http://planetmath.org/andrewodlyzko
Q184433,Andrew Wiles,http://planetmath.org/andrewwiles
Q11352,angle,http://planetmath.org/angle
Q3128632,angle bisector,http://planetmath.org/anglebisector
Q273008,angle sum identity,http://planetmath.org/anglesumidentity
Q4767376,Anna Nagurney,http://planetmath.org/annanagurney
Q752487,annihilator,http://planetmath.org/annihilator
Q45926,annulus,http://planetmath.org/annulus
Q45926,annulus,http://planetmath.org/annulus1
Q56297274,Anosov diffeomorphism,http://planetmath.org/anosovdiffeomorphism
Q431937,antichain,http://planetmath.org/antichain
Q639608,anticommutative,http://planetmath.org/anticommutative
Q114326,antiderivative,http://planetmath.org/antiderivative
Q4774672,antiderivative of complex function,http://planetmath.org/antiderivativeofcomplexfunction
Q4774357,anti-diagonal matrix,http://planetmath.org/antidiagonalmatrix
Q2705347,antiholomorphic,http://planetmath.org/antiholomorphic
Q4774870,anti-isomorphism,http://planetmath.org/antiisomorphism
Q184743,antiperiodic function,http://planetmath.org/antiperiodicfunction
Q582236,antipodal,http://planetmath.org/antipodal
Q1048057,antiprism,http://planetmath.org/antiprism
Q17123932,antisymmetric,http://planetmath.org/antisymmetric
Q255388,any rational number is a sum of unit fractions,http://planetmath.org/anyrationalnumberisasumofunitfractions
Q4779193,apartness relation,http://planetmath.org/apartnessrelation
Q877489,Apollonius theorem,http://planetmath.org/apolloniustheorem
Q1090038,Appell sequence,http://planetmath.org/appellsequence
Q621743,approximate identity,http://planetmath.org/approximateidentity
Q27058,approximation,http://planetmath.org/approximation
Q55604106,approximation property,http://planetmath.org/approximationproperty
Q29961325,Arabic numerals,http://planetmath.org/arabicnumerals
Q634579,Archimedean property,http://planetmath.org/archimedeanproperty
Q634579,Archimedean semigroup,http://planetmath.org/archimedeansemigroup
Q28967,Archimedean spiral,http://planetmath.org/archimedeanspiral
Q670036,arc length,http://planetmath.org/arclength
Q11500,area,http://planetmath.org/area
Q11500,area formula,http://planetmath.org/areaformula
Q11500,area of plane region,http://planetmath.org/areaofplaneregion
Q849425,area of surface of revolution,http://planetmath.org/areaofsurfaceofrevolution
Q306610,area of the n-sphere,http://planetmath.org/areaofthensphere
Q1054475,area under Gaussian curve,http://planetmath.org/areaundergaussiancurve
Q328998,Argand diagram,http://planetmath.org/arganddiagram
Q651343,argument,http://planetmath.org/argument
Q1370201,argument principle,http://planetmath.org/argumentprinciple
Q237125,Aristotelian logic,http://planetmath.org/aristotelianlogic
Q868,Aristotle,http://planetmath.org/aristotle
Q11205,arithmetic,http://planetmath.org/arithmetic
Q11205,arithmetic,http://planetmath.org/arithmetic
Q669094,arithmetical hierarchy,http://planetmath.org/arithmeticalhierarchy
Q4791138,arithmetical ring,http://planetmath.org/arithmeticalring
Q3013123,arithmetic derivative,http://planetmath.org/arithmeticderivative
Q2651,arithmetic encoding,http://planetmath.org/arithmeticencoding
Q140744,arithmetic function,http://planetmath.org/arithmeticfunction
Q476167,arithmetic-geometric mean,http://planetmath.org/arithmeticgeometricmean
Q19033,arithmetic mean,http://planetmath.org/arithmeticmean
Q170008,arithmetic progression,http://planetmath.org/arithmeticprogression
Q170008,arithmetic progression,http://planetmath.org/arithmeticprogression
Q170008,arithmetic series,http://planetmath.org/arithmeticseries
Q1315869,arity,http://planetmath.org/arity
Q1315869,arity,http://planetmath.org/arity
Q777616,Armstrong number,http://planetmath.org/armstrongnumber
Q1192020,Aronszajn tree,http://planetmath.org/aronszajntree
Q1948412,arrow,http://planetmath.org/arrow
Q1948412,arrow,http://planetmath.org/arrow
Q4800189,Arthur Rubin,http://planetmath.org/arthurrubin
Q11660,artificial intelligence,http://planetmath.org/artificialintelligence
Q4801177,artinian,http://planetmath.org/artinian
Q713069,Artin map,http://planetmath.org/artinmap
Q3229329,Artin-Rees theorem,http://planetmath.org/artinreestheorem
Q2528476,ascending chain condition,http://planetmath.org/ascendingchaincondition
Q2303697,ascending order,http://planetmath.org/ascendingorder
Q1477053,Ascoli-Arzelà theorem,http://planetmath.org/ascoliarzelatheorem
Q3420076,aspect ratio,http://planetmath.org/aspectratio
Q620614,assignment problem,http://planetmath.org/assignmentproblem
Q427018,associated bundle construction,http://planetmath.org/associatedbundleconstruction
Q4809264,associated prime,http://planetmath.org/associatedprime
Q19671913,associates,http://planetmath.org/associates
Q4810150,association scheme,http://planetmath.org/associationscheme
Q177251,associative,http://planetmath.org/associative
Q2405805,associator,http://planetmath.org/associator
Q179436,asymptote,http://planetmath.org/asymptote
Q1341651,asymptotically stable,http://planetmath.org/asymptoticallystable
Q752723,asymptotic density,http://planetmath.org/asymptoticdensity
Q752718,asymptotic estimate,http://planetmath.org/asymptoticestimate
Q261484,atom,http://planetmath.org/atom
Q2328174,atomic formula,http://planetmath.org/atomicformula
Q681650,atom (measure theory),http://planetmath.org/atommeasuretheory
Q217608,attracting fixed point,http://planetmath.org/attractingfixedpoint
Q507187,attractor,http://planetmath.org/attractor
Q786973,autocovariance function,http://planetmath.org/autocovariancefunction
Q4826571,automatic group,http://planetmath.org/automaticgroup
Q787116,automaton,http://planetmath.org/automaton
Q2313686,automorphic number,http://planetmath.org/automorphicnumber
Q788009,autonomous system,http://planetmath.org/autonomoussystem
Q2202883,autoregressive model,http://planetmath.org/autoregressivemodel
Q300159,AVL tree,http://planetmath.org/avltree
Q621476,axial vector,http://planetmath.org/axialvector
Q17736,axiom,http://planetmath.org/axiom
Q4059942,Axiom A,http://planetmath.org/axioma
Q22349818,axiomatic geometry,http://planetmath.org/axiomaticgeometry
Q1327762,axiomatizable class,http://planetmath.org/axiomatizableclass
Q179692,axiom of choice,http://planetmath.org/axiomofchoice
Q1000116,axiom of countable choice,http://planetmath.org/axiomofcountablechoice
Q3303153,axiom of dependent choices,http://planetmath.org/axiomofdependentchoices
Q4830558,axiom of determinacy,http://planetmath.org/axiomofdeterminacy
Q740424,axiom of extensionality,http://planetmath.org/axiomofextensionality
Q470981,axiom of foundation,http://planetmath.org/axiomoffoundation
Q920450,axiom of infinity,http://planetmath.org/axiomofinfinity
Q920796,axiom of pairing,http://planetmath.org/axiomofpairing
Q1077811,axiom of power set,http://planetmath.org/axiomofpowerset
Q1987722,axiom of union,http://planetmath.org/axiomofunion
Q780487,axiom schema of separation,http://planetmath.org/axiomschemaofseparation
Q117054,Bacon number,http://planetmath.org/baconnumber
Q1637144,bad reduction,http://planetmath.org/badreduction
Q4841294,Baer ring,http://planetmath.org/baerring
Q4841300,Baer-Specker group,http://planetmath.org/baerspeckergroup
Q1052678,Baire category theorem,http://planetmath.org/bairecategorytheorem
Q803936,Baire space,http://planetmath.org/bairespace
Q803936,Baire space,http://planetmath.org/bairespace1
Q1911050,balance,http://planetmath.org/balance
Q1934929,balanced prime,http://planetmath.org/balancedprime
Q778785,balanced set,http://planetmath.org/balancedset
Q245955,balanced tree,http://planetmath.org/balancedtree
Q537618,Banach-Alaoglu theorem,http://planetmath.org/banachalaoglutheorem
Q806066,Banach algebra,http://planetmath.org/banachalgebra
Q220680,Banach fixed point theorem,http://planetmath.org/banachfixedpointtheorem
Q806060,Banach limit,http://planetmath.org/banachlimit
Q806050,Banach-Mazur compactum,http://planetmath.org/banachmazurcompactum
Q194397,Banach space,http://planetmath.org/banachspace
Q1426292,Banach-Steinhaus theorem,http://planetmath.org/banachsteinhaustheorem
Q737851,Banach-Tarski paradox,http://planetmath.org/banachtarskiparadox
Q4177774,band,http://planetmath.org/band
Q17154659,Bargmann transform,http://planetmath.org/bargmanntransform
Q4861944,Barnsley fern,http://planetmath.org/barnsleyfern
Q131030,operator,http://planetmath.org/barpartialoperator
Q10289,barrel,http://planetmath.org/barrel
Q738422,barycentric coordinates,http://planetmath.org/barycentriccoordinates
Q1747853,base conversion,http://planetmath.org/baseconversion
Q810431,Basel problem,http://planetmath.org/baselproblem
Q42979,BASIC,http://planetmath.org/basic
Q211294,basic algebra,http://planetmath.org/basicalgebra
Q189569,basis,http://planetmath.org/basis
Q810214,basis (topology),http://planetmath.org/basistopology
Q2226602,Bauer-Fike theorem,http://planetmath.org/bauerfiketheorem
Q4150685,Baumslag-Solitar group,http://planetmath.org/baumslagsolitargroup
Q182505,Bayes’ theorem,http://planetmath.org/bayestheorem
Q508173,Beal conjecture,http://planetmath.org/bealconjecture
Q791663,Beatty sequence,http://planetmath.org/beattysequence
Q9332,behavior,http://planetmath.org/behavior
Q4880958,Behnke-Stein theorem,http://planetmath.org/behnkesteintheorem
Q816063,Bell number,http://planetmath.org/bellnumber
Q4884794,Beltrami differential equation,http://planetmath.org/beltramidifferentialequation
Q3303275,Beltrami identity,http://planetmath.org/beltramiidentity
Q1189065,Beltrami-Klein model,http://planetmath.org/beltramikleinmodel
Q34969,Benjamin Franklin,http://planetmath.org/benjaminfranklin
Q101740,Benoît Mandelbrot,http://planetmath.org/benoitmandelbrot
Q3345664,Bergman kernel,http://planetmath.org/bergmankernel
Q4891698,Bergman metric,http://planetmath.org/bergmanmetric
Q3058183,Bergman space,http://planetmath.org/bergmanspace
Q821007,Berlekamp-Massey algorithm,http://planetmath.org/berlekampmasseyalgorithm
Q42299,Bernhard Riemann,http://planetmath.org/bernhardriemann
Q3589398,Bernoulli equation,http://planetmath.org/bernoulliequation
Q694114,Bernoulli number,http://planetmath.org/bernoullinumber
Q2346201,Bernoulli polynomial,http://planetmath.org/bernoullipolynomial
Q391371,Bernoulli random variable,http://planetmath.org/bernoullirandomvariable
Q16256818,Bernstein inequalities,http://planetmath.org/bernsteininequalities
Q826841,Bernstein polynomial,http://planetmath.org/bernsteinpolynomial
Q794042,Bessel inequality,http://planetmath.org/besselinequality
Q1750507,beta function,http://planetmath.org/betafunction
Q831092,beth numbers,http://planetmath.org/bethnumbers
Q429593,Betti number,http://planetmath.org/bettinumber
Q7100712,betweenness relation,http://planetmath.org/betweennessrelation
Q214728,Bézier curve,http://planetmath.org/beziercurve
Q2386260,Bezout domain,http://planetmath.org/bezoutdomain
Q494141,bialgebra,http://planetmath.org/bialgebra
Q24070598,biangle,http://planetmath.org/biangle
Q742736,bias,http://planetmath.org/bias
Q204355,biconditional,http://planetmath.org/biconditional
Q3022111,bicyclic semigroup,http://planetmath.org/bicyclicsemigroup
Q1154357,bifurcation,http://planetmath.org/bifurcation
Q859808,biharmonic equation,http://planetmath.org/biharmonicequation
Q377166,biholomorphically equivalent,http://planetmath.org/biholomorphicallyequivalent
Q180907,bijection,http://planetmath.org/bijection
Q837924,bilinear form,http://planetmath.org/bilinearform
Q1086961,bilinear map,http://planetmath.org/bilinearmap
Q2903821,bimodule,http://planetmath.org/bimodule
Q1534522,binary Golay code,http://planetmath.org/binarygolaycode
Q332772,binary Gray code,http://planetmath.org/binarygraycode
Q164307,binary operation,http://planetmath.org/binaryoperation
Q243754,binary search,http://planetmath.org/binarysearch
Q623818,binary search tree,http://planetmath.org/binarysearchtree
Q380172,binary tree,http://planetmath.org/binarytree
Q209875,binomial coefficient,http://planetmath.org/binomialcoefficient
Q185547,binomial distribution,http://planetmath.org/binomialdistribution
