title,link
birth of category theory,https://emilyriehl.github.io/files/context.pdf#page=19
group extension,https://emilyriehl.github.io/files/context.pdf#page=19
p-adic integers,https://emilyriehl.github.io/files/context.pdf#page=19
"Pr\""ufer p-group",https://emilyriehl.github.io/files/context.pdf#page=19
p-adic solenoid,https://emilyriehl.github.io/files/context.pdf#page=19
universal coefficient theorem,https://emilyriehl.github.io/files/context.pdf#page=19
homology,https://emilyriehl.github.io/files/context.pdf#page=19
cohomology,https://emilyriehl.github.io/files/context.pdf#page=19
natural,https://emilyriehl.github.io/files/context.pdf#page=19
dual vector space,https://emilyriehl.github.io/files/context.pdf#page=19
exact sequence,https://emilyriehl.github.io/files/context.pdf#page=19
duality in projective plane geometry,https://emilyriehl.github.io/files/context.pdf#page=20
category,https://emilyriehl.github.io/files/context.pdf#page=21
object in a category,https://emilyriehl.github.io/files/context.pdf#page=21
morphism in a category,https://emilyriehl.github.io/files/context.pdf#page=21
arrow,https://emilyriehl.github.io/files/context.pdf#page=21
map,https://emilyriehl.github.io/files/context.pdf#page=21
domain,https://emilyriehl.github.io/files/context.pdf#page=21
codomain,https://emilyriehl.github.io/files/context.pdf#page=21
identity morphism,https://emilyriehl.github.io/files/context.pdf#page=21
composite morphism,https://emilyriehl.github.io/files/context.pdf#page=21
category arrows only definition,https://emilyriehl.github.io/files/context.pdf#page=21
category naming convention,https://emilyriehl.github.io/files/context.pdf#page=21
topological space,https://emilyriehl.github.io/files/context.pdf#page=22
signature,https://emilyriehl.github.io/files/context.pdf#page=22
concrete category,https://emilyriehl.github.io/files/context.pdf#page=22
basepoint,https://emilyriehl.github.io/files/context.pdf#page=22
chain complex,https://emilyriehl.github.io/files/context.pdf#page=22
group as a one-object category,https://emilyriehl.github.io/files/context.pdf#page=23
poset as a category,https://emilyriehl.github.io/files/context.pdf#page=23
discrete category,https://emilyriehl.github.io/files/context.pdf#page=23
monoid as a one-object category,https://emilyriehl.github.io/files/context.pdf#page=23
monoid,https://emilyriehl.github.io/files/context.pdf#page=23
preorder as a category,https://emilyriehl.github.io/files/context.pdf#page=23
preorder,https://emilyriehl.github.io/files/context.pdf#page=23
poset,https://emilyriehl.github.io/files/context.pdf#page=23
morphism not always a function,https://emilyriehl.github.io/files/context.pdf#page=24
Russell's paradox,https://emilyriehl.github.io/files/context.pdf#page=24
set theory for category theory,https://emilyriehl.github.io/files/context.pdf#page=24
small,https://emilyriehl.github.io/files/context.pdf#page=24
small category,https://emilyriehl.github.io/files/context.pdf#page=24
cardinal inaccessible,https://emilyriehl.github.io/files/context.pdf#page=24
cardinal regular,https://emilyriehl.github.io/files/context.pdf#page=24
cardinal strong limit,https://emilyriehl.github.io/files/context.pdf#page=24
von Neumann hierarchy,https://emilyriehl.github.io/files/context.pdf#page=24
Grothendieck universe,https://emilyriehl.github.io/files/context.pdf#page=24
locally small,https://emilyriehl.github.io/files/context.pdf#page=25
locally small category,https://emilyriehl.github.io/files/context.pdf#page=25
hom-set,https://emilyriehl.github.io/files/context.pdf#page=25
isomorphic,https://emilyriehl.github.io/files/context.pdf#page=25
isomorphism,https://emilyriehl.github.io/files/context.pdf#page=25
endo- morphism,https://emilyriehl.github.io/files/context.pdf#page=25
automorphism,https://emilyriehl.github.io/files/context.pdf#page=25
groupoid,https://emilyriehl.github.io/files/context.pdf#page=25
group,https://emilyriehl.github.io/files/context.pdf#page=25
fundamental groupoid,https://emilyriehl.github.io/files/context.pdf#page=25
subcategory,https://emilyriehl.github.io/files/context.pdf#page=26
maximal groupoid,https://emilyriehl.github.io/files/context.pdf#page=26
slice category,https://emilyriehl.github.io/files/context.pdf#page=26
co-,https://emilyriehl.github.io/files/context.pdf#page=27
opposite category,https://emilyriehl.github.io/files/context.pdf#page=27
opposite group,https://emilyriehl.github.io/files/context.pdf#page=28
dual of a categorical statement,https://emilyriehl.github.io/files/context.pdf#page=28
dual theorem,https://emilyriehl.github.io/files/context.pdf#page=28
monomorphism,https://emilyriehl.github.io/files/context.pdf#page=29
epimorphism,https://emilyriehl.github.io/files/context.pdf#page=29
monic,https://emilyriehl.github.io/files/context.pdf#page=29
epic,https://emilyriehl.github.io/files/context.pdf#page=29
mono,https://emilyriehl.github.io/files/context.pdf#page=29
epi,https://emilyriehl.github.io/files/context.pdf#page=29
section,https://emilyriehl.github.io/files/context.pdf#page=30
right inverse,https://emilyriehl.github.io/files/context.pdf#page=30
retraction,https://emilyriehl.github.io/files/context.pdf#page=30
left inverse,https://emilyriehl.github.io/files/context.pdf#page=30
retract,https://emilyriehl.github.io/files/context.pdf#page=30
split monomorphism,https://emilyriehl.github.io/files/context.pdf#page=30
split epimorphism,https://emilyriehl.github.io/files/context.pdf#page=30
axiom of choice,https://emilyriehl.github.io/files/context.pdf#page=30
supremum,https://emilyriehl.github.io/files/context.pdf#page=31
infimum,https://emilyriehl.github.io/files/context.pdf#page=31
functor,https://emilyriehl.github.io/files/context.pdf#page=31
functoriality,https://emilyriehl.github.io/files/context.pdf#page=31
forgetful functor,https://emilyriehl.github.io/files/context.pdf#page=31
endo functor,https://emilyriehl.github.io/files/context.pdf#page=31
endo- functor,https://emilyriehl.github.io/files/context.pdf#page=31
fundamental group,https://emilyriehl.github.io/files/context.pdf#page=32
homotopy invariant,https://emilyriehl.github.io/files/context.pdf#page=32
chain complex cycle,https://emilyriehl.github.io/files/context.pdf#page=32
chain complex boundary,https://emilyriehl.github.io/files/context.pdf#page=32
chain complex homology,https://emilyriehl.github.io/files/context.pdf#page=32
free group,https://emilyriehl.github.io/files/context.pdf#page=32
functoriality of derivative,https://emilyriehl.github.io/files/context.pdf#page=32
chain rule,https://emilyriehl.github.io/files/context.pdf#page=32
total derivative,https://emilyriehl.github.io/files/context.pdf#page=32
Jacobian matrix,https://emilyriehl.github.io/files/context.pdf#page=32
Brouwer fixed point theorem,https://emilyriehl.github.io/files/context.pdf#page=33
clustering algorithm,https://emilyriehl.github.io/files/context.pdf#page=34
categorification of clustering algorithms,https://emilyriehl.github.io/files/context.pdf#page=34
persistent cluster,https://emilyriehl.github.io/files/context.pdf#page=34
covariant functor,https://emilyriehl.github.io/files/context.pdf#page=35
contravariant functor,https://emilyriehl.github.io/files/context.pdf#page=35
linear functional,https://emilyriehl.github.io/files/context.pdf#page=35
continuous function,https://emilyriehl.github.io/files/context.pdf#page=36
presheaf,https://emilyriehl.github.io/files/context.pdf#page=36
simplicial set,https://emilyriehl.github.io/files/context.pdf#page=36
functor preserves isomorphisms,https://emilyriehl.github.io/files/context.pdf#page=36
group action,https://emilyriehl.github.io/files/context.pdf#page=36
G-set,https://emilyriehl.github.io/files/context.pdf#page=36
G-object,https://emilyriehl.github.io/files/context.pdf#page=36
G-representation,https://emilyriehl.github.io/files/context.pdf#page=36
G-space,https://emilyriehl.github.io/files/context.pdf#page=36
G-action,https://emilyriehl.github.io/files/context.pdf#page=37
equational witness,https://emilyriehl.github.io/files/context.pdf#page=37
represented functor,https://emilyriehl.github.io/files/context.pdf#page=37
bifunctor,https://emilyriehl.github.io/files/context.pdf#page=37
bi functor,https://emilyriehl.github.io/files/context.pdf#page=37
product of category,https://emilyriehl.github.io/files/context.pdf#page=37
two-sided represented functor,https://emilyriehl.github.io/files/context.pdf#page=38
category of categories,https://emilyriehl.github.io/files/context.pdf#page=38
isomorphism of category,https://emilyriehl.github.io/files/context.pdf#page=38
categorification of the fundamental theorem of Galois theory,https://emilyriehl.github.io/files/context.pdf#page=39
Galois extension,https://emilyriehl.github.io/files/context.pdf#page=39
Galois group,https://emilyriehl.github.io/files/context.pdf#page=39
orbit category,https://emilyriehl.github.io/files/context.pdf#page=39
fundamental theorem Galois theory,https://emilyriehl.github.io/files/context.pdf#page=39
partial function,https://emilyriehl.github.io/files/context.pdf#page=39
functor morphism,https://emilyriehl.github.io/files/context.pdf#page=40
comma category,https://emilyriehl.github.io/files/context.pdf#page=40
functoriality in group theory,https://emilyriehl.github.io/files/context.pdf#page=40
center of a group,https://emilyriehl.github.io/files/context.pdf#page=40
commutator subgroup,https://emilyriehl.github.io/files/context.pdf#page=40
automorphism group,https://emilyriehl.github.io/files/context.pdf#page=40
dual basis,https://emilyriehl.github.io/files/context.pdf#page=41
vector space dual vs double dual,https://emilyriehl.github.io/files/context.pdf#page=41
natural transformation,https://emilyriehl.github.io/files/context.pdf#page=41
components of natural transformation,https://emilyriehl.github.io/files/context.pdf#page=41
commutative square,https://emilyriehl.github.io/files/context.pdf#page=42
natural isomorphism,https://emilyriehl.github.io/files/context.pdf#page=42
globular diagram for natural transformation,https://emilyriehl.github.io/files/context.pdf#page=42
equivariant map,https://emilyriehl.github.io/files/context.pdf#page=43
G-equivariant,https://emilyriehl.github.io/files/context.pdf#page=43
no cloning theorem,https://emilyriehl.github.io/files/context.pdf#page=44
torsion subgroup,https://emilyriehl.github.io/files/context.pdf#page=44
torsion sub group,https://emilyriehl.github.io/files/context.pdf#page=44
Riesz representation theorem,https://emilyriehl.github.io/files/context.pdf#page=44
invariant,https://emilyriehl.github.io/files/context.pdf#page=45
decategorification,https://emilyriehl.github.io/files/context.pdf#page=46
categorification of the natural numbers,https://emilyriehl.github.io/files/context.pdf#page=46
natural isomorphism as an invertible natural transformation,https://emilyriehl.github.io/files/context.pdf#page=46
invertible natural transformation,https://emilyriehl.github.io/files/context.pdf#page=46
extra natural transformation,https://emilyriehl.github.io/files/context.pdf#page=46
extranatural transformation,https://emilyriehl.github.io/files/context.pdf#page=46
walking arrow,https://emilyriehl.github.io/files/context.pdf#page=47
walking isomorphism,https://emilyriehl.github.io/files/context.pdf#page=47
equivalence of categories,https://emilyriehl.github.io/files/context.pdf#page=48
composite equivalence of categories,https://emilyriehl.github.io/files/context.pdf#page=48
linear algebra abstract vs concrete,https://emilyriehl.github.io/files/context.pdf#page=48
full,https://emilyriehl.github.io/files/context.pdf#page=48
full functor,https://emilyriehl.github.io/files/context.pdf#page=48
faithful,https://emilyriehl.github.io/files/context.pdf#page=48
faithful functor,https://emilyriehl.github.io/files/context.pdf#page=48
essentially surjective functor,https://emilyriehl.github.io/files/context.pdf#page=48
essentially surjective,https://emilyriehl.github.io/files/context.pdf#page=48
local,https://emilyriehl.github.io/files/context.pdf#page=49
global,https://emilyriehl.github.io/files/context.pdf#page=49
embedding,https://emilyriehl.github.io/files/context.pdf#page=49
full embedding,https://emilyriehl.github.io/files/context.pdf#page=49
full subcategory,https://emilyriehl.github.io/files/context.pdf#page=49
connected category,https://emilyriehl.github.io/files/context.pdf#page=51
connected groupoid,https://emilyriehl.github.io/files/context.pdf#page=51
skeletal category,https://emilyriehl.github.io/files/context.pdf#page=52
skeleton,https://emilyriehl.github.io/files/context.pdf#page=52
categorification of the orbit-stabilizer theorem,https://emilyriehl.github.io/files/context.pdf#page=52
translation groupoid,https://emilyriehl.github.io/files/context.pdf#page=52
orbit,https://emilyriehl.github.io/files/context.pdf#page=52
stabilizer,https://emilyriehl.github.io/files/context.pdf#page=52
orbit-stabilizer theorem,https://emilyriehl.github.io/files/context.pdf#page=53
evil,https://emilyriehl.github.io/files/context.pdf#page=53
essentially,https://emilyriehl.github.io/files/context.pdf#page=53
essentially small category,https://emilyriehl.github.io/files/context.pdf#page=53
essentially small,https://emilyriehl.github.io/files/context.pdf#page=53
essentially discrete,https://emilyriehl.github.io/files/context.pdf#page=53
essential image,https://emilyriehl.github.io/files/context.pdf#page=53
Klein's Erlangen program,https://emilyriehl.github.io/files/context.pdf#page=54
chaotic category,https://emilyriehl.github.io/files/context.pdf#page=54
abstract nonsense,https://emilyriehl.github.io/files/context.pdf#page=54
diagram,https://emilyriehl.github.io/files/context.pdf#page=54
commutative diagram,https://emilyriehl.github.io/files/context.pdf#page=54
commute,https://emilyriehl.github.io/files/context.pdf#page=54
topological monoid,https://emilyriehl.github.io/files/context.pdf#page=55
ring,https://emilyriehl.github.io/files/context.pdf#page=55
algebra,https://emilyriehl.github.io/files/context.pdf#page=55
