Wikidata ID,Wikidata Label,BCT Name,BCT Link,Chicago Name,Chicago Link,Clowder Name,Clowder Link,Context Name,Context Link,Mathlib Name,Mathlib Link,nLab Name,nLab Link,PlanetMath Name,PlanetMath Link
Q1000116,Axiom of countable choice,,,,,,,,,,,countable choice,https://ncatlab.org/nlab/show/countable+choice,axiom of countable choice,http://planetmath.org/axiomofcountablechoice
Q1000120,maximal torus,,,,,,,,,,,maximal torus,https://ncatlab.org/nlab/show/maximal+torus,maximal torus,http://planetmath.org/maximaltorus
Q1000660,algebra over a field,,,algebra over a field,https://mathgloss.github.io/MathGloss/chicago/algebra_over_a_field,,,homomorphism of algebras,https://emilyriehl.github.io/files/context.pdf#page=180,,,,,algebras,http://planetmath.org/algebras
Q1003025,formal power series,,,,,,,,,,,restricted formal power series,https://ncatlab.org/nlab/show/restricted+formal+power+series,invertible formal power series,http://planetmath.org/invertibleformalpowerseries
Q1003136,Forcing (mathematics),,,,,,,,,,,forcing,https://ncatlab.org/nlab/show/forcing,forcing relation,http://planetmath.org/forcingrelation
Q1003162,simple Lie group,,,,,,,,,,,exceptional Lie group,https://ncatlab.org/nlab/show/exceptional+Lie+group,,
Q1003225,Measure-preserving dynamical system,,,,,,,,,,,,,metric entropy,http://planetmath.org/metricentropy
Q1003845,Frequency,,,,,,,,,,,frequency,https://ncatlab.org/nlab/show/frequency,,
Q100528826,Order,,,,,,,,,,,order,https://ncatlab.org/nlab/show/order,,
Q1006032,discrete Fourier transform,,,,,,,,,,,discrete Fourier transform,https://ncatlab.org/nlab/show/discrete+Fourier+transform,discrete Fourier transform,http://planetmath.org/discretefouriertransform
Q1006450,reductive group,,,,,,,,,,,reductive algebraic group,https://ncatlab.org/nlab/show/reductive+algebraic+group,,
Q100724914,Dual,,,,,,,,,,,dual,https://ncatlab.org/nlab/show/dual,,
Q100742605,Plateau,,,,,,,,,,,,,plateau,http://planetmath.org/plateau
Q1008566,Gauss–Lucas theorem,,,,,,,,,,,,,Gauss–Lucas theorem,http://planetmath.org/gausslucastheorem
Q100908080,SP.1,,,,,,,,,,,Sp(n).Sp(1),https://ncatlab.org/nlab/show/Sp%28n%29.Sp%281%29,,
Q100964853,Intersection,intersection,https://arxiv.org/pdf/1612.09375#page=118,,,,,intersection,https://emilyriehl.github.io/files/context.pdf#page=168,,,intersection,https://ncatlab.org/nlab/show/intersection,intersection,http://planetmath.org/intersection
Q100981463,de Broglie wavelength,,,,,,,,,,,de Broglie wavelength,https://ncatlab.org/nlab/show/de+Broglie+wavelength,,
Q1010269,Burali-Forti paradox,,,,,,,,,,,Burali-Forti's paradox,https://ncatlab.org/nlab/show/Burali-Forti%27s+paradox,Burali-Forti paradox,http://planetmath.org/buralifortiparadox
Q101072,definition,,,,,,,,,,,definition,https://ncatlab.org/nlab/show/definition,definition,http://planetmath.org/definition
Q1012612,Iwahori–Hecke algebra,,,,,,,,,,,Iwahori–Hecke algebra,https://ncatlab.org/nlab/show/Iwahori%E2%80%93Hecke+algebra,,
Q1014065,Hadamard transform,,,,,,,,,,,Hadamard gate,https://ncatlab.org/nlab/show/Hadamard+gate,,
Q1014491,prime knot,,,,,,,,,,,prime knot,https://ncatlab.org/nlab/show/prime+knot,prime knot,http://planetmath.org/primeknot
Q1014612,Parallelizable,,,,,,,,,,,framed manifold,https://ncatlab.org/nlab/show/framed+manifold,,
Q1014869,mapping cylinder,,,,,,,,,,,mapping telescope,https://ncatlab.org/nlab/show/mapping+telescope,,
Q1014878,Tautological one-form,,,,,,,,,,,,,Poincaré 1-form,http://planetmath.org/poincare1form
Q101667,Hadron,,,,,,,,,,,hadron,https://ncatlab.org/nlab/show/hadron,,
