Wikidata ID,Wikidata Label,BCT Name,BCT Link,Chicago Name,Chicago Link,Clowder Name,Clowder Link,Context Name,Context Link,Mathlib Name,Mathlib Link,nLab Name,nLab Link,PlanetMath Name,PlanetMath Link,Wikipedia Link
Q1000116,Axiom of countable choice,,,,,,,,,,,countable choice,https://ncatlab.org/nlab/show/countable+choice,axiom of countable choice,http://planetmath.org/axiomofcountablechoice,https://en.wikipedia.org/wiki/Axiom%20of%20countable%20choice
Q1000120,Maximal torus,,,,,,,,,,,maximal torus,https://ncatlab.org/nlab/show/maximal+torus,maximal torus,http://planetmath.org/maximaltorus,https://en.wikipedia.org/wiki/Maximal%20torus
Q1000660,Algebra over a field,,,algebra over a field,https://mathgloss.github.io/MathGloss/chicago/algebra_over_a_field,,,homomorphism of algebras,https://emilyriehl.github.io/files/context.pdf#page=180,,,,,algebras,http://planetmath.org/algebras,https://en.wikipedia.org/wiki/Algebra%20over%20a%20field
Q1003025,Formal power series,,,,,,,,,,,,,formal power series,http://planetmath.org/formalpowerseries,https://en.wikipedia.org/wiki/Formal%20power%20series
Q1003136,Forcing (mathematics),,,,,,,,,,,forcing,https://ncatlab.org/nlab/show/forcing,forcing relation,http://planetmath.org/forcingrelation,https://en.wikipedia.org/wiki/Forcing%20%28mathematics%29
Q1003162,Simple Lie group,,,,,,,,,,,simple Lie group,https://ncatlab.org/nlab/show/simple+Lie+group,,,https://en.wikipedia.org/wiki/Simple%20Lie%20group
Q1003225,Measure-preserving dynamical system,,,,,,,,,,,,,metric entropy,http://planetmath.org/metricentropy,https://en.wikipedia.org/wiki/Measure-preserving%20dynamical%20system
Q1006450,Semisimple group,,,,,,,,,,,split reductive group,https://ncatlab.org/nlab/show/split+reductive+group,semisimple group,http://planetmath.org/semisimplegroup,https://en.wikipedia.org/wiki/Reductive%20group
Q1008566,Gauss–Lucas theorem,,,,,,,,,,,,,Gauss–Lucas theorem,http://planetmath.org/gausslucastheorem,https://en.wikipedia.org/wiki/Gauss%E2%80%93Lucas%20theorem
Q1010269,Burali-Forti paradox,,,,,,,,,,,Burali-Forti's paradox,https://ncatlab.org/nlab/show/Burali-Forti%27s+paradox,Burali-Forti paradox,http://planetmath.org/buralifortiparadox,https://en.wikipedia.org/wiki/Burali-Forti%20paradox
Q101072,DefinitioN,,,,,,,,,,,definition,https://ncatlab.org/nlab/show/definition,definition,http://planetmath.org/definition,https://en.wikipedia.org/wiki/Definition
Q1012612,Iwahori–Hecke algebra,,,,,,,,,,,Iwahori–Hecke algebra,https://ncatlab.org/nlab/show/Iwahori%E2%80%93Hecke+algebra,,,https://en.wikipedia.org/wiki/Iwahori%E2%80%93Hecke%20algebra
Q1014065,Hadamard transform,,,,,,,,,,,Hadamard gate,https://ncatlab.org/nlab/show/Hadamard+gate,,,https://en.wikipedia.org/wiki/Hadamard%20transform
Q1014491,Prime knot,,,,,,,,,,,prime knot,https://ncatlab.org/nlab/show/prime+knot,prime knot,http://planetmath.org/primeknot,https://en.wikipedia.org/wiki/Prime%20knot
Q1014612,Parallelizable,,,,,,,,,,,framed manifold,https://ncatlab.org/nlab/show/framed+manifold,,,https://en.wikipedia.org/wiki/Parallelizable%20manifold
Q1014869,Mapping cylinder,,,,,,,,,,,mapping telescope,https://ncatlab.org/nlab/show/mapping+telescope,,,https://en.wikipedia.org/wiki/Mapping%20cylinder
Q1014878,Tautological one-form,,,,,,,,,,,,,Poincaré 1-form,http://planetmath.org/poincare1form,https://en.wikipedia.org/wiki/Tautological%20one-form
Q101667,Hadron,,,,,,,,,,,hadron,https://ncatlab.org/nlab/show/hadron,,,https://en.wikipedia.org/wiki/Hadron
Q10167591,Initial value problem,,,,,,,,,,,initial value problem,https://ncatlab.org/nlab/show/initial+value+problem,initial value problem,http://planetmath.org/initialvalueproblem,https://en.wikipedia.org/wiki/Initial%20value%20problem
Q1017106,Adjoint representation,,,adjoint representation of a Lie group,https://mathgloss.github.io/MathGloss/chicago/adjoint_representation_of_a_lie_group,,,,,,,adjoint representation,https://ncatlab.org/nlab/show/adjoint+representation,adjoint representation,http://planetmath.org/adjointrepresentation,https://en.wikipedia.org/wiki/Adjoint%20representation
Q1017231,Elementary abelian group,,,elementary abelian p-group,https://mathgloss.github.io/MathGloss/chicago/elementary_abelian_p-group,,,,,,,,,elementary abelian group,http://planetmath.org/elementaryabeliangroup,https://en.wikipedia.org/wiki/Elementary%20abelian%20group
Q1017274,Difference of two squares,,,,,,,,,,,,,difference of squares,http://planetmath.org/differenceofsquares,https://en.wikipedia.org/wiki/Difference%20of%20two%20squares
Q1020771,Bundle gerbe,,,,,,,,,,,bundle gerbe,https://ncatlab.org/nlab/show/bundle+gerbe,,,https://en.wikipedia.org/wiki/Bundle%20gerbe
Q102165,Nucleon,,,,,,,,,,,nucleon,https://ncatlab.org/nlab/show/nucleon,,,https://en.wikipedia.org/wiki/Nucleon
Q102441924,Scale factor,,,,,,,,,,,scale,https://ncatlab.org/nlab/show/scale,,,https://en.wikipedia.org/wiki/Scaling%20%28geometry%29
Q1025768,Cahiers de doléances,,,,,,,,,,,Cahiers,https://ncatlab.org/nlab/show/Cahiers,,,https://en.wikipedia.org/wiki/Cahiers%20de%20dol%C3%A9ances
Q10260753,,,,topological field,https://mathgloss.github.io/MathGloss/chicago/topological_field,,,,,,,,,,,https://en.wikipedia.org/wiki/Topological%20field
Q1027067,Calkin algebra,,,,,,,,,,,Calkin algebra,https://ncatlab.org/nlab/show/Calkin+algebra,,,https://en.wikipedia.org/wiki/Calkin%20algebra
Q102742,Meson,,,,,,,,,,,meson,https://ncatlab.org/nlab/show/meson,,,https://en.wikipedia.org/wiki/Meson
Q102761,Lowest common multiple,lowest common multiple,https://arxiv.org/pdf/1612.09375#page=136,,,,,,,least common multiple,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/GCDMonoid/Basic.html#GCDMonoid.lcm,least common multiple,https://ncatlab.org/nlab/show/least+common+multiple,least common multiple,http://planetmath.org/leastcommonmultiple,https://en.wikipedia.org/wiki/Least%20common%20multiple
Q1028209,Deutsch–Jozsa algorithm,,,,,,,,,,,Deutsch-Jozsa algorithm,https://ncatlab.org/nlab/show/Deutsch-Jozsa+algorithm,,,https://en.wikipedia.org/wiki/Deutsch%E2%80%93Jozsa%20algorithm
Q1028292,Grover's algorithm,,,,,,,,,,,Grover's algorithm,https://ncatlab.org/nlab/show/Grover%27s+algorithm,,,https://en.wikipedia.org/wiki/Grover%27s%20algorithm
Q10286397,Kuratowski closure axioms,,,,,,,,,,,,,closure axioms,http://planetmath.org/closureaxioms,https://en.wikipedia.org/wiki/Kuratowski%20closure%20axioms
Q10289,Barrels,,,,,,,,,,,,,barrel,http://planetmath.org/barrel,https://en.wikipedia.org/wiki/Barrel
Q10290214,Event (probability theory),,,,,,,,,,,,,random event,http://planetmath.org/randomevent,https://en.wikipedia.org/wiki/Event%20%28probability%20theory%29
Q10292020,Linearly ordered group,,,,,,,,,,,totally ordered abelian group,https://ncatlab.org/nlab/show/totally+ordered+abelian+group,,,https://en.wikipedia.org/wiki/Linearly%20ordered%20group
Q1032070,Coherent state,,,,,,,,,,,coherent state,https://ncatlab.org/nlab/show/coherent+state,,,https://en.wikipedia.org/wiki/Coherent%20state
Q1032886,Hales–Jewett theorem,,,,,,,,,Hales-Jewett theorem,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Combinatorics/HalesJewett.html#Combinatorics.Line.exists_mono_in_high_dimension,,,,,https://en.wikipedia.org/wiki/Hales%E2%80%93Jewett%20theorem
Q1033772,Happy ending problem,,,,,,,,,,,,,happy ending problem,http://planetmath.org/happyendingproblem,https://en.wikipedia.org/wiki/Happy%20ending%20problem
Q1033906,Pairing function,,,,,,,,,,,,,pairing function,http://planetmath.org/pairingfunction,https://en.wikipedia.org/wiki/Pairing%20function
Q1033910,Schroeder-Bernstein theorem,,,,,,,,,,,Cantor-Schroeder-Bernstein theorem,https://ncatlab.org/nlab/show/Cantor-Schroeder-Bernstein+theorem,Schröder-Bernstein theorem,http://planetmath.org/schroderbernsteintheorem,https://en.wikipedia.org/wiki/Schr%C3%B6der%E2%80%93Bernstein%20theorem
Q1033930,Psychopathy Checklist,,,,,,,,,,,,,p test,http://planetmath.org/ptest,https://en.wikipedia.org/wiki/Psychopathy%20Checklist
Q1034411,Efficiency,,,,,,,,,,,,,efficiency,http://planetmath.org/efficiency,https://en.wikipedia.org/wiki/Efficiency
Q103517,Alpha ray,,,,,,,,,,,alpha particle,https://ncatlab.org/nlab/show/alpha+particle,,,https://en.wikipedia.org/wiki/Alpha%20particle
