title,link
00ispossibleandhasananswer,http://planetmath.org/00ispossibleandhasananswer
0ne1asrealnumbers,http://planetmath.org/0ne1asrealnumbers
1011limitsandcolimits,http://planetmath.org/1011limitsandcolimits
1012images,http://planetmath.org/1012images
1013quotients,http://planetmath.org/1013quotients
1014setisapimathsfwpretopos,http://planetmath.org/1014setisapimathsfwpretopos
1015theaxiomofchoiceimpliesexcludedmiddle,http://planetmath.org/1015theaxiomofchoiceimpliesexcludedmiddle
101thecategoryofsets,http://planetmath.org/101thecategoryofsets
102cardinalnumbers,http://planetmath.org/102cardinalnumbers
103ordinalnumbers,http://planetmath.org/103ordinalnumbers
104classicalwellorderings,http://planetmath.org/104classicalwellorderings
105thecumulativehierarchy,http://planetmath.org/105thecumulativehierarchy
10settheory,http://planetmath.org/10settheory
110patternmatchingandrecursion,http://planetmath.org/110patternmatchingandrecursion
111propositionsastypes,http://planetmath.org/111propositionsastypes
111thefieldofrationalnumbers,http://planetmath.org/111thefieldofrationalnumbers
1121pathinduction,http://planetmath.org/1121pathinduction
1121thealgebraicstructureofdedekindreals,http://planetmath.org/1121thealgebraicstructureofdedekindreals
1122dedekindrealsarecauchycomplete,http://planetmath.org/1122dedekindrealsarecauchycomplete
1122equivalenceofpathinductionandbasedpathinduction,http://planetmath.org/1122equivalenceofpathinductionandbasedpathinduction
1123dedekindrealsarededekindcomplete,http://planetmath.org/1123dedekindrealsarededekindcomplete
1123disequality,http://planetmath.org/1123disequality
112dedekindreals,http://planetmath.org/112dedekindreals
112identitytypes,http://planetmath.org/112identitytypes
1131constructionofcauchyreals,http://planetmath.org/1131constructionofcauchyreals
1132inductionandrecursiononcauchyreals,http://planetmath.org/1132inductionandrecursiononcauchyreals
1133thealgebraicstructureofcauchyreals,http://planetmath.org/1133thealgebraicstructureofcauchyreals
1134cauchyrealsarecauchycomplete,http://planetmath.org/1134cauchyrealsarecauchycomplete
113cauchyreals,http://planetmath.org/113cauchyreals
114comparisonofcauchyanddedekindreals,http://planetmath.org/114comparisonofcauchyanddedekindreals
115compactnessoftheinterval,http://planetmath.org/115compactnessoftheinterval
116thesurrealnumbers,http://planetmath.org/116thesurrealnumbers
11nnisanincreasingsequence,http://planetmath.org/11nnisanincreasingsequence
11realnumbers,http://planetmath.org/11realnumbers
11typetheoryversussettheory,http://planetmath.org/11typetheoryversussettheory
12functiontypes,http://planetmath.org/12functiontypes
13universesandfamilies,http://planetmath.org/13universesandfamilies
14dependentfunctiontypes,http://planetmath.org/14dependentfunctiontypes
15producttypes,http://planetmath.org/15producttypes
15puzzle,http://planetmath.org/15puzzle
16dependentpairtypes,http://planetmath.org/16dependentpairtypes
17coproducttypes,http://planetmath.org/17coproducttypes
18thetypeofbooleans,http://planetmath.org/18thetypeofbooleans
196sreverseandaddsequenceto1000terms,http://planetmath.org/196sreverseandaddsequenceto1000terms
19thenaturalnumbers,http://planetmath.org/19thenaturalnumbers
1fracalphannismonotoneforlargen,http://planetmath.org/1fracalphannismonotoneforlargen
1introduction,http://planetmath.org/1introduction
210universesandtheunivalenceaxiom,http://planetmath.org/210universesandtheunivalenceaxiom
211identitytype,http://planetmath.org/211identitytype
212coproducts,http://planetmath.org/212coproducts
213naturalnumbers,http://planetmath.org/213naturalnumbers
2141liftingequivalences,http://planetmath.org/2141liftingequivalences
2142equalityofsemigroups,http://planetmath.org/2142equalityofsemigroups
214exampleequalityofstructures,http://planetmath.org/214exampleequalityofstructures
215universalproperties,http://planetmath.org/215universalproperties
21typesarehighergroupoids,http://planetmath.org/21typesarehighergroupoids
22functionsarefunctors,http://planetmath.org/22functionsarefunctors
23tree,http://planetmath.org/23tree
23typefamiliesarefibrations,http://planetmath.org/23typefamiliesarefibrations
24homotopiesandequivalences,http://planetmath.org/24homotopiesandequivalences
25thehighergroupoidstructureoftypeformers,http://planetmath.org/25thehighergroupoidstructureoftypeformers
26cartesianproducttypes,http://planetmath.org/26cartesianproducttypes
27sigmatypes,http://planetmath.org/27sigmatypes
28theunittype,http://planetmath.org/28theunittype
29pitypesandthefunctionextensionalityaxiom,http://planetmath.org/29pitypesandthefunctionextensionalityaxiom
2groupoid,http://planetmath.org/2groupoid
2homotopytypetheory,http://planetmath.org/2homotopytypetheory
2omeganletaunle2omegan,http://planetmath.org/2omeganletaunle2omegan
2stochasticmaps,http://planetmath.org/2stochasticmaps
310whenarepropositionstruncated,http://planetmath.org/310whenarepropositionstruncated
311contractibility,http://planetmath.org/311contractibility
31setsandntypes,http://planetmath.org/31setsandntypes
32propositionsastypes,http://planetmath.org/32propositionsastypes
33merepropositions,http://planetmath.org/33merepropositions
34classicalvsintuitionisticlogic,http://planetmath.org/34classicalvsintuitionisticlogic
35subsetsandpropositionalresizing,http://planetmath.org/35subsetsandpropositionalresizing
36thelogicofmerepropositions,http://planetmath.org/36thelogicofmerepropositions
37propositionaltruncation,http://planetmath.org/37propositionaltruncation
38theaxiomofchoice,http://planetmath.org/38theaxiomofchoice
39theprincipleofuniquechoice,http://planetmath.org/39theprincipleofuniquechoice
3distributeddynamicalsystems,http://planetmath.org/3distributeddynamicalsystems
3manifold,http://planetmath.org/3manifold
3manifold1,http://planetmath.org/3manifold1
41quasiinverses,http://planetmath.org/41quasiinverses
42halfadjointequivalences,http://planetmath.org/42halfadjointequivalences
43biinvertiblemaps,http://planetmath.org/43biinvertiblemaps
44contractiblefibers,http://planetmath.org/44contractiblefibers
45onthedefinitionofequivalences,http://planetmath.org/45onthedefinitionofequivalences
46surjectionsandembeddings,http://planetmath.org/46surjectionsandembeddings
47closurepropertiesofequivalences,http://planetmath.org/47closurepropertiesofequivalences
48theobjectclassifier,http://planetmath.org/48theobjectclassifier
49univalenceimpliesfunctionextensionality,http://planetmath.org/49univalenceimpliesfunctionextensionality
4equivalences,http://planetmath.org/4equivalences
4measurement,http://planetmath.org/4measurement
4surfacebundles,http://planetmath.org/4surfacebundles
51introductiontoinductivetypes,http://planetmath.org/51introductiontoinductivetypes
52uniquenessofinductivetypes,http://planetmath.org/52uniquenessofinductivetypes
53wtypes,http://planetmath.org/53wtypes
54inductivetypesareinitialalgebras,http://planetmath.org/54inductivetypesareinitialalgebras
55homotopyinductivetypes,http://planetmath.org/55homotopyinductivetypes
56thegeneralsyntaxofinductivedefinitions,http://planetmath.org/56thegeneralsyntaxofinductivedefinitions
57generalizationsofinductivetypes,http://planetmath.org/57generalizationsofinductivetypes
58identitytypesandidentitysystems,http://planetmath.org/58identitytypesandidentitysystems
5entanglement,http://planetmath.org/5entanglement
5induction,http://planetmath.org/5induction
610quotients,http://planetmath.org/610quotients
611algebra,http://planetmath.org/611algebra
612theflatteninglemma,http://planetmath.org/612theflatteninglemma
613thegeneralsyntaxofhigherinductivedefinitions,http://planetmath.org/613thegeneralsyntaxofhigherinductivedefinitions
61introduction,http://planetmath.org/61introduction
62inductionprinciplesanddependentpaths,http://planetmath.org/62inductionprinciplesanddependentpaths
63theinterval,http://planetmath.org/63theinterval
64circlesandspheres,http://planetmath.org/64circlesandspheres
65suspensions,http://planetmath.org/65suspensions
66cellcomplexes,http://planetmath.org/66cellcomplexes
67hubsandspokes,http://planetmath.org/67hubsandspokes
68pushouts,http://planetmath.org/68pushouts
69truncations,http://planetmath.org/69truncations
6discussion,http://planetmath.org/6discussion
6jrepresentationin3dingrafix,http://planetmath.org/6jrepresentationin3dingrafix
71definitionofntypes,http://planetmath.org/71definitionofntypes
72uniquenessofidentityproofsandhedbergstheorem,http://planetmath.org/72uniquenessofidentityproofsandhedbergstheorem
73truncations,http://planetmath.org/73truncations
74colimitsofntypes,http://planetmath.org/74colimitsofntypes
75connectedness,http://planetmath.org/75connectedness
76orthogonalfactorization,http://planetmath.org/76orthogonalfactorization
77modalities,http://planetmath.org/77modalities
7homotopyntypes,http://planetmath.org/7homotopyntypes
810additionalresults,http://planetmath.org/810additionalresults
811gettingstarted,http://planetmath.org/811gettingstarted
812theclassicalproof,http://planetmath.org/812theclassicalproof
813theuniversalcoverintypetheory,http://planetmath.org/813theuniversalcoverintypetheory
814theencodedecodeproof,http://planetmath.org/814theencodedecodeproof
815thehomotopytheoreticproof,http://planetmath.org/815thehomotopytheoreticproof
816theuniversalcoverasanidentitysystem,http://planetmath.org/816theuniversalcoverasanidentitysystem
81pi1s1,http://planetmath.org/81pi1s1
82connectednessofsuspensions,http://planetmath.org/82connectednessofsuspensions
83piklenofannconnectedspaceandpiknsn,http://planetmath.org/83piklenofannconnectedspaceandpiknsn
84fibersequencesandthelongexactsequence,http://planetmath.org/84fibersequencesandthelongexactsequence
851fibrationsoverpushouts,http://planetmath.org/851fibrationsoverpushouts
852thehopfconstruction,http://planetmath.org/852thehopfconstruction
853thehopffibration,http://planetmath.org/853thehopffibration
85thehopffibration,http://planetmath.org/85thehopffibration
86thefreudenthalsuspensiontheorem,http://planetmath.org/86thefreudenthalsuspensiontheorem
871naivevankampen,http://planetmath.org/871naivevankampen
872thevankampentheoremwithasetofbasepoints,http://planetmath.org/872thevankampentheoremwithasetofbasepoints
87thevankampentheorem,http://planetmath.org/87thevankampentheorem
88whiteheadstheoremandwhiteheadsprinciple,http://planetmath.org/88whiteheadstheoremandwhiteheadsprinciple
89ageneralstatementoftheencodedecodemethod,http://planetmath.org/89ageneralstatementoftheencodedecodemethod
8homotopytheory,http://planetmath.org/8homotopytheory
91categoriesandprecategories,http://planetmath.org/91categoriesandprecategories
92functorsandtransformations,http://planetmath.org/92functorsandtransformations
93adjunctions,http://planetmath.org/93adjunctions
94equivalences,http://planetmath.org/94equivalences
95theyonedalemma,http://planetmath.org/95theyonedalemma
96strictcategories,http://planetmath.org/96strictcategories
97daggercategories,http://planetmath.org/97daggercategories
98thestructureidentityprinciple,http://planetmath.org/98thestructureidentityprinciple
99therezkcompletion,http://planetmath.org/99therezkcompletion
9categorytheory,http://planetmath.org/9categorytheory
a0preliminaries,http://planetmath.org/a0preliminaries
a11typeuniverses,http://planetmath.org/a11typeuniverses
a12dependentfunctiontypespitypes,http://planetmath.org/a12dependentfunctiontypespitypes
a13dependentpairtypessigmatypes,http://planetmath.org/a13dependentpairtypessigmatypes
a14coproducttypes,http://planetmath.org/a14coproducttypes
a15thefinitetypes,http://planetmath.org/a15thefinitetypes
a16naturalnumbers,http://planetmath.org/a16naturalnumbers
a17wtypes,http://planetmath.org/a17wtypes
a18identitytypes,http://planetmath.org/a18identitytypes
a1thefirstpresentation,http://planetmath.org/a1thefirstpresentation
a210identitytypes,http://planetmath.org/a210identitytypes
a211definitions,http://planetmath.org/a211definitions
a21contexts,http://planetmath.org/a21contexts
a23typeuniverses,http://planetmath.org/a23typeuniverses
a24dependentfunctiontypespitypes,http://planetmath.org/a24dependentfunctiontypespitypes
a25dependentpairtypessigmatypes,http://planetmath.org/a25dependentpairtypessigmatypes
