parent_qid,parent_label,child_qid,child_label,relation,confidence,source_url,target_url,context,model,cache_hit
Q1000660,Algebra over a field,Q125977,VectorSpaces,subclass_of,0.950,https://mathgloss.github.io/MathGloss/chicago/algebra_over_a_field,https://mathgloss.github.io/MathGloss/chicago/vector_space,An algebra over a field $F$ is a vector space $U$ over $F$ with a bilinear binary operation $U\times U \to U$ that is not necessarily [ass,deepseek-v3.1:671b-cloud,yes
Q1000660,Algebra over a field,,multilinear,has_property,0.850,https://mathgloss.github.io/MathGloss/chicago/algebra_over_a_field,https://mathgloss.github.io/MathGloss/chicago/multilinear,An algebra over a field $F$ is a vector space $U$ over $F$ with a bilinear binary operation $U\times U \to U$ that is not necessarily associative but that follows left,deepseek-v3.1:671b-cloud,yes
Q1000660,Algebra over a field,Q164307,BinaryOperation,has_part,0.930,https://mathgloss.github.io/MathGloss/chicago/algebra_over_a_field,https://mathgloss.github.io/MathGloss/chicago/binary_operation,athgloss.github.io/MathGloss/chicago/field)** $F$ is a vector space $U$ over $F$ with a bilinear binary operation $U\times U \to U$ that is not necessarily associative but that follows left and right [distributivity](https://mathgloss.github.io/MathGloss/chicago/distribut,deepseek-v3.1:671b-cloud,yes
Q1000660,Algebra over a field,Q177251,Associative property,has_property,0.850,https://mathgloss.github.io/MathGloss/chicago/algebra_over_a_field,https://mathgloss.github.io/MathGloss/chicago/associative,ace) $U$ over $F$ with a bilinear binary operation $U\times U \to U$ that is not necessarily associative but that follows left and right distributivity. One can loosen this definition and only require $F$ to be a [commutative](https://mathgloss.github.io/MathGl,deepseek-v3.1:671b-cloud,yes
Q1000660,Algebra over a field,,distributive,has_property,0.850,https://mathgloss.github.io/MathGloss/chicago/algebra_over_a_field,https://mathgloss.github.io/MathGloss/chicago/distributive,"eration](https://mathgloss.github.io/MathGloss/chicago/binary_operation) $U\times U \to U$ that is not necessarily associative but that follows left and right distributivity. One can loosen this definition and only require $F$ to be a commutative ring, but then you just get an",deepseek-v3.1:671b-cloud,yes
Q1017106,Adjoint representation,,adjoint_map_of_a_Lie_group,has_part,0.850,https://mathgloss.github.io/MathGloss/chicago/adjoint_representation_of_a_lie_group,https://mathgloss.github.io/MathGloss/chicago/adjoint_map_of_a_Lie_group,"github.io/MathGloss/chicago/Lie_group) with associated Lie algebra $\mathfrak g$. Then the adjoint map $\text{Ad}:G \to \text{GL}(\mathfrak g)$ is given by $$\text{Ad}_A(X) = AXA^{-1}.$$ Because the adjoint map is a Lie algebra homomorphism, it is a [representation](https://mathgloss.github.io/MathGloss/chicago/Lie_algeb",deepseek-v3.1:671b-cloud,yes
Q1017231,Elementary abelian group,,abelian,has_property,0.950,https://mathgloss.github.io/MathGloss/chicago/elementary_abelian_p-group,https://mathgloss.github.io/MathGloss/chicago/abelian,An elementary abelian $p$-group is an abelian group $G$ in which every nontrivial element has [order](https://mathgloss.github.io/MathGloss/chic,deepseek-v3.1:671b-cloud,yes
Q1017231,Elementary abelian group,Q83478,GrouP,subclass_of,0.950,https://mathgloss.github.io/MathGloss/chicago/elementary_abelian_p-group,https://mathgloss.github.io/MathGloss/chicago/group,An elementary abelian $p$-group is an abelian group $G$ in which every nontrivial element has order $p$ where $p$ is [prime](https:,deepseek-v3.1:671b-cloud,yes
Q10260753,Q10260753,Q190109,Field (mathematics),subclass_of,0.950,https://mathgloss.github.io/MathGloss/chicago/topological_field,https://mathgloss.github.io/MathGloss/chicago/field,A topological field is a field $F$ that is a topological ring and also whose inverse maps $F\times F^\times\to F$ for both [binary operations](https://mathgloss.github.io/MathGloss/chi,deepseek-v3.1:671b-cloud,yes
Q10260753,Q10260753,Q922339,Topological ring,subclass_of,0.950,https://mathgloss.github.io/MathGloss/chicago/topological_field,https://mathgloss.github.io/MathGloss/chicago/topological_ring,A topological field is a field $F$ that is a topological ring and also whose inverse maps $F\times F^\times\to F$ for both binary operations are also [continuous](https://mathgloss.github.io/MathGloss/chicago/contin,deepseek-v3.1:671b-cloud,yes
