source_id,source_label,property_id,property_label,target_id,target_label
Q102742,meson,P279,subclass of,Q101667,hadron
Q1014878,tautological one-form,P279,subclass of,Q1047080,differential form
Q102761,least common multiple,P279,subclass of,Q10855396,common multiple
Q101072,definition,P279,subclass of,Q108163,proposition
Q102742,meson,P1552,has characteristic,Q110346,baryon number
Q1003025,formal power series,P279,subclass of,Q11348,function
Q10273427,equation solvable by radicals,P279,subclass of,Q11345,equation
Q100981463,de Broglie wavelength,P1889,different from,Q1145377,Compton wavelength
Q102761,least common multiple,P31,instance of,Q11348,function
Q1014491,prime knot,P279,subclass of,Q1188853,knot
Q1020771,bundle gerbe,P279,subclass of,Q118705,gerbe
Q1027067,Calkin algebra,P2579,studied by,Q1198874,operator theory
Q1003136,forcing,P361,part of,Q12482,set theory
Q1000120,maximal torus,P279,subclass of,Q12510,torus
Q1000660,algebra over a field,P279,subclass of,Q125977,vector space
Q102761,least common multiple,P31,instance of,Q140744,arithmetic function
Q102742,meson,P156,followed by,Q159731,baryon
Q1003025,formal power series,P279,subclass of,Q170198,series
Q1025756,Cahen's constant,P31,instance of,Q173091,transcendental number
Q102761,least common multiple,P1568,definition domain,Q173740,Cartesian product
Q1000120,maximal torus,P279,subclass of,Q181296,abelian group
Q1014869,mapping cylinder,P279,subclass of,Q179899,topological space
Q1000116,axiom of countable choice,P279,subclass of,Q179692,axiom of choice
Q1008566,Gauss–Lucas theorem,P2283,uses,Q192760,fundamental theorem of algebra
Q1000660,algebra over a field,P279,subclass of,Q2030545,algebra over a ring
Q1000660,algebra over a field,P1889,different from,Q2030545,algebra over a ring
Q1008566,Gauss–Lucas theorem,P2579,studied by,Q193756,complex analysis
Q1003025,formal power series,P1889,different from,Q206925,power series
Q1008566,Gauss–Lucas theorem,P2384,statement describes,Q214604,zero of a function
Q1012612,Iwahori–Hecke algebra,P2579,studied by,Q217413,category theory
Q1003162,simple Lie group,P2579,studied by,Q217413,category theory
Q1000120,maximal torus,P2579,studied by,Q217413,category theory
Q1006450,reductive group,P2579,studied by,Q217413,category theory
Q1000660,algebra over a field,P2579,studied by,Q217413,category theory
Q102742,meson,P1889,different from,Q265326,diquark
Q1017231,elementary abelian group,P1889,different from,Q286972,𝑝-group
Q1014869,mapping cylinder,P1889,different from,Q3008657,cylinder
Q1017231,elementary abelian group,P279,subclass of,Q3117606,finite abelian group
Q1014869,mapping cylinder,P1889,different from,Q306560,mapping cone
Q1014612,parallelizable manifold,P279,subclass of,Q3552958,differentiable manifold
Q102165,nucleon,P361,part of,Q37147,atomic nucleus
Q102742,meson,P279,subclass of,Q43101,boson
Q10167591,initial value problem,P279,subclass of,Q465274,ordinary differential equation
Q1003225,measure-preserving dynamical system,P2579,studied by,Q5498822,ergodic theory
Q1003162,simple Lie group,P279,subclass of,Q622679,Lie group
Q1025756,Cahen's constant,P31,instance of,Q607728,irrational number
Q1008566,Gauss–Lucas theorem,P31,instance of,Q65943,theorem
Q1022961,Clifton–Bub–Halvorson theorem,P31,instance of,Q65943,theorem
Q1006450,reductive group,P279,subclass of,Q6553407,linear algebraic group
Q1006032,discrete Fourier transform,P279,subclass of,Q6520159,Fourier transform
Q1014491,prime knot,P461,opposite of,Q77345920,composite knot
Q101667,hadron,P2670,has part(s) of the class,Q842620,disjoint union
Q1027067,Calkin algebra,P31,instance of,Q806066,Banach algebra
