source_id,source_label,property_id,property_label,target_id,target_label,source_mathlib_link,target_mathlib_link,mathlib_path
Q111033323,Scheme,P279,subclass of,Q91438488,locally ringed space,https://leanprover-community.github.io/mathlib4_docs/Mathlib/AlgebraicGeometry/Scheme.html#AlgebraicGeometry.Scheme,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Geometry/RingedSpace/LocallyRingedSpace.html#AlgebraicGeometry.LocallyRingedSpace,AlgebraicGeometry.Scheme > LocallyRingedSpace
Q4736615,alternating multilinear map,P279,subclass of,Q1952404,multilinear map,https://leanprover-community.github.io/mathlib4_docs/Mathlib/LinearAlgebra/Alternating/Basic.html#AlternatingMap,https://leanprover-community.github.io/mathlib4_docs/Mathlib/LinearAlgebra/Multilinear/Basic.html#MultilinearMap,AlternatingMap > MultilinearMap
Q650741,division ring,P279,subclass of,Q161172,ring,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#DivisionRing,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Ring/Defs.html#Ring,DivisionRing > Ring
Q650741,division ring,P279,subclass of,Q208237,monoid,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#DivisionRing,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Defs.html#Monoid,DivisionRing > DivInvMonoid > Monoid
Q867345,Euclidean domain,P279,subclass of,Q161172,ring,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Ring/Defs.html#Ring,EuclideanDomain > CommRing > Ring
Q867345,Euclidean domain,P279,subclass of,Q208237,monoid,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Defs.html#Monoid,EuclideanDomain > CommRing > CommMonoid > Monoid
Q1172412,field,P279,subclass of,Q650741,division ring,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#DivisionRing,Field > DivisionRing
Q1172412,field,P279,subclass of,Q161172,ring,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Ring/Defs.html#Ring,Field > CommRing > Ring
Q1172412,field,P279,subclass of,Q208237,monoid,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Defs.html#Monoid,Field > CommRing > CommMonoid > Monoid
Q83478,group,P279,subclass of,Q208237,monoid,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Defs.html#Group,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Defs.html#Monoid,Group > DivInvMonoid > Monoid
Q1476663,irreducible polynomial,P279,subclass of,Q2989575,irreducible element,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Irreducible/Defs.html#Irreducible,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Irreducible/Defs.html#Irreducible,Irreducible (irreducible polynomial) > Irreducible (irreducible element)
Q4025690,Strictly positive measure,P279,subclass of,Q258374,outer measure,https://leanprover-community.github.io/mathlib4_docs/Mathlib/MeasureTheory/Measure/MeasureSpaceDef.html#MeasureTheory.Measure,https://leanprover-community.github.io/mathlib4_docs/MeasureTheory/OuterMeasure/Defs.html#OuterMeasure,MeasureTheory.Measure > OuterMeasure
Q125977,vector space,P279,subclass of,Q18848,Module (algebra),https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Module/Defs.html#Module,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Module/Defs.html#Module,Module (vector space) > Module (Module (algebra))
Q125977,vector space,P279,subclass of,Q288465,group action,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Module/Defs.html#Module,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Action/Defs.html#MulAction,Module > DistribMulAction > MulAction
Q18848,Module (algebra),P279,subclass of,Q288465,group action,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Module/Defs.html#Module,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Action/Defs.html#MulAction,Module > DistribMulAction > MulAction
Q208237,monoid,P279,subclass of,Q207348,semigroup,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Defs.html#Monoid,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Defs.html#Semigroup,Monoid > Semigroup
Q3782642,ordered ring,P279,subclass of,Q161172,ring,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Order/Ring/Defs.html#OrderedRing,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Ring/Defs.html#Ring,OrderedRing > Ring
Q3782642,ordered ring,P279,subclass of,Q1425985,Preorder,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Order/Ring/Defs.html#OrderedRing,https://leanprover-community.github.io/mathlib4_docs/Order/Defs/PartialOrder.html#Preorder,OrderedRing > OrderedAddCommGroup > PartialOrder > Preorder
