Child Lean,Child Label,Child Wikidata ID,Child Mathlib Link,Parent Lean,Parent Label,Parent Wikidata ID,Parent Mathlib Link,Depth,Path
AddTorsor,affine space,Q382698,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/AddTorsor/Defs.html#AddTorsor,AddAction,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Action/Defs.html#AddAction,1,AddTorsor > AddAction
AddTorsor,affine space,Q382698,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/AddTorsor/Defs.html#AddTorsor,VSub,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Notation/Defs.html#VSub,1,AddTorsor > VSub
AddTorsor,affine space,Q382698,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/AddTorsor/Defs.html#AddTorsor,VAdd,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Notation/Defs.html#VAdd,2,AddTorsor > AddAction > VAdd
Algebra,algebra over a ring,Q2030545,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Algebra/Defs.html#Algebra,SMul,,,,1,Algebra > SMul
AlgebraicGeometry.LocallyRingedSpace,locally ringed space,Q91438488,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Geometry/RingedSpace/LocallyRingedSpace.html#AlgebraicGeometry.LocallyRingedSpace,SheafedSpace,,,https://leanprover-community.github.io/mathlib4_docs/Geometry/RingedSpace/SheafedSpace.html#SheafedSpace,1,AlgebraicGeometry.LocallyRingedSpace > SheafedSpace
AlgebraicGeometry.LocallyRingedSpace,locally ringed space,Q91438488,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Geometry/RingedSpace/LocallyRingedSpace.html#AlgebraicGeometry.LocallyRingedSpace,PresheafedSpace,,,https://leanprover-community.github.io/mathlib4_docs/Geometry/RingedSpace/PresheafedSpace.html#PresheafedSpace,2,AlgebraicGeometry.LocallyRingedSpace > SheafedSpace > PresheafedSpace
AlgebraicGeometry.Scheme,Scheme,Q111033323,https://leanprover-community.github.io/mathlib4_docs/Mathlib/AlgebraicGeometry/Scheme.html#AlgebraicGeometry.Scheme,LocallyRingedSpace,locally ringed space,Q91438488,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Geometry/RingedSpace/LocallyRingedSpace.html#AlgebraicGeometry.LocallyRingedSpace,1,AlgebraicGeometry.Scheme > LocallyRingedSpace
AlgebraicGeometry.Scheme,Scheme,Q111033323,https://leanprover-community.github.io/mathlib4_docs/Mathlib/AlgebraicGeometry/Scheme.html#AlgebraicGeometry.Scheme,SheafedSpace,,,https://leanprover-community.github.io/mathlib4_docs/Geometry/RingedSpace/SheafedSpace.html#SheafedSpace,2,AlgebraicGeometry.Scheme > LocallyRingedSpace > SheafedSpace
AlgebraicGeometry.Scheme,Scheme,Q111033323,https://leanprover-community.github.io/mathlib4_docs/Mathlib/AlgebraicGeometry/Scheme.html#AlgebraicGeometry.Scheme,PresheafedSpace,,,https://leanprover-community.github.io/mathlib4_docs/Geometry/RingedSpace/PresheafedSpace.html#PresheafedSpace,3,AlgebraicGeometry.Scheme > LocallyRingedSpace > SheafedSpace > PresheafedSpace
AlternatingMap,alternating multilinear map,Q4736615,https://leanprover-community.github.io/mathlib4_docs/Mathlib/LinearAlgebra/Alternating/Basic.html#AlternatingMap,MultilinearMap,multilinear map,Q1952404,https://leanprover-community.github.io/mathlib4_docs/Mathlib/LinearAlgebra/Multilinear/Basic.html#MultilinearMap,1,AlternatingMap > MultilinearMap
CategoryTheory.Abelian,abelian category,Q318737,https://leanprover-community.github.io/mathlib4_docs/Mathlib/CategoryTheory/Abelian/Basic.html#CategoryTheory.Abelian,IsNormalEpiCategory,,,https://leanprover-community.github.io/mathlib4_docs/CategoryTheory/Limits/Shapes/NormalMono/Basic.html#IsNormalEpiCategory,1,CategoryTheory.Abelian > IsNormalEpiCategory
CategoryTheory.Abelian,abelian category,Q318737,https://leanprover-community.github.io/mathlib4_docs/Mathlib/CategoryTheory/Abelian/Basic.html#CategoryTheory.Abelian,IsNormalMonoCategory,,,https://leanprover-community.github.io/mathlib4_docs/CategoryTheory/Limits/Shapes/NormalMono/Basic.html#IsNormalMonoCategory,1,CategoryTheory.Abelian > IsNormalMonoCategory
CategoryTheory.Abelian,abelian category,Q318737,https://leanprover-community.github.io/mathlib4_docs/Mathlib/CategoryTheory/Abelian/Basic.html#CategoryTheory.Abelian,Preadditive,,,https://leanprover-community.github.io/mathlib4_docs/CategoryTheory/Preadditive/Basic.html#Preadditive,1,CategoryTheory.Abelian > Preadditive
CategoryTheory.Category,category,Q719395,https://leanprover-community.github.io/mathlib4_docs/Mathlib/CategoryTheory/Category/Basic.html#CategoryTheory.Category,CategoryStruct.,,,,1,CategoryTheory.Category > CategoryStruct.
CategoryTheory.Monad,monad,Q1579914,https://leanprover-community.github.io/mathlib4_docs/Mathlib/CategoryTheory/Monad/Basic.html#CategoryTheory.Monad,C,,,,1,CategoryTheory.Monad > C
CategoryTheory.MonoidalCategory,Monoidal category,Q1945014,https://leanprover-community.github.io/mathlib4_docs/Mathlib/CategoryTheory/Monoidal/Category.html#CategoryTheory.MonoidalCategory,MonoidalCategoryStruct,,,https://leanprover-community.github.io/mathlib4_docs/CategoryTheory/Monoidal/Category.html#MonoidalCategoryStruct,1,CategoryTheory.MonoidalCategory > MonoidalCategoryStruct
