parent_qid,parent_label,child_qid,child_label,relation,confidence,source_url,target_url,context,model,rationale,cache_hit,raw_response
Q8078429,etale cohomology,Q7980184,Weil cohomology theory,instance_of,0.850,https://ncatlab.org/nlab/show/%E2%84%93-adic+cohomology,https://ncatlab.org/nlab/show/Weil+cohomology+theory,c} ## Idea $\ell$-Adic cohomology is a cohomology theory on suitable varieties which is constructed as an inverse limit of étale cohomology over different coefficients. $\ell$-Adic cohomology is a Weil cohomology theory. It is endowed with a Galois action and therefore gives us a way of obtaining Galois modules from algebraic varieties. ## Definition ### Over the &#233;tale site {#OverEtaleSite} Let $X$ be a (smooth?) [[pro,deepseek-v3.1:671b-cloud,,no,
Q8078429,etale cohomology,Q1090009,proper map,no_relation,0.500,https://ncatlab.org/nlab/show/%E2%84%93-adic+cohomology,https://ncatlab.org/nlab/show/proper+map,ory]]. It is endowed with a Galois action and therefore gives us a way of obtaining Galois modules from algebraic varieties. ## Definition ### Over the &#233;tale site {#OverEtaleSite} Let $X$ be a (smooth?) proper variety over a field. Fix $\ell$ a prime number different from the characteristic of $k$. The $\ell$-adic cohomology is defined to be the cohomology theory on the étale site given by the [[inverse li,deepseek-v3.1:671b-cloud,,no,
Q8078429,etale cohomology,Q21647271,Variety,no_relation,0.750,https://ncatlab.org/nlab/show/%E2%84%93-adic+cohomology,https://ncatlab.org/nlab/show/variety,ith a Galois action and therefore gives us a way of obtaining Galois modules from algebraic varieties. ## Definition ### Over the &#233;tale site {#OverEtaleSite} Let $X$ be a (smooth?) proper variety over a field. Fix $\ell$ a prime number different from the characteristic of $k$. The $\ell$-adic cohomology is defined to be the cohomology theory on the étale site given by the inverse limit over $,deepseek-v3.1:671b-cloud,,no,
Q8078429,etale cohomology,Q49008,Prime number,no_relation,0.700,https://ncatlab.org/nlab/show/%E2%84%93-adic+cohomology,https://ncatlab.org/nlab/show/prime+number,us a way of obtaining Galois modules from algebraic varieties. ## Definition ### Over the &#233;tale site {#OverEtaleSite} Let $X$ be a (smooth?) proper variety over a field. Fix $\ell$ a prime number different from the characteristic of $k$. The $\ell$-adic cohomology is defined to be the cohomology theory on the étale site given by the inverse limit over $n \in \mathbb{N}$ $$ H^j_{et}(X_{\overlin,deepseek-v3.1:671b-cloud,,no,
Q8078429,etale cohomology,Q8078427,Étale topology,has_part,0.850,https://ncatlab.org/nlab/show/%E2%84%93-adic+cohomology,https://ncatlab.org/nlab/show/%C3%A9tale+site,"([web] (http://www.jmilne.org/math/CourseNotes/lec.html)) Surveys include [Akhil Mathew]], _$l$-adic cohomology and exponential sums_ ([web) A variant of the étale site, well adapted to the needs of $\ell$-adic cohomology, the _pro-étale site_ (locally contractible in some sense) is discussed in Bhargav Bhatt, Peter Scholze, _The pro-&#233;tale topology for schemes_ ([arXiv",deepseek-v3.1:671b-cloud,,yes,
Q8078429,etale cohomology,Q1172412,field,no_relation,0.700,https://ncatlab.org/nlab/show/%E2%84%93-adic+cohomology,https://ncatlab.org/nlab/show/field,"ell^n\mathbb{Z})\otimes_{\mathbb{Z}_{\ell}} \mathbb{Q}_\ell $$ of étale cohomology with coefficients in $\mathbb{Z}/\ell^n\mathbb{Z}$. The key insights into getting finite dimensionality with coefficients in a field of characteristic $0$ when $k$ has positive characteristic is to first base change to $\overline{k}$ to make the theory ""geometric."" Then only work with torsion sheaves so that appropriate finiteness theorems for [[",deepseek-v3.1:671b-cloud,,no,
Q8078429,etale cohomology,Q1493952,sheaf cohomology,no_relation,0.750,https://ncatlab.org/nlab/show/%E2%84%93-adic+cohomology,https://ncatlab.org/nlab/show/sheaf+cohomology,"sion sheaves so that appropriate finiteness theorems for étale cohomology of proper varieties can be used, and then pass to the limit. Notice that on the left $\mathbb{Q}_{\ell}$ is not an actual sheaf whose actual sheaf cohomology is being computed instead the expression on the left is defined by the genuine sheaf cohomology groups on the right. ### Over the pro-&#233;tale site This is rectified by passing to pro-étale cohomology. Here $\m",deepseek-v3.1:671b-cloud,,no,
Q7512218,Sigma-ideal,Q3058218,measurable space,no_relation,0.700,https://ncatlab.org/nlab/show/%CF%83-ideal,https://ncatlab.org/nlab/show/measurable+space,"ts of $X$. A __σ-ideal__ of $M$ is a subset $N\subset M$ that is closed under countable unions and passage to subsets: if $a\in N$, $b\in M$, and $b\subset a$, then $b\in N$. ## Example If $\mu$ is a measure on a measurable space $(X,M)$, then $$N_\mu = \{m\in M\mid \mu(m)=0\}$$ is a σ-ideal. ## Applications Sometimes we do not have a canonical measure $\mu$ at our disposal, but we do have a canonical σ-ideal of negligible sets. This is the ca",deepseek-v3.1:671b-cloud,,no,
Q8080919,Łukasiewicz logic,Q224821,Fuzzy logic,no_relation,0.500,https://ncatlab.org/nlab/show/%C5%81ukasiewicz+logic,https://ncatlab.org/nlab/show/fuzzy+logic,"\tableofcontents ## Idea (...) ## Related concepts fuzzy logic linear logic substructural logic MV-algebra ## References Wikipedia, Łukasiewicz logic Łukasiewicz logic is discussed in section 5 of:",deepseek-v3.1:671b-cloud,,no,
Q8080919,Łukasiewicz logic,Q841728,Linear logic,no_relation,0.700,https://ncatlab.org/nlab/show/%C5%81ukasiewicz+logic,https://ncatlab.org/nlab/show/linear+logic,"\tableofcontents ## Idea (...) ## Related concepts fuzzy logic linear logic substructural logic MV-algebra ## References Wikipedia, Łukasiewicz logic Łukasiewicz logic is discussed in section 5 of: Peter Freyd, *A",deepseek-v3.1:671b-cloud,,no,
Q8080919,Łukasiewicz logic,Q839490,Substructural logic,no_relation,0.500,https://ncatlab.org/nlab/show/%C5%81ukasiewicz+logic,https://ncatlab.org/nlab/show/substructural+logic,"\tableofcontents ## Idea (...) ## Related concepts fuzzy logic linear logic substructural logic MV-algebra ## References Wikipedia, Łukasiewicz logic Łukasiewicz logic is discussed in section 5 of: Peter Freyd, Algebraic real analysis, Th",deepseek-v3.1:671b-cloud,,no,
Q8080919,Łukasiewicz logic,Q6719122,MV-algebra,no_relation,0.500,https://ncatlab.org/nlab/show/%C5%81ukasiewicz+logic,https://ncatlab.org/nlab/show/MV-algebra,"\tableofcontents ## Idea (...) ## Related concepts fuzzy logic linear logic substructural logic MV-algebra ## References Wikipedia, Łukasiewicz logic Łukasiewicz logic is discussed in section 5 of: Peter Freyd, Algebraic real analysis, Theory and Applicati",deepseek-v3.1:671b-cloud,,no,
Q1424012,Nerve complex,Q1467124,simplicial set,no_relation,0.750,https://ncatlab.org/nlab/show/%C4%8Cech+nerve,https://ncatlab.org/nlab/show/simplicial+object,"ategory theory +-- {: .num_defn} ###### Definition In a category $C$ with pullbacks (possibly homotopy pullbacks), given a morphism $U \to X$ in $C$ its corresponding &#268;ech nerve $C(U)$ is the simplicial object in $C$ that in degree $k$ is given by the $(k+1)$-fold fiber product of $U$ over $X$ with itself : $$ C(U) \coloneqq \left( \cdots U \times_X U \times_X U \overset{\longrightarrow}{\stackrel{\longri",deepseek-v3.1:671b-cloud,,no,
Q1424012,Nerve complex,Q2844249,Regular category,no_relation,0.500,https://ncatlab.org/nlab/show/%C4%8Cech+nerve,https://ncatlab.org/nlab/show/kernel+pair,"}{\longrightarrow}} U \times_X U \stackrel{\longrightarrow}{\longrightarrow} U \right) \,. $$ =-- +-- {: .num_remark} ###### Remark This is the internal nerve of the internal groupoid corresponding to the kernel pair of the morphism $U \to X$. =-- ### In $(\infty,1)$-category theory The notion of &#268;ech nerve makes sense in any (∞,1)-category with (∞,1)-pullbacks. Consider a morphism $f: A \",deepseek-v3.1:671b-cloud,,no,
Q1424012,Nerve complex,Q842620,disjoint union,no_relation,0.700,https://ncatlab.org/nlab/show/%C4%8Cech+nerve,https://ncatlab.org/nlab/show/disjoint+union,"* In an infinity-stack (infinity,1)-topos every groupoid object in an (infinity,1)-category is a &#268;ech nerve. ## Examples +-- {: .num_example #FromACover} ###### Example For $U = \coprod_i U_i$ the disjoint union of a covering sieve $\{U_i \to X\}$ with respect to a coverage, the objectwise connected components of the &#268;ech nerve is the subfunctor corresponding to the sieve",deepseek-v3.1:671b-cloud,,no,
Q595298,sheaf,Q1052761,local homeomorphism,has_part,0.850,https://ncatlab.org/nlab/show/%C3%A9tale+space,https://ncatlab.org/nlab/show/local+homeomorphism,"called the category of (topological) spaces over $B$ (or sometimes simply bundles). An étale space (or _étale map_, sometimes étalé space) over $B$ is an object $p:E\to B$ in $Top/B$ such that $p$ is a local homeomorphism: that is, for every $e\in E$, there is an open set $U \ni e$ such that the image $p(U)$ is open in $B$ and the restriction of $p$ to $U$ is a homeomorphism $p|_U: U \to p(U)$. The set $E_x = p^{-1}(x)$ where $",deepseek-v3.1:671b-cloud,,yes,"{""label"": ""has_part"", ""type_main"": ""class"", ""type_linked"": ""part-type"", ""evidence_spans"": [""An étale space (or _étale map_, sometimes étalé space) over $B$ is an object $p:E\\to B$ in $Top/B$ such that $p$ is a local homeomorphism""], ""confidence"": 0.85}"
Q595298,sheaf,Q131310283,Image,has_part,0.850,https://ncatlab.org/nlab/show/%C3%A9tale+space,https://ncatlab.org/nlab/show/image,"e space__ (or _étale map_, sometimes étalé space) over $B$ is an object $p:E\to B$ in $Top/B$ such that $p$ is a local homeomorphism: that is, for every $e\in E$, there is an open set $U \ni e$ such that the image $p(U)$ is open in $B$ and the restriction of $p$ to $U$ is a homeomorphism $p|_U: U \to p(U)$. The set $E_x = p^{-1}(x)$ where $x\in B$ is called the stalk of $p$ over $x$. The underlying set of the _to",deepseek-v3.1:671b-cloud,,yes,"{""label"": ""has_part"", ""type_main"": ""class"", ""type_linked"": ""part-type"", ""evidence_spans"": [""the image $p(U)$ is open in $B$""], ""confidence"": 0.85}"
Q595298,sheaf,Q202906,homeomorphism,has_property,0.950,https://ncatlab.org/nlab/show/%C3%A9tale+space,https://ncatlab.org/nlab/show/homeomorphism,"n object $p:E\to B$ in $Top/B$ such that $p$ is a local homeomorphism: that is, for every $e\in E$, there is an open set $U \ni e$ such that the image $p(U)$ is open in $B$ and the restriction of $p$ to $U$ is a homeomorphism $p|_U: U \to p(U)$. The set $E_x = p^{-1}(x)$ where $x\in B$ is called the stalk of $p$ over $x$. The underlying set of the _total space_ $E$ is the union of its stalks (notice that we do not say fiber!).",deepseek-v3.1:671b-cloud,,yes,"{""label"": ""has_property"", ""type_main"": ""class"", ""type_linked"": ""property"", ""evidence_spans"": [""$p$ is a local homeomorphism""], ""confidence"": 0.95}"
Q595298,sheaf,Q120979864,Stalk,has_part,0.850,https://ncatlab.org/nlab/show/%C3%A9tale+space,https://ncatlab.org/nlab/show/stalk,"nverse image]] of some open subset in the base $B$ needs to be, by the definition, a disjoint union of homeomorphic open sets in $E$; however the 'size' of the open neighborhoods over various $e$ in the same stalk required in the definition of étale space may differ, hence the intersection of their projections does not need to be an open set, if there are infinitely many points in the stalk. * even if the the stalks of the éta",deepseek-v3.1:671b-cloud,,yes,"{""label"": ""has_part"", ""type_main"": ""class"", ""type_linked"": ""part-type"", ""evidence_spans"": [""The underlying set of the _total space_ $E$ is the union of its stalks""], ""confidence"": 0.85}"
Q595298,sheaf,Q320577,Yoneda lemma,no_relation,0.700,https://ncatlab.org/nlab/show/%C3%A9tale+space,https://ncatlab.org/nlab/show/Yoneda+embedding,"oi]]. This topos with this local homeomorphism is the étale space of $F$. Indeed, we may make this construction for each object $c \in C$, call it $U(c) \coloneqq Sh(C,J)/y(c)$, where $y(c)$ is the (possibly sheafified) Yoneda embedded object. Then, ""sections of $\pi_F$ over $U(c) \to Sh(C,J)$"" are in bijection with elements of $F(c)$. If the Grothendieck site $(C,J)$ happened to be the canonical site of a topological space, th",deepseek-v3.1:671b-cloud,,yes,"{""label"": ""none"", ""type_main"": ""class"", ""type_linked"": ""class"", ""evidence_spans"": [""Yoneda embedded object""], ""confidence"": 0.7}"
Q595298,sheaf,Q111033323,Scheme,no_relation,0.700,https://ncatlab.org/nlab/show/%C3%A9tale+space,https://ncatlab.org/nlab/show/scheme,"l one. In particular, $U(c) \to Sh(C,J)$ corresponds to the inclusion of an open subset. So, this is reduces to the usual construction for spaces. Another example is, if $(C,J)$ were the small étale site of some scheme $S$, then each $Sh(C,J)/F$ is the small étale site of some algebraic space (with no separation conditions) étale over $S$, with $\pi_F$ corresponding to the étale map from this algebraic space to $S$. ## Properties #",deepseek-v3.1:671b-cloud,,yes,"{""label"": ""none"", ""type_main"": ""class"", ""type_linked"": ""class"", ""evidence_spans"": [""if $(C,J)$ were the small \u00e9tale site of some scheme $S$""], ""confidence"": 0.7}"
Q595298,sheaf,Q326908,Hausdorff space,no_relation,0.750,https://ncatlab.org/nlab/show/%C3%A9tale+space,https://ncatlab.org/nlab/show/Hausdorff+space,"circ s = \mathrm{id}_U$. It is an elementary but central fact that for an &#233;tale map $p$, _the images of local sections form a base for the topology_ of the total space $E$. The topology of $E$ is then typically non-Hausdorff. The set of sections of $p$ over $U$ is denoted by $\Gamma_U p = (\Gamma p)(U) = \Gamma_U E = (\Gamma E)(U)$ and may be shown to extend to a functor $\Gamma : Top/B\to PShv_B$ where $PShv_B$ is the [[category of pr",deepseek-v3.1:671b-cloud,,yes,"{""label"": ""none"", ""type_main"": ""class"", ""type_linked"": ""class"", ""evidence_spans"": [""The topology of $E$ is then typically non-Hausdorff""], ""confidence"": 0.75}"
Q595298,sheaf,Q5399579,Essential range,no_relation,0.700,https://ncatlab.org/nlab/show/%C3%A9tale+space,https://ncatlab.org/nlab/show/essential+image,"where $PShv_B$ is the category of presheaves over $B$. The functor $\Gamma$ has a left adjoint $L : PShv_B\to Top/B$, whose essential image is the full subcategory $Et/B$ of étale spaces over $B$. The essential image of the functor $\Gamma$ is the category of sheaves $Shv_B$ over $B$, and this adjunction restricts to an equivalence of categories between $Et/B$ and $Shv_B$ (that is, it is an idempotent adjunction).",deepseek-v3.1:671b-cloud,,yes,"{""label"": ""none"", ""type_main"": ""class"", ""type_linked"": ""unknown"", ""evidence_spans"": [""the category of sheaves $Shv_B$ over $B$""], ""confidence"": 0.7}"
Q595298,sheaf,Q6060386,inverse image functor,no_relation,0.700,https://ncatlab.org/nlab/show/%C3%A9tale+space,https://ncatlab.org/nlab/show/inverse+image,"I.5, II.6](#MacLaneMoerdijk)) ### Relation to covering spaces Every covering space (even in the more general sense not requiring any connectedness axiom) is étale but not vice versa: * for a covering space the inverse image of some open subset in the base $B$ needs to be, by the definition, a disjoint union of homeomorphic open sets in $E$; however the 'size' of the open neighborhoods over various $e$ in the same stalk requ",deepseek-v3.1:671b-cloud,,yes,"{""label"": ""none"", ""type_main"": ""class"", ""type_linked"": ""individual"", ""evidence_spans"": [""inverse image of some open subset""], ""confidence"": 0.7}"
Q595298,sheaf,Q842620,disjoint union,has_part,0.850,https://ncatlab.org/nlab/show/%C3%A9tale+space,https://ncatlab.org/nlab/show/disjoint+union,"rsection of their projections does not need to be an open set, if there are infinitely many points in the stalk. * even if the the stalks of the étale space are finite, it need not be locally trivial. For instance the disjoint union $\coprod_i U_i$ of a collection of open subsets of a topological space $X$ with the obvious projection $(\coprod_i U_i) \to X$ is étale, but does not have a typical fiber: the fiber over a given point has [[cardina",deepseek-v3.1:671b-cloud,,yes,"{""label"": ""has_part"", ""type_main"": ""class"", ""type_linked"": ""part-type"", ""evidence_spans"": [""a disjoint union of homeomorphic open sets""], ""confidence"": 0.85}"
