Wikidata ID,Wikidata Label,Chicago Notes,MathLib Undergrad,Topoi,BCT,Context,nlab
[Q14481419](https://www.wikidata.org/wiki/Q14481419),Zero–one law,,[0-1 law](https://leanprover-community.github.io/mathlib4_docs/./Mathlib/Probability/Independence/ZeroOne.html#ProbabilityTheory.measure_zero_or_one_of_measurableSet_limsup_atTop),,,,
[Q181296](https://www.wikidata.org/wiki/Q181296),abelian group,[abelian](https://mathgloss.github.io/MathGloss/chicago/abelian),,,,https://ncatlab.org/nlab/show/finite%2Babelian%2Bgroup,
[Q318598](https://www.wikidata.org/wiki/Q318598),abelianization,[abelianization](https://mathgloss.github.io/MathGloss/chicago/abelianization),,,,,
[Q20827138](https://www.wikidata.org/wiki/Q20827138),Absolutely continuous measures,[absolute continuity of measure](https://mathgloss.github.io/MathGloss/chicago/absolute_continuity_of_measure),,,,,
[Q332504](https://www.wikidata.org/wiki/Q332504),absolute continuity,[absolute continuity](https://mathgloss.github.io/MathGloss/chicago/absolute_continuity),,,,https://ncatlab.org/nlab/show/absolutely%2Bcontinuous%2Bmeasure,
[Q332465](https://www.wikidata.org/wiki/Q332465),absolute convergence,,absolute convergence,,,https://ncatlab.org/nlab/show/absolute%2Bconvergence,
[Q120812](https://www.wikidata.org/wiki/Q120812),absolute value,[absolute value](https://mathgloss.github.io/MathGloss/chicago/absolute_value),,,,https://ncatlab.org/nlab/show/absolute%2Bvalue,
[Q4681343](https://www.wikidata.org/wiki/Q4681343),additive category,,,,,https://ncatlab.org/nlab/show/additive%2Bcategory,
[Q2858846](https://www.wikidata.org/wiki/Q2858846),transpose of a linear map,[adjoint of a linear transformation](https://mathgloss.github.io/MathGloss/chicago/adjoint_of_a_linear_transformation),[transpose of a linear map](https://leanprover-community.github.io/mathlib4_docs/./Mathlib/LinearAlgebra/Dual.html#Module.Dual.transpose),,,,
[Q4379157](https://www.wikidata.org/wiki/Q4379157),adjoint representation of a Lie algebra,[adjoint representation of a lie algebra](https://mathgloss.github.io/MathGloss/chicago/adjoint_representation_of_a_lie_algebra),,,,,
[Q1017106](https://www.wikidata.org/wiki/Q1017106),adjoint representation,[adjoint representation of a lie group](https://mathgloss.github.io/MathGloss/chicago/adjoint_representation_of_a_lie_group),[adjoint endomorphism](https://leanprover-community.github.io/mathlib4_docs/./Mathlib/LinearAlgebra/BilinearForm.html#BilinForm.leftAdjointOfNondegenerate),,,https://ncatlab.org/nlab/show/adjoint%2Brepresentation,
[Q225107](https://www.wikidata.org/wiki/Q225107),adjugate matrix,[adjugate](https://mathgloss.github.io/MathGloss/chicago/adjugate),,,,,
[Q382504](https://www.wikidata.org/wiki/Q382504),affine hull,,[affine span](https://leanprover-community.github.io/mathlib4_docs/./Mathlib/LinearAlgebra/AffineSpace/AffineSubspace.html#affineSpan),,,,
[Q382698](https://www.wikidata.org/wiki/Q382698),affine space,,[affine subspace](https://leanprover-community.github.io/mathlib4_docs/./Mathlib/LinearAlgebra/AffineSpace/AffineSubspace.html#AffineSubspace),,,https://ncatlab.org/nlab/show/affine%2Bspace,
[Q382497](https://www.wikidata.org/wiki/Q382497),affine transformation,[algebra homomorphism](https://mathgloss.github.io/MathGloss/chicago/algebra_homomorphism),[affine function](https://leanprover-community.github.io/mathlib4_docs/./Mathlib/LinearAlgebra/AffineSpace/AffineMap.html#AffineMap),,,,
[Q246506](https://www.wikidata.org/wiki/Q246506),field of sets,[algebra of subsets](https://mathgloss.github.io/MathGloss/chicago/algebra_of_subsets),,,,,
[Q1000660](https://www.wikidata.org/wiki/Q1000660),algebra over a field,[algebra over a field](https://mathgloss.github.io/MathGloss/chicago/algebra_over_a_field),algebra over a commutative ring,,,,
[Q1047547](https://www.wikidata.org/wiki/Q1047547),algebraically closed field,,,,,https://ncatlab.org/nlab/show/algebraically%2Bclosed%2Bfield,
[Q8366](https://www.wikidata.org/wiki/Q8366),algorithm,,,,,https://ncatlab.org/nlab/show/algorithm,
[Q1139334](https://www.wikidata.org/wiki/Q1139334),almost everywhere,[almost everywhere](https://mathgloss.github.io/MathGloss/chicago/almost_everywhere),,,,,
[Q25377974](https://www.wikidata.org/wiki/Q25377974),almost uniform convergence,[almost uniform convergence](https://mathgloss.github.io/MathGloss/chicago/almost_uniform_convergence),,,,,
[Q438814](https://www.wikidata.org/wiki/Q438814),alternating group,[alternating group](https://mathgloss.github.io/MathGloss/chicago/alternating_group),[alternating group](https://leanprover-community.github.io/mathlib4_docs/./Mathlib/GroupTheory/SpecificGroups/Alternating.html#alternatingGroup),,,https://ncatlab.org/nlab/show/alternating%2Bgroup,
[Q438842](https://www.wikidata.org/wiki/Q438842),alternating series,,[alternating series](https://leanprover-community.github.io/mathlib4_docs/./Mathlib/Analysis/SpecificLimits/Normed.html#Antitone.tendsto_alternating_series_of_tendsto_zero),,,,
[Q567083](https://www.wikidata.org/wiki/Q567083),annihilator,[annihilator of a submodule](https://mathgloss.github.io/MathGloss/chicago/annihilator_of_a_submodule),,,,,
