Wikidata ID,Wikidata Label,Chicago,Mathlib,nLab,Context,PlanetMath
[Q2836000](https://www.wikidata.org/wiki/Q2836000),*-algebra,,,[star-algebra](https://ncatlab.org/nlab/show/star-algebra),,[involutory ring](http://planetmath.org/involutoryring)
[Q204](https://www.wikidata.org/wiki/Q204),0,,,[zero function](https://ncatlab.org/nlab/show/zero%20function),,[zero map](http://planetmath.org/zeromap)
[Q199](https://www.wikidata.org/wiki/Q199),1,,,[one](https://ncatlab.org/nlab/show/one),,[unity](http://planetmath.org/unity)
[Q25304059](https://www.wikidata.org/wiki/Q25304059),2-functor,,,[2-functor](https://ncatlab.org/nlab/show/2-functor),[2-functor](https://mathgloss.github.io/MathGloss/context/2-functor),
[Q526901](https://www.wikidata.org/wiki/Q526901),3-manifold,,,[3-manifold](https://ncatlab.org/nlab/show/3-manifold),,[3-manifold](http://planetmath.org/3manifold1)
[Q318737](https://www.wikidata.org/wiki/Q318737),Abelian category,,,[abelian category](https://ncatlab.org/nlab/show/abelian%20category),[zero object](https://mathgloss.github.io/MathGloss/context/zero_object),
[Q181296](https://www.wikidata.org/wiki/Q181296),Abelian group,[abelian group](https://mathgloss.github.io/MathGloss/chicago/abelian_group),,[abelian group](https://ncatlab.org/nlab/show/abelian%20group),,[abelian group](http://planetmath.org/abeliangroup)
[Q318751](https://www.wikidata.org/wiki/Q318751),Abelian variety,,,[abelian variety](https://ncatlab.org/nlab/show/abelian%20variety),,[abelian variety](http://planetmath.org/abelianvariety)
[Q332465](https://www.wikidata.org/wiki/Q332465),Absolut convergence,,,[absolute convergence](https://ncatlab.org/nlab/show/absolute%20convergence),,[absolute convergence theorem](http://planetmath.org/absoluteconvergencetheorem)
[Q332504](https://www.wikidata.org/wiki/Q332504),Absolute continuity,[absolute continuity](https://mathgloss.github.io/MathGloss/chicago/absolute_continuity),,[absolutely continuous measure](https://ncatlab.org/nlab/show/absolutely%20continuous%20measure),,[absolutely continuous function](http://planetmath.org/absolutelycontinuousfunction)
[Q332407](https://www.wikidata.org/wiki/Q332407),Absolute Galois group,,,[absolute Galois group](https://ncatlab.org/nlab/show/absolute%20Galois%20group),,[absolute Galois group](http://planetmath.org/absolutegaloisgroup)
[Q120812](https://www.wikidata.org/wiki/Q120812),Absolute value,[absolute value](https://mathgloss.github.io/MathGloss/chicago/absolute_value),,[absolute value](https://ncatlab.org/nlab/show/absolute%20value),,[modulus of complex number](http://planetmath.org/modulusofcomplexnumber)
[Q1084766](https://www.wikidata.org/wiki/Q1084766),Abstract nonsense,,,,[abstract nonsense](https://mathgloss.github.io/MathGloss/context/abstract_nonsense),
[Q4672496](https://www.wikidata.org/wiki/Q4672496),Accessible category,,,[locally presentable category](https://ncatlab.org/nlab/show/locally%20presentable%20category),[accessible](https://mathgloss.github.io/MathGloss/context/accessible),
[Q357858](https://www.wikidata.org/wiki/Q357858),Adjoint functors,,,[right adjoint](https://ncatlab.org/nlab/show/right%20adjoint),[right adjoint](https://mathgloss.github.io/MathGloss/context/right_adjoint),
[Q2051983](https://www.wikidata.org/wiki/Q2051983),Adjoint matrix,[conjugate transpose](https://mathgloss.github.io/MathGloss/chicago/conjugate_transpose),,[conjugate transpose matrix](https://ncatlab.org/nlab/show/conjugate%20transpose%20matrix),,[conjugate transpose](http://planetmath.org/conjugatetranspose)
[Q1017106](https://www.wikidata.org/wiki/Q1017106),Adjoint representation,[adjoint representation of a Lie group](https://mathgloss.github.io/MathGloss/chicago/adjoint_representation_of_a_lie_group),[adjoint endomorphism](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/BilinearForm/Properties.html#LinearMap.BilinForm.leftAdjointOfNondegenerate),[adjoint representation](https://ncatlab.org/nlab/show/adjoint%20representation),,[adjoint representation](http://planetmath.org/adjointrepresentation)
[Q225107](https://www.wikidata.org/wiki/Q225107),Adjugate matrix,[adjugate](https://mathgloss.github.io/MathGloss/chicago/adjugate),,,,[adjugate](http://planetmath.org/adjugate)
[Q1371213](https://www.wikidata.org/wiki/Q1371213),Affine connection,,,[affine connection](https://ncatlab.org/nlab/show/affine%20connection),,[affine connection](http://planetmath.org/affineconnection)
[Q686291](https://www.wikidata.org/wiki/Q686291),Affine group,,[affine groups](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/AffineSpace/AffineEquiv.html#AffineEquiv.group),[affine group](https://ncatlab.org/nlab/show/affine%20group),,
[Q382504](https://www.wikidata.org/wiki/Q382504),Affine hull,,[affine span](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/AffineSpace/AffineSubspace.html#affineSpan),,,
[Q382698](https://www.wikidata.org/wiki/Q382698),Affine space,,[affine subspace](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/AffineSpace/AffineSubspace.html#AffineSubspace),[affine space](https://ncatlab.org/nlab/show/affine%20space),[affine space](https://mathgloss.github.io/MathGloss/context/affine_space),[linear manifold](http://planetmath.org/linearmanifold)
[Q382497](https://www.wikidata.org/wiki/Q382497),Affine transformation,[algebra homomorphism](https://mathgloss.github.io/MathGloss/chicago/algebra_homomorphism),[affine function](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/AffineSpace/AffineMap.html#AffineMap),,,[affine transformation](http://planetmath.org/affinetransformation)
[Q3554813](https://www.wikidata.org/wiki/Q3554813),Affine variety,,,[affine variety](https://ncatlab.org/nlab/show/affine%20variety),,[affine variety](http://planetmath.org/affinevariety)
[Q655742](https://www.wikidata.org/wiki/Q655742),Affirming the antecedent,,,[modus ponens](https://ncatlab.org/nlab/show/modus%20ponens),,[modus ponens](http://planetmath.org/modusponens)
[Q3968](https://www.wikidata.org/wiki/Q3968),Al-Gebra,,,[algebra](https://ncatlab.org/nlab/show/algebra),[algebra](https://mathgloss.github.io/MathGloss/context/algebra),[algebra](http://planetmath.org/algebra)
[Q4718108](https://www.wikidata.org/wiki/Q4718108),Alexander's trick,,,[Alexander's trick](https://ncatlab.org/nlab/show/Alexander%27s%20trick),,[Alexander trick](http://planetmath.org/alexandertrick)
[Q864919](https://www.wikidata.org/wiki/Q864919),Alexandroff extension,,,[one-point compactification](https://ncatlab.org/nlab/show/one-point%20compactification),,[Alexandrov one-point compactification](http://planetmath.org/alexandrovonepointcompactification)
[Q3882299](https://www.wikidata.org/wiki/Q3882299),Algebra homomorphism,[Lie algebra homomorphism](https://mathgloss.github.io/MathGloss/chicago/lie_algebra_homomorphism),,,,
[Q1000660](https://www.wikidata.org/wiki/Q1000660),Algebra over a field,[algebra over a field](https://mathgloss.github.io/MathGloss/chicago/algebra_over_a_field),,,,[algebras](http://planetmath.org/algebras)
[Q1945014](https://www.wikidata.org/wiki/Q1945014),Algebra/set analogy,,,[unitor](https://ncatlab.org/nlab/show/unitor),[monoidal category](https://mathgloss.github.io/MathGloss/context/monoidal_category),[monoidal category](http://planetmath.org/monoidalcategory)
[Q428290](https://www.wikidata.org/wiki/Q428290),Algebraic closure,,,[separable closure](https://ncatlab.org/nlab/show/separable%20closure),,[separable closure](http://planetmath.org/separableclosure)
[Q162608](https://www.wikidata.org/wiki/Q162608),Algebraic element,,[transcendental elements](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/RingTheory/Algebraic/Defs.html#Transcendental),[transcendental element](https://ncatlab.org/nlab/show/transcendental%20element),,
[Q550791](https://www.wikidata.org/wiki/Q550791),Algebraic extension,,[algebraic extensions](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/RingTheory/Algebraic/Defs.html#Algebra.IsAlgebraic),[algebraic extension](https://ncatlab.org/nlab/show/algebraic%20extension),,[algebraic extension](http://planetmath.org/algebraicextension)
[Q1474074](https://www.wikidata.org/wiki/Q1474074),Algebraic form,,,[homogeneous polynomial](https://ncatlab.org/nlab/show/homogeneous%20polynomial),,[homogeneous polynomial](http://planetmath.org/homogeneouspolynomial1)
[Q746863](https://www.wikidata.org/wiki/Q746863),Algebraic function,,,[algebraic function](https://ncatlab.org/nlab/show/algebraic%20function),,[algebraic function](http://planetmath.org/algebraicfunction)
[Q180969](https://www.wikidata.org/wiki/Q180969),Algebraic geometry,,,[algebraic geometry](https://ncatlab.org/nlab/show/algebraic%20geometry),,[algebraic geometry](http://planetmath.org/algebraicgeometry)
[Q1695400](https://www.wikidata.org/wiki/Q1695400),Algebraic group,,,[algebraic group](https://ncatlab.org/nlab/show/algebraic%20group),,[group variety](http://planetmath.org/groupvariety)
[Q646245](https://www.wikidata.org/wiki/Q646245),Algebraic integer,,,[algebraic integer](https://ncatlab.org/nlab/show/algebraic%20integer),,[algebraic integer](http://planetmath.org/algebraicinteger)
[Q2553675](https://www.wikidata.org/wiki/Q2553675),Algebraic K-theory,,,[algebraic K-theory](https://ncatlab.org/nlab/show/algebraic%20K-theory),,[Algebraic K-theory](http://planetmath.org/algebraicktheory)
[Q168817](https://www.wikidata.org/wiki/Q168817),Algebraic number,,,[algebraic number](https://ncatlab.org/nlab/show/algebraic%20number),,[field of algebraic numbers](http://planetmath.org/fieldofalgebraicnumbers)
[Q613048](https://www.wikidata.org/wiki/Q613048),Algebraic number theory,,,[place](https://ncatlab.org/nlab/show/place),,[algebraic number theory](http://planetmath.org/algebraicnumbertheory)
[Q7595945](https://www.wikidata.org/wiki/Q7595945),Algebraic stack,,,[stack](https://ncatlab.org/nlab/show/stack),,[stack](http://planetmath.org/stack)
[Q205464](https://www.wikidata.org/wiki/Q205464),Algebraic structure,,,[underlying set](https://ncatlab.org/nlab/show/underlying%20set),,[algebraic system](http://planetmath.org/algebraicsystem)
[Q648995](https://www.wikidata.org/wiki/Q648995),Algebraic variety,,,[complex variety](https://ncatlab.org/nlab/show/complex%20variety),,[isomorphism of varieties](http://planetmath.org/isomorphismofvarieties)
[Q1047547](https://www.wikidata.org/wiki/Q1047547),Algebraically closed field,,[algebraically closed fields](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/FieldTheory/IsAlgClosed/Basic.html#IsAlgClosed),[algebraically closed field](https://ncatlab.org/nlab/show/algebraically%20closed%20field),,[relative algebraic closure](http://planetmath.org/relativealgebraicclosure)
[Q8366](https://www.wikidata.org/wiki/Q8366),Algorithm,,,[algorithm](https://ncatlab.org/nlab/show/algorithm),,[algorithm](http://planetmath.org/algorithm)
[Q2995691](https://www.wikidata.org/wiki/Q2995691),Almost complex manifold,,,[Nijenhuis tensor](https://ncatlab.org/nlab/show/Nijenhuis%20tensor),,[Newlander-Niremberg theorem](http://planetmath.org/newlandernirembergtheorem)
[Q1139334](https://www.wikidata.org/wiki/Q1139334),Almost everywhere,[almost everywhere](https://mathgloss.github.io/MathGloss/chicago/almost_everywhere),,,,[almost everywhere](http://planetmath.org/almosteverywhere)
[Q438814](https://www.wikidata.org/wiki/Q438814),Alternating group,[alternating group](https://mathgloss.github.io/MathGloss/chicago/alternating_group),[alternating group](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/GroupTheory/SpecificGroups/Alternating.html#alternatingGroup),[alternating group](https://ncatlab.org/nlab/show/alternating%20group),,[simplicity of the alternating groups](http://planetmath.org/simplicityofthealternatinggroups)
[Q438842](https://www.wikidata.org/wiki/Q438842),Alternating series,,[alternating series](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/SpecificLimits/Normed.html#Antitone.tendsto_alternating_series_of_tendsto_zero),,,[alternating sum](http://planetmath.org/alternatingsum)
[Q2165111](https://www.wikidata.org/wiki/Q2165111),Alternative algebra,,,[alternative algebra](https://ncatlab.org/nlab/show/alternative%20algebra),,[alternative algebra](http://planetmath.org/alternativealgebra)
[Q4739384](https://www.wikidata.org/wiki/Q4739384),Amalgamation property,,,[amalgamation property](https://ncatlab.org/nlab/show/amalgamation%20property),,[amalgamation property](http://planetmath.org/amalgamationproperty)
[Q4748472](https://www.wikidata.org/wiki/Q4748472),Ample vector bundle,,,[ample sheaf](https://ncatlab.org/nlab/show/ample%20sheaf),,[very ample](http://planetmath.org/veryample)
[Q485287](https://www.wikidata.org/wiki/Q485287),Analytic continuation,,,[analytic continuation](https://ncatlab.org/nlab/show/analytic%20continuation),,[natural boundary](http://planetmath.org/naturalboundary)
[Q215084](https://www.wikidata.org/wiki/Q215084),Analytic function,[entire](https://mathgloss.github.io/MathGloss/chicago/entire),,[analytic function](https://ncatlab.org/nlab/show/analytic%20function),,[analytic curve](http://planetmath.org/analyticcurve)
[Q134787](https://www.wikidata.org/wiki/Q134787),Analytic geometry,,,[analytic geometry](https://ncatlab.org/nlab/show/analytic%20geometry),,[analytic geometry](http://planetmath.org/analyticgeometry)
[Q373045](https://www.wikidata.org/wiki/Q373045),Analytic grammar,,,[grammar](https://ncatlab.org/nlab/show/grammar),,[formal grammar](http://planetmath.org/formalgrammar)
[Q10843274](https://www.wikidata.org/wiki/Q10843274),Analytic number theory,,,[analytic number theory](https://ncatlab.org/nlab/show/analytic%20number%20theory),,[analytic number theory](http://planetmath.org/analyticnumbertheory)
[Q4751141](https://www.wikidata.org/wiki/Q4751141),Analytic space,,,[analytic space](https://ncatlab.org/nlab/show/analytic%20space),,[analytic space](http://planetmath.org/analyticspace)
[Q11352](https://www.wikidata.org/wiki/Q11352),Angle,,,[angle](https://ncatlab.org/nlab/show/angle),,[supplementary angles](http://planetmath.org/supplementaryangles)
[Q567083](https://www.wikidata.org/wiki/Q567083),Annihilator (ring theory),[annihilator of a submodule](https://mathgloss.github.io/MathGloss/chicago/annihilator_of_a_submodule),,,,[faithful module](http://planetmath.org/faithfulmodule)
[Q45926](https://www.wikidata.org/wiki/Q45926),Annulus (mathematics),,,[annulus](https://ncatlab.org/nlab/show/annulus),,[annulus](http://planetmath.org/annulus1)
[Q431937](https://www.wikidata.org/wiki/Q431937),Antichain,,,[antichain](https://ncatlab.org/nlab/show/antichain),,[antichain](http://planetmath.org/antichain)
[Q451323](https://www.wikidata.org/wiki/Q451323),Antiderivation,[derivation](https://mathgloss.github.io/MathGloss/chicago/derivation),,,,
[Q114326](https://www.wikidata.org/wiki/Q114326),Antiderivative,,,[indefinite integral](https://ncatlab.org/nlab/show/indefinite%20integral),,[antiderivative](http://planetmath.org/antiderivative)
[Q4779193](https://www.wikidata.org/wiki/Q4779193),Apartness relation,,,[apartness relation](https://ncatlab.org/nlab/show/apartness%20relation),,[apartness relation](http://planetmath.org/apartnessrelation)
