title,link,suggestion
vector space,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Module/Defs.html#Module,vector space
product of vector spaces,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Module/Prod.html#Prod.instModule,Product of vector space
vector subspace,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Module/Submodule/Basic.html#Subspace,Vector subspace
quotient space,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/Quotient/Defs.html#Submodule.hasQuotient,quotient space
sum of subspaces,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Module/Submodule/Lattice.html#Submodule.completeLattice,Sum of subspace
direct sum,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/DirectSum/Basic.html#DirectSum.IsInternal,Direct sum
complementary subspaces,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/Basis/VectorSpace.html#Submodule.exists_isCompl,complementary subspace
linear independence,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/LinearIndependent.html#LinearIndependent,linear independence
generating sets,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/Span/Defs.html#Submodule.span,Generating set
bases,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/Basis/Defs.html#Basis,Base
existence of bases,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/Basis/VectorSpace.html#Basis.ofVectorSpace,Existence of a basis
linear map,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Module/LinearMap/Defs.html#LinearMap,linear map
range of a linear map,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Module/Submodule/Range.html#LinearMap.range,range of a linear map
kernel of a linear map,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Module/Submodule/Ker.html#LinearMap.ker,kernel of a linear map
algebra of endomorphisms of a vector space,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Algebra/Basic.html#Module.End.instAlgebra,Algebra of endomorphism of a vector space
general linear group,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/GeneralLinearGroup.html#LinearMap.GeneralLinearGroup,General Linear Group
dual vector space,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/Dual.html#Module.Dual,Dual vector space
