Wikidata ID,name,degree
Q11348,Mathematical Function,78
Q36161,SeT,51
Q179899,Topological space,36
Q83478,GrouP,34
Q177646,Proper subset,29
Q181296,Abelian group,28
Q164307,BinaryOperation,28
Q82571,LinearAlgebra,26
Q125977,VectorSpaces,26
Q161172,Ring (mathematics),24
Q188211,Invariant (mathematics),24
Q205464,Algebraic structure,22
Q719395,Category (mathematics),21
Q192276,Measure theory,19
Q2739329,Square matrix,19
Q18848,Module (algebra),18
Q190109,Field (mathematics),17
Q3884033,Finitary operation,16
Q1948412,MorphisM,16
Q12482,Axiomatic Set Theory,15
Q207643,Linear map,15
Q748349,Mathematical structure,15
Q44337,Matrix (Mathematics),15
Q864475,Functor,14
Q43260,Polynomial,14
Q180969,Algebraic geometry,13
Q130901,Asymmetrical relationship,13
Q180907,Bijection,13
Q11567,Complex numbers,13
Q204,0,12
Q177251,Associative property,12
Q3552958,Differential manifold,12
Q44649,Ideal (ring theory),12
Q12503,IntegerNumbers,12
Q625948,Topological invariant,12
Q191849,Zermelo–Fraenkel set theory,12
Q466109,SubGroup,11
Q141488,Graph (discrete mathematics),11
Q1055807,Group representation,11
Q664495,Lie Algebra,11
Q189569,Linear Algebra/Basis for a Vector Space,11
Q1166618,Mathematical logic,11
Q208237,Monoid,11
Q1000660,Algebra over a field,10
Q1695400,Algebraic group,10
Q168817,Algebraic number,10
Q648995,Algebraic variety,10
Q17736,Axiom,10
Q875399,Boundary (topology),10
Q381892,Compact space,10
Q170058,Continuity property,10
Q178546,Determinant,10
Q326908,Hausdorff space,10
Q215111,HomoMorphism,10
Q211548,Locus of points,10
Q370502,Map (mathematics),10
Q3058218,Measurable space,10
Q217357,Sigma-algebra,10
Q37555,Polygon,9
Q12916,Real numbers,9
Q166154,Straight line segment,9
Q1046291,Topological group,9
Q40276,Arithmetic/Multiplication,9
Q320357,Closed set,9
Q199006,Codomain,9
Q1491995,Connected space,9
Q182003,Injective function,9
Q622679,LieGroup,9
Q929302,Linear algebra/Dimension of a vector space,9
Q203920,ManiFold,9
Q21199,Natural numbers,9
Q1201815,Null set,9
Q199,1,8
Q3968,Al-Gebra,8
Q837924,Bilinear form,8
Q17278,Circle,8
Q2285809,Classical groups,8
Q865746,Distance function,8
Q202906,Homeomorphism,8
Q1144780,Homology group,8
Q261527,Linear form,8
Q467606,Model theory,8
Q11563,Number,8
Q12479,Number theory,8
Q213363,Open set,8
Q191290,Ordered pair,8
Q286972,P-group,8
Q44946,Point (geometry),8
Q173853,Quaternian,8
Q868473,Smooth function,8
Q229102,Surjective function,8
Q2721559,Topological manifold,8
Q19821,Triangle,8
Q652446,Uniform space,8
Q172937,Polyhedron,7
Q1143969,Principal ideal domain,7
Q13415428,Projection map,7
Q1781358,Wedge sum,7
Q3966112,"",7
Q3054889,"",7
Q78338964,"",7
Q613048,Algebraic number theory,7
Q600043,Character theory,7
Q193756,Complex analysis,7
Q1635267,Cone (topology),7
Q783507,Differentiability,7
Q4440864,Dimension,7
Q226183,Empty set,7
Q11345,Equation,7
Q1154996,Fiber bundle,7
Q577835,Field extension,7
Q1196038,Groupoid,7
Q574844,Kernel (algebra),7
Q679903,Magma (algebra),7
Q3058212,Measure space,7
Q217616,Meromorphic function,7
Q180953,Metric spaces,7
Q318751,Abelian variety,6
Q646245,Algebraic integer,6
Q744960,Associative algebra,6
Q782566,AutoMorphism,6
Q2342396,Bounded linear map,6
Q163875,Cardinal numbers,6
Q1143328,Chain complex,6
Q849705,Characteristic polynomial,6
Q217594,Class (set theory),6
Q165474,Commutative,6
Q578874,Complex manifold,6
Q124255,Conic sections,6
Q1211057,Convergent series,6
Q93344,Cosine,6
Q161973,Curve,6
Q188444,Differential geometry,6
Q986694,Discrete valuation ring,6
Q192439,Domain of a function,6
Q824282,Elementary function,6
Q1340800,Endomorphism,6
Q1347208,Epimorphism,6
Q1211071,Equivalence class,6
Q1497184,Fractional ideal,6
Q579600,Functional (mathematics),6
Q730384,Galois group,6
Q173740,Graphing the total product,6
Q765994,Group object,6
Q1617044,Heyting algebra,6
Q1627597,Hopf algebra,6
Q185813,Identity element,6
Q193794,Identity matrix,6
Q214159,Inner product space,6
Q80091,Integral,6
Q877802,Integral kernel,6
Q848427,Julia set,6
Q583034,Locally compact space,6
Q211790,Logical connective,6
Q629085,Multivalued function,6
Q616608,Number field,6
Q743418,Octonion,6
Q186475,Partial derivative,6
Q1419329,Pointed space,6
Q747980,Polytope,6
Q863912,Prime ideal,6
Q1428110,Regular measure,6
Q17102802,Rng (algebra),6
Q207348,SemiGroup,6
Q1165112,Singleton (set theory),6
Q2295009,Smash product,6
Q218005,Summation,6
Q484298,Surface (topology),6
Q160003,Tetrahedron,6
Q862761,Topological interior,6
Q922339,Topological ring,6
Q3553768,"",6
Q23924662,"",6
Q17521172,"",6
Q3487687,"",6
Q311627,P-adic number,5
Q7140405,Partially ordered ring,5
Q474715,PartialOrderedSet,5
Q860623,Preimage,5
Q240651,Prime element,5
Q1365548,Principal bundle,5
Q877775,Projective space,5
Q7252877,Proximity space,5
Q1138961,Quotient group,5
Q1806121,Range (function),5
Q1244890,RationalNumbers,5
Q1155772,Scheme (mathematics),5
Q1485102,Semisimple ring,5
Q133250,Sequence,5
Q170198,Series (mathematics),5
Q207961,Shape,5
Q595298,Sheaf (mathematics),5
Q2326800,Simple ring,5
Q912058,Simply-connected,5
Q134237,Square root,5
Q339011,Symmetric matrix,5
Q50701,Variable (mathematics),5
Q13471665,Vector (mathematics),5
Q39297,Volume,5
Q214604,Zero of a function,5
Q2996364,"",5
Q318598,"",5
Q111783780,"",5
Q13408581,"",5
Q810193,"",5
Q225107,Adjugate matrix,5
Q215084,Analytic function,5
Q451323,Antiderivation,5
Q11500,Area,5
Q17020770,Boolean-valued function,5
Q892585,Borel measure,5
Q850275,Conformal map,5
Q7756337,Differential algebra,5
Q1058681,Differential operator,5
Q1224487,Equaliser (mathematics),5
Q842346,Equality (mathematics),5
Q1326955,Exact sequence,5
Q120976,Factorial,5
Q21083858,Finitely generated group,5
Q192161,Formal language,5
Q190549,Functional analysis,5
Q190573,Gamma function,5
Q524607,General linear group,5
Q868169,Group homomorphism,5
Q83043,Hexagon,5
Q207476,Holomorphic function,5
Q843237,Index category,5
Q28113351,Inequality (mathematics),5
Q976375,Inner regular,5
Q2989575,Irreducible element,5
Q2920416,Kernel (category theory),5
Q827230,Lebesgue measure,5
Q190056,Linear Algebra/Hilbert Spaces,5
Q728435,Linear Algebra/Subspace,5
Q1804923,Long line (topology),5
Q306560,Mapping cone (topology),5
Q242188,Matrix inversion,5
Q1049914,Matrix multiplication,5
Q1194053,Metrizable space,5
Q1945067,Monomorphism,5
Q1952404,Multilinear map,5
Q17099189,Multiplicative character,5
Q1755242,Nilpotent group,5
Q592651,Non-Abelian group,5
Q2914509,Nullspace,5
Q2051983,Adjoint matrix,4
Q1945014,Algebra/set analogy,4
Q428290,Algebraic closure,4
Q1047547,Algebraically closed field,4
