title,link,suggestion
simplicial sets,[simplicial sets](https://mathgloss.github.io/MathGloss/simplicial_sets),Simplicial set
full subcategory,[full subcategory](https://mathgloss.github.io/MathGloss/full_subcategory),full subcategory
satisfied by,[satisfied by](https://mathgloss.github.io/MathGloss/satisfied_by),satisfied structure
split epimorphism,[split epimorphism](https://mathgloss.github.io/MathGloss/split_epimorphism),split epimorphism
cocomplete,[cocomplete](https://mathgloss.github.io/MathGloss/cocomplete),cocomplete category
torsor,[torsor](https://mathgloss.github.io/MathGloss/torsor),G-torsor
effective,[effective](https://mathgloss.github.io/MathGloss/effective),effective equivalence relation
space of configurations of n points,[space of configurations of n points](https://mathgloss.github.io/MathGloss/space_of_configurations_of_n_points),space of configurations of n points
list monad,[list monad](https://mathgloss.github.io/MathGloss/list_monad),list monad
kernels,[kernels](https://mathgloss.github.io/MathGloss/kernels),kernel
forks,[forks](https://mathgloss.github.io/MathGloss/forks),coproduct
multiplication,[multiplication](https://mathgloss.github.io/MathGloss/multiplication),multiplication natural transformation
cokernels,[cokernels](https://mathgloss.github.io/MathGloss/cokernels),cokernel
fiber space,[fiber space](https://mathgloss.github.io/MathGloss/fiber_space),fiber space
small,[small](https://mathgloss.github.io/MathGloss/small),small category
initial object,[initial object](https://mathgloss.github.io/MathGloss/initial_object),initial object
lattice,[lattice](https://mathgloss.github.io/MathGloss/lattice),lattice
strictly creates,[strictly creates](https://mathgloss.github.io/MathGloss/strictly_creates),strictly created limit
right inverse,[right inverse](https://mathgloss.github.io/MathGloss/right_inverse),right inverse
Sierpinski space,[Sierpinski space](https://mathgloss.github.io/MathGloss/Sierpinski_space),Sierpinski space
limit cone,[limit cone](https://mathgloss.github.io/MathGloss/limit_cone),limit cone
kernel operator,[kernel operator](https://mathgloss.github.io/MathGloss/kernel_operator),kernel operator
continuation monads,[continuation monads](https://mathgloss.github.io/MathGloss/continuation_monads),continuation monad
unital ring,[unital ring](https://mathgloss.github.io/MathGloss/unital_ring),unital ring
sheaves,[sheaves](https://mathgloss.github.io/MathGloss/sheaves),sheaf
unit,[unit](https://mathgloss.github.io/MathGloss/unit),unit natural transformation
orbit-stabilizer theorem,[orbit-stabilizer theorem](https://mathgloss.github.io/MathGloss/orbit-stabilizer_theorem),orbit-stabilizer theorem
free group monad,[free group monad](https://mathgloss.github.io/MathGloss/free_group_monad),free group monad
summit,[summit](https://mathgloss.github.io/MathGloss/summit),cone over a diagram
Grothendieck topos,[Grothendieck topos](https://mathgloss.github.io/MathGloss/Grothendieck_topos),Grothendieck topos
contravariant Yoneda embeddings,[contravariant Yoneda embeddings](https://mathgloss.github.io/MathGloss/contravariant_Yoneda_embeddings),covariant Yoneda embedding
translation groupoid,[translation groupoid](https://mathgloss.github.io/MathGloss/translation_groupoid),translation groupoid
commutative,[commutative](https://mathgloss.github.io/MathGloss/commutative),commutative diagram
forgetful functor,[forgetful functor](https://mathgloss.github.io/MathGloss/forgetful_functor),forgetful functor
shape,[shape](https://mathgloss.github.io/MathGloss/shape),cone over a diagram
G-representation,[G-representation](https://mathgloss.github.io/MathGloss/G-representation),**G-representation**
strong limit,[strong limit](https://mathgloss.github.io/MathGloss/strong_limit),strong limit cardinal
product,[product](https://mathgloss.github.io/MathGloss/product),product
solution set condition,[solution set condition](https://mathgloss.github.io/MathGloss/solution_set_condition),solution set condition
