title,link
0/0 is possible and has an answer,http://planetmath.org/00ispossibleandhasananswer
0≠1 as real numbers,http://planetmath.org/0ne1asrealnumbers
10.1.1 Limits and colimits,http://planetmath.org/1011limitsandcolimits
10.1.2 Images,http://planetmath.org/1012images
10.1.3 Quotients,http://planetmath.org/1013quotients
10.1.4 Set is a Π⁢𝖶-pretopos,http://planetmath.org/1014setisapimathsfwpretopos
10.1.5 The axiom of choice implies excluded middle,http://planetmath.org/1015theaxiomofchoiceimpliesexcludedmiddle
10.1 The category of sets,http://planetmath.org/101thecategoryofsets
10.2 Cardinal numbers,http://planetmath.org/102cardinalnumbers
10.3 Ordinal numbers,http://planetmath.org/103ordinalnumbers
10.4 Classical well-orderings,http://planetmath.org/104classicalwellorderings
10.5 The cumulative hierarchy,http://planetmath.org/105thecumulativehierarchy
10. Set theory,http://planetmath.org/10settheory
1.10 Pattern matching and recursion,http://planetmath.org/110patternmatchingandrecursion
1.11 Propositions as types,http://planetmath.org/111propositionsastypes
11.1 The field of rational numbers,http://planetmath.org/111thefieldofrationalnumbers
1.12.1 Path Induction,http://planetmath.org/1121pathinduction
11.2.1 The algebraic structure of Dedekind reals,http://planetmath.org/1121thealgebraicstructureofdedekindreals
11.2.2 Dedekind reals are Cauchy complete,http://planetmath.org/1122dedekindrealsarecauchycomplete
1.12.2 Equivalence of path induction and based path induction,http://planetmath.org/1122equivalenceofpathinductionandbasedpathinduction
11.2.3 Dedekind reals are Dedekind complete,http://planetmath.org/1123dedekindrealsarededekindcomplete
1.12.3 Disequality,http://planetmath.org/1123disequality
11.2 Dedekind reals,http://planetmath.org/112dedekindreals
1.12 Identity types,http://planetmath.org/112identitytypes
11.3.1 Construction of Cauchy reals,http://planetmath.org/1131constructionofcauchyreals
11.3.2 Induction and recursion on Cauchy reals,http://planetmath.org/1132inductionandrecursiononcauchyreals
11.3.3 The algebraic structure of Cauchy reals,http://planetmath.org/1133thealgebraicstructureofcauchyreals
11.3.4 Cauchy reals are Cauchy complete,http://planetmath.org/1134cauchyrealsarecauchycomplete
11.3 Cauchy reals,http://planetmath.org/113cauchyreals
11.4 Comparison of Cauchy and Dedekind reals,http://planetmath.org/114comparisonofcauchyanddedekindreals
11.5 Compactness of the interval,http://planetmath.org/115compactnessoftheinterval
11.6 The surreal numbers,http://planetmath.org/116thesurrealnumbers
(1+1/n)^n is an increasing sequence,http://planetmath.org/11nnisanincreasingsequence
11. Real numbers,http://planetmath.org/11realnumbers
1.1 Type theory versus set theory,http://planetmath.org/11typetheoryversussettheory
1.2 Function types,http://planetmath.org/12functiontypes
1.3 Universes and Families,http://planetmath.org/13universesandfamilies
1.4 Dependent function types,http://planetmath.org/14dependentfunctiontypes
1.5 Product types,http://planetmath.org/15producttypes
15 Puzzle,http://planetmath.org/15puzzle
1.6 Dependent pair types,http://planetmath.org/16dependentpairtypes
1.7 Coproduct types,http://planetmath.org/17coproducttypes
1.8 The type of booleans,http://planetmath.org/18thetypeofbooleans
196’s reverse and add sequence to 1000 terms,http://planetmath.org/196sreverseandaddsequenceto1000terms
1.9 The natural numbers,http://planetmath.org/19thenaturalnumbers
